Kommune,Årstall,Bygningstype,Antall
Porsgrunn,01.01.2004,Rekkehus,3
Porsgrunn,01.01.2004,Kjedehus inkl.atriumhus,0
Porsgrunn,01.01.2004,Terrassehus,0
Porsgrunn,01.01.2004,Andre småhus med 3 boliger eller flere,6
Porsgrunn,01.01.2004,Store frittliggende boligbygg på 2 etasjer,17
Porsgrunn,01.01.2004,Store frittliggende boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2004,Store frittliggende boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2004,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2004,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2004,Stort sammenbygd boligbygg på 5 etasjer eller over,67
Porsgrunn,01.01.2004,Bo- og servicesenter,0
Porsgrunn,01.01.2004,Studenthjem/studentboliger,0
Porsgrunn,01.01.2004,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2004,Andre bygg enn boligbygg,8
Porsgrunn,01.01.2005,Enebolig,41
Porsgrunn,01.01.2005,"Enebolig med hybelleilighet, sokkelleilighet o.l.",12
Porsgrunn,01.01.2005,Våningshus,1
Porsgrunn,01.01.2005,"Del av tomannsbolig, vertikaldelt",26
Porsgrunn,01.01.2005,"Tomannsbolig, horisontaldelt",8
Porsgrunn,01.01.2005,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2005,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2005,Rekkehus,125
Porsgrunn,01.01.2005,Kjedehus inkl.atriumhus,0
Porsgrunn,01.01.2005,Terrassehus,0
Porsgrunn,01.01.2005,Andre småhus med 3 boliger eller flere,11
Porsgrunn,01.01.2005,Store frittliggende boligbygg på 2 etasjer,30
Porsgrunn,01.01.2005,Store frittliggende boligbygg på 3 og 4 etasjer,63
Porsgrunn,01.01.2005,Store frittliggende boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2005,Stort sammenbygd boligbygg på 2 etasjer,2
Porsgrunn,01.01.2005,Stort sammenbygd boligbygg på 3 og 4 etasjer,39
Porsgrunn,01.01.2005,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2005,Bo- og servicesenter,0
Porsgrunn,01.01.2005,Studenthjem/studentboliger,0
Porsgrunn,01.01.2005,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2005,Andre bygg enn boligbygg,40
Porsgrunn,01.01.2006,Enebolig,36
Porsgrunn,01.01.2006,"Enebolig med hybelleilighet, sokkelleilighet o.l.",11
Porsgrunn,01.01.2006,Våningshus,1
Porsgrunn,01.01.2006,"Del av tomannsbolig, vertikaldelt",18
Porsgrunn,01.01.2006,"Tomannsbolig, horisontaldelt",0
Porsgrunn,01.01.2006,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2006,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2006,Rekkehus,7
Porsgrunn,01.01.2006,Kjedehus inkl.atriumhus,18
Porsgrunn,01.01.2006,Terrassehus,0
Porsgrunn,01.01.2006,Andre småhus med 3 boliger eller flere,8
Porsgrunn,01.01.2006,Store frittliggende boligbygg på 2 etasjer,6
Porsgrunn,01.01.2006,Store frittliggende boligbygg på 3 og 4 etasjer,46
Porsgrunn,01.01.2006,Store frittliggende boligbygg på 5 etasjer eller over,83
Porsgrunn,01.01.2006,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2006,Stort sammenbygd boligbygg på 3 og 4 etasjer,10
Porsgrunn,01.01.2006,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2006,Bo- og servicesenter,0
Porsgrunn,01.01.2006,Studenthjem/studentboliger,0
Porsgrunn,01.01.2006,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2006,Andre bygg enn boligbygg,6
Porsgrunn,01.01.2007,Enebolig,27
Porsgrunn,01.01.2007,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5
Porsgrunn,01.01.2007,Våningshus,2
Porsgrunn,01.01.2007,"Del av tomannsbolig, vertikaldelt",33
Porsgrunn,01.01.2007,"Tomannsbolig, horisontaldelt",2
Porsgrunn,01.01.2007,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2007,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2007,Rekkehus,43
Porsgrunn,01.01.2007,Kjedehus inkl.atriumhus,11
Porsgrunn,01.01.2007,Terrassehus,0
Porsgrunn,01.01.2007,Andre småhus med 3 boliger eller flere,30
Porsgrunn,01.01.2007,Store frittliggende boligbygg på 2 etasjer,0
Porsgrunn,01.01.2007,Store frittliggende boligbygg på 3 og 4 etasjer,18
Porsgrunn,01.01.2007,Store frittliggende boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2007,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2007,Stort sammenbygd boligbygg på 3 og 4 etasjer,21
Porsgrunn,01.01.2007,Stort sammenbygd boligbygg på 5 etasjer eller over,18
Porsgrunn,01.01.2007,Bo- og servicesenter,0
Porsgrunn,01.01.2007,Studenthjem/studentboliger,0
Porsgrunn,01.01.2007,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2007,Andre bygg enn boligbygg,24
Porsgrunn,01.01.2008,Enebolig,17
Porsgrunn,01.01.2008,"Enebolig med hybelleilighet, sokkelleilighet o.l.",0
Porsgrunn,01.01.2008,Våningshus,1
Porsgrunn,01.01.2008,"Del av tomannsbolig, vertikaldelt",7
Porsgrunn,01.01.2008,"Tomannsbolig, horisontaldelt",2
Porsgrunn,01.01.2008,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2008,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2008,Rekkehus,0
Porsgrunn,01.01.2008,Kjedehus inkl.atriumhus,5
Porsgrunn,01.01.2008,Terrassehus,0
Porsgrunn,01.01.2008,Andre småhus med 3 boliger eller flere,8
Porsgrunn,01.01.2008,Store frittliggende boligbygg på 2 etasjer,0
Porsgrunn,01.01.2008,Store frittliggende boligbygg på 3 og 4 etasjer,47
Porsgrunn,01.01.2008,Store frittliggende boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2008,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2008,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2008,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2008,Bo- og servicesenter,0
Porsgrunn,01.01.2008,Studenthjem/studentboliger,0
Porsgrunn,01.01.2008,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2008,Andre bygg enn boligbygg,0
Porsgrunn,01.01.2009,Enebolig,51
Porsgrunn,01.01.2009,"Enebolig med hybelleilighet, sokkelleilighet o.l.",10
Porsgrunn,01.01.2009,Våningshus,0
Porsgrunn,01.01.2009,"Del av tomannsbolig, vertikaldelt",12
Porsgrunn,01.01.2009,"Tomannsbolig, horisontaldelt",8
Porsgrunn,01.01.2009,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2009,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2009,Rekkehus,3
Porsgrunn,01.01.2009,Kjedehus inkl.atriumhus,7
Porsgrunn,01.01.2009,Terrassehus,0
Porsgrunn,01.01.2009,Andre småhus med 3 boliger eller flere,9
Porsgrunn,01.01.2009,Store frittliggende boligbygg på 2 etasjer,0
Porsgrunn,01.01.2009,Store frittliggende boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2009,Store frittliggende boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2009,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2009,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2009,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2009,Bo- og servicesenter,0
Porsgrunn,01.01.2009,Studenthjem/studentboliger,34
Porsgrunn,01.01.2009,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2009,Andre bygg enn boligbygg,1
Porsgrunn,01.01.2010,Enebolig,21
Porsgrunn,01.01.2010,"Enebolig med hybelleilighet, sokkelleilighet o.l.",6
Porsgrunn,01.01.2010,Våningshus,0
Porsgrunn,01.01.2010,"Del av tomannsbolig, vertikaldelt",11
Porsgrunn,01.01.2010,"Tomannsbolig, horisontaldelt",0
Porsgrunn,01.01.2010,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2010,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2010,Rekkehus,3
Porsgrunn,01.01.2010,Kjedehus inkl.atriumhus,0
Porsgrunn,01.01.2010,Terrassehus,0
Porsgrunn,01.01.2010,Andre småhus med 3 boliger eller flere,0
Porsgrunn,01.01.2010,Store frittliggende boligbygg på 2 etasjer,0
