Kommunenummer,Kommune,År,Husholdningstype,Antall
4014,Kragerø,01.01.2017,Par uten hjemmeboende barn,1344
4014,Kragerø,01.01.2018,Aleneboende,2075
4014,Kragerø,01.01.2018,Aleneforsørger med små barn,42
4014,Kragerø,01.01.2018,Aleneforsørger med store barn,178
4014,Kragerø,01.01.2018,Andre husholdninger,0
4014,Kragerø,01.01.2018,Flerfamiliehusholdninger,195
4014,Kragerø,01.01.2018,Par eller aleneforsørger med voksne barn,373
4014,Kragerø,01.01.2018,Par med små barn,343
4014,Kragerø,01.01.2018,Par med store barn,463
4014,Kragerø,01.01.2018,Par uten hjemmeboende barn,1363
4014,Kragerø,01.01.2019,Aleneboende,2063
4014,Kragerø,01.01.2019,Aleneforsørger med små barn,48
4014,Kragerø,01.01.2019,Aleneforsørger med store barn,164
4014,Kragerø,01.01.2019,Andre husholdninger,0
4014,Kragerø,01.01.2019,Flerfamiliehusholdninger,194
4014,Kragerø,01.01.2019,Par eller aleneforsørger med voksne barn,386
4014,Kragerø,01.01.2019,Par med små barn,322
4014,Kragerø,01.01.2019,Par med store barn,456
4014,Kragerø,01.01.2019,Par uten hjemmeboende barn,1381
4014,Kragerø,01.01.2020,Aleneboende,2088
4014,Kragerø,01.01.2020,Aleneforsørger med små barn,51
4014,Kragerø,01.01.2020,Aleneforsørger med store barn,162
4014,Kragerø,01.01.2020,Andre husholdninger,0
4014,Kragerø,01.01.2020,Flerfamiliehusholdninger,204
4014,Kragerø,01.01.2020,Par eller aleneforsørger med voksne barn,379
4014,Kragerø,01.01.2020,Par med små barn,315
4014,Kragerø,01.01.2020,Par med store barn,458
4014,Kragerø,01.01.2020,Par uten hjemmeboende barn,1381
4014,Kragerø,01.01.2021,Aleneboende,2124
4014,Kragerø,01.01.2021,Aleneforsørger med små barn,53
4014,Kragerø,01.01.2021,Aleneforsørger med store barn,157
4014,Kragerø,01.01.2021,Andre husholdninger,0
4014,Kragerø,01.01.2021,Flerfamiliehusholdninger,188
4014,Kragerø,01.01.2021,Par eller aleneforsørger med voksne barn,365
4014,Kragerø,01.01.2021,Par med små barn,325
4014,Kragerø,01.01.2021,Par med store barn,462
4014,Kragerø,01.01.2021,Par uten hjemmeboende barn,1394
4014,Kragerø,01.01.2022,Aleneboende,2125
4014,Kragerø,01.01.2022,Aleneforsørger med små barn,46
4014,Kragerø,01.01.2022,Aleneforsørger med store barn,168
4014,Kragerø,01.01.2022,Andre husholdninger,0
4014,Kragerø,01.01.2022,Flerfamiliehusholdninger,199
4014,Kragerø,01.01.2022,Par eller aleneforsørger med voksne barn,337
4014,Kragerø,01.01.2022,Par med små barn,310
4014,Kragerø,01.01.2022,Par med store barn,447
4014,Kragerø,01.01.2022,Par uten hjemmeboende barn,1430
4014,Kragerø,01.01.2023,Aleneboende,2154
4014,Kragerø,01.01.2023,Aleneforsørger med små barn,44
4014,Kragerø,01.01.2023,Aleneforsørger med store barn,181
4014,Kragerø,01.01.2023,Andre husholdninger,0
4014,Kragerø,01.01.2023,Flerfamiliehusholdninger,203
4014,Kragerø,01.01.2023,Par eller aleneforsørger med voksne barn,329
4014,Kragerø,01.01.2023,Par med små barn,310
4014,Kragerø,01.01.2023,Par med store barn,461
4014,Kragerø,01.01.2023,Par uten hjemmeboende barn,1431
4014,Kragerø,01.01.2024,Aleneboende,2177
4014,Kragerø,01.01.2024,Aleneforsørger med små barn,46
4014,Kragerø,01.01.2024,Aleneforsørger med store barn,182
4014,Kragerø,01.01.2024,Andre husholdninger,0
4014,Kragerø,01.01.2024,Flerfamiliehusholdninger,210
4014,Kragerø,01.01.2024,Par eller aleneforsørger med voksne barn,329
4014,Kragerø,01.01.2024,Par med små barn,316
4014,Kragerø,01.01.2024,Par med store barn,451
4014,Kragerø,01.01.2024,Par uten hjemmeboende barn,1433
4014,Kragerø,01.01.2025,Aleneboende,2206
4014,Kragerø,01.01.2025,Aleneforsørger med små barn,51
4014,Kragerø,01.01.2025,Aleneforsørger med store barn,184
4014,Kragerø,01.01.2025,Andre husholdninger,0
4014,Kragerø,01.01.2025,Flerfamiliehusholdninger,195
4014,Kragerø,01.01.2025,Par eller aleneforsørger med voksne barn,371
4014,Kragerø,01.01.2025,Par med små barn,315
4014,Kragerø,01.01.2025,Par med store barn,425
4014,Kragerø,01.01.2025,Par uten hjemmeboende barn,1428
4028,Kviteseid,01.01.2014,Aleneboende,446
4028,Kviteseid,01.01.2014,Aleneforsørger med små barn,8
4028,Kviteseid,01.01.2014,Aleneforsørger med store barn,26
4028,Kviteseid,01.01.2014,Andre husholdninger,0
4028,Kviteseid,01.01.2014,Flerfamiliehusholdninger,49
4028,Kviteseid,01.01.2014,Par eller aleneforsørger med voksne barn,98
4028,Kviteseid,01.01.2014,Par med små barn,72
4028,Kviteseid,01.01.2014,Par med store barn,121
4028,Kviteseid,01.01.2014,Par uten hjemmeboende barn,295
4028,Kviteseid,01.01.2015,Aleneboende,450
4028,Kviteseid,01.01.2015,Aleneforsørger med små barn,6
4028,Kviteseid,01.01.2015,Aleneforsørger med store barn,31
4028,Kviteseid,01.01.2015,Andre husholdninger,0
4028,Kviteseid,01.01.2015,Flerfamiliehusholdninger,49
4028,Kviteseid,01.01.2015,Par eller aleneforsørger med voksne barn,104
4028,Kviteseid,01.01.2015,Par med små barn,75
4028,Kviteseid,01.01.2015,Par med store barn,113
4028,Kviteseid,01.01.2015,Par uten hjemmeboende barn,290
4028,Kviteseid,01.01.2016,Aleneboende,456
4028,Kviteseid,01.01.2016,Aleneforsørger med små barn,6
4028,Kviteseid,01.01.2016,Aleneforsørger med store barn,30
4028,Kviteseid,01.01.2016,Andre husholdninger,0
4028,Kviteseid,01.01.2016,Flerfamiliehusholdninger,45
4028,Kviteseid,01.01.2016,Par eller aleneforsørger med voksne barn,120
4028,Kviteseid,01.01.2016,Par med små barn,73
4028,Kviteseid,01.01.2016,Par med store barn,104
4028,Kviteseid,01.01.2016,Par uten hjemmeboende barn,296
4028,Kviteseid,01.01.2017,Aleneboende,460
4028,Kviteseid,01.01.2017,Aleneforsørger med små barn,7
4028,Kviteseid,01.01.2017,Aleneforsørger med store barn,24
4028,Kviteseid,01.01.2017,Andre husholdninger,0
4028,Kviteseid,01.01.2017,Flerfamiliehusholdninger,52
4028,Kviteseid,01.01.2017,Par eller aleneforsørger med voksne barn,114
4028,Kviteseid,01.01.2017,Par med små barn,79
4028,Kviteseid,01.01.2017,Par med store barn,101
4028,Kviteseid,01.01.2017,Par uten hjemmeboende barn,299
4028,Kviteseid,01.01.2018,Aleneboende,456
4028,Kviteseid,01.01.2018,Aleneforsørger med små barn,6
4028,Kviteseid,01.01.2018,Aleneforsørger med store barn,21
4028,Kviteseid,01.01.2018,Andre husholdninger,0
4028,Kviteseid,01.01.2018,Flerfamiliehusholdninger,49
4028,Kviteseid,01.01.2018,Par eller aleneforsørger med voksne barn,108
4028,Kviteseid,01.01.2018,Par med små barn,74
4028,Kviteseid,01.01.2018,Par med store barn,106
4028,Kviteseid,01.01.2018,Par uten hjemmeboende barn,307
4028,Kviteseid,01.01.2019,Aleneboende,459
4028,Kviteseid,01.01.2019,Aleneforsørger med små barn,6
4028,Kviteseid,01.01.2019,Aleneforsørger med store barn,24
4028,Kviteseid,01.01.2019,Andre husholdninger,0
4028,Kviteseid,01.01.2019,Flerfamiliehusholdninger,49
4028,Kviteseid,01.01.2019,Par eller aleneforsørger med voksne barn,116
4028,Kviteseid,01.01.2019,Par med små barn,79
4028,Kviteseid,01.01.2019,Par med store barn,101
4028,Kviteseid,01.01.2019,Par uten hjemmeboende barn,295
4028,Kviteseid,01.01.2020,Aleneboende,470
4028,Kviteseid,01.01.2020,Aleneforsørger med små barn,5
4028,Kviteseid,01.01.2020,Aleneforsørger med store barn,23
4028,Kviteseid,01.01.2020,Andre husholdninger,0
4028,Kviteseid,01.01.2020,Flerfamiliehusholdninger,56
4028,Kviteseid,01.01.2020,Par eller aleneforsørger med voksne barn,107
4028,Kviteseid,01.01.2020,Par med små barn,72
4028,Kviteseid,01.01.2020,Par med store barn,97
4028,Kviteseid,01.01.2020,Par uten hjemmeboende barn,308
4028,Kviteseid,01.01.2021,Aleneboende,486
4028,Kviteseid,01.01.2021,Aleneforsørger med små barn,7
4028,Kviteseid,01.01.2021,Aleneforsørger med store barn,25
4028,Kviteseid,01.01.2021,Andre husholdninger,0
4028,Kviteseid,01.01.2021,Flerfamiliehusholdninger,54
4028,Kviteseid,01.01.2021,Par eller aleneforsørger med voksne barn,110
4028,Kviteseid,01.01.2021,Par med små barn,69
4028,Kviteseid,01.01.2021,Par med store barn,94
4028,Kviteseid,01.01.2021,Par uten hjemmeboende barn,318
4028,Kviteseid,01.01.2022,Aleneboende,512
4028,Kviteseid,01.01.2022,Aleneforsørger med små barn,10
4028,Kviteseid,01.01.2022,Aleneforsørger med store barn,17
4028,Kviteseid,01.01.2022,Andre husholdninger,0
4028,Kviteseid,01.01.2022,Flerfamiliehusholdninger,49
4028,Kviteseid,01.01.2022,Par eller aleneforsørger med voksne barn,103
4028,Kviteseid,01.01.2022,Par med små barn,74
4028,Kviteseid,01.01.2022,Par med store barn,94
4028,Kviteseid,01.01.2022,Par uten hjemmeboende barn,330
4028,Kviteseid,01.01.2023,Aleneboende,503
4028,Kviteseid,01.01.2023,Aleneforsørger med små barn,6
4028,Kviteseid,01.01.2023,Aleneforsørger med store barn,17
4028,Kviteseid,01.01.2023,Andre husholdninger,0
4028,Kviteseid,01.01.2023,Flerfamiliehusholdninger,47
4028,Kviteseid,01.01.2023,Par eller aleneforsørger med voksne barn,109
4028,Kviteseid,01.01.2023,Par med små barn,73
4028,Kviteseid,01.01.2023,Par med store barn,98
4028,Kviteseid,01.01.2023,Par uten hjemmeboende barn,322
4028,Kviteseid,01.01.2024,Aleneboende,498
4028,Kviteseid,01.01.2024,Aleneforsørger med små barn,8
4028,Kviteseid,01.01.2024,Aleneforsørger med store barn,18
4028,Kviteseid,01.01.2024,Andre husholdninger,0
4028,Kviteseid,01.01.2024,Flerfamiliehusholdninger,54
4028,Kviteseid,01.01.2024,Par eller aleneforsørger med voksne barn,101
4028,Kviteseid,01.01.2024,Par med små barn,74
4028,Kviteseid,01.01.2024,Par med store barn,104
4028,Kviteseid,01.01.2024,Par uten hjemmeboende barn,329
4028,Kviteseid,01.01.2025,Aleneboende,506
4028,Kviteseid,01.01.2025,Aleneforsørger med små barn,8
4028,Kviteseid,01.01.2025,Aleneforsørger med store barn,23
4028,Kviteseid,01.01.2025,Andre husholdninger,0
4028,Kviteseid,01.01.2025,Flerfamiliehusholdninger,52
4028,Kviteseid,01.01.2025,Par eller aleneforsørger med voksne barn,97
4028,Kviteseid,01.01.2025,Par med små barn,79
4028,Kviteseid,01.01.2025,Par med store barn,101
4028,Kviteseid,01.01.2025,Par uten hjemmeboende barn,334
4020,Midt-Telemark,01.01.2014,Aleneboende,2108
4020,Midt-Telemark,01.01.2014,Aleneforsørger med små barn,42
4020,Midt-Telemark,01.01.2014,Aleneforsørger med store barn,111
4020,Midt-Telemark,01.01.2014,Andre husholdninger,0
4020,Midt-Telemark,01.01.2014,Flerfamiliehusholdninger,380
4020,Midt-Telemark,01.01.2014,Par eller aleneforsørger med voksne barn,310
4020,Midt-Telemark,01.01.2014,Par med små barn,422
4020,Midt-Telemark,01.01.2014,Par med store barn,464
4020,Midt-Telemark,01.01.2014,Par uten hjemmeboende barn,1339
4020,Midt-Telemark,01.01.2015,Aleneboende,2032
4020,Midt-Telemark,01.01.2015,Aleneforsørger med små barn,48
4020,Midt-Telemark,01.01.2015,Aleneforsørger med store barn,128
4020,Midt-Telemark,01.01.2015,Andre husholdninger,0
4020,Midt-Telemark,01.01.2015,Flerfamiliehusholdninger,379
4020,Midt-Telemark,01.01.2015,Par eller aleneforsørger med voksne barn,335
4020,Midt-Telemark,01.01.2015,Par med små barn,425
4020,Midt-Telemark,01.01.2015,Par med store barn,492
4020,Midt-Telemark,01.01.2015,Par uten hjemmeboende barn,1347
4020,Midt-Telemark,01.01.2016,Aleneboende,2106
4020,Midt-Telemark,01.01.2016,Aleneforsørger med små barn,54
4020,Midt-Telemark,01.01.2016,Aleneforsørger med store barn,147
4020,Midt-Telemark,01.01.2016,Andre husholdninger,0
4020,Midt-Telemark,01.01.2016,Flerfamiliehusholdninger,316
4020,Midt-Telemark,01.01.2016,Par eller aleneforsørger med voksne barn,358
4020,Midt-Telemark,01.01.2016,Par med små barn,421
4020,Midt-Telemark,01.01.2016,Par med store barn,486
4020,Midt-Telemark,01.01.2016,Par uten hjemmeboende barn,1331
4020,Midt-Telemark,01.01.2017,Aleneboende,2139
4020,Midt-Telemark,01.01.2017,Aleneforsørger med små barn,43
4020,Midt-Telemark,01.01.2017,Aleneforsørger med store barn,152
4020,Midt-Telemark,01.01.2017,Andre husholdninger,0
4020,Midt-Telemark,01.01.2017,Flerfamiliehusholdninger,319
4020,Midt-Telemark,01.01.2017,Par eller aleneforsørger med voksne barn,357
4020,Midt-Telemark,01.01.2017,Par med små barn,422
4020,Midt-Telemark,01.01.2017,Par med store barn,488
4020,Midt-Telemark,01.01.2017,Par uten hjemmeboende barn,1353
4020,Midt-Telemark,01.01.2018,Aleneboende,2186
4020,Midt-Telemark,01.01.2018,Aleneforsørger med små barn,52
4020,Midt-Telemark,01.01.2018,Aleneforsørger med store barn,148
4020,Midt-Telemark,01.01.2018,Andre husholdninger,0
4020,Midt-Telemark,01.01.2018,Flerfamiliehusholdninger,297
4020,Midt-Telemark,01.01.2018,Par eller aleneforsørger med voksne barn,392
4020,Midt-Telemark,01.01.2018,Par med små barn,444
4020,Midt-Telemark,01.01.2018,Par med store barn,495
4020,Midt-Telemark,01.01.2018,Par uten hjemmeboende barn,1374
4020,Midt-Telemark,01.01.2019,Aleneboende,2256
4020,Midt-Telemark,01.01.2019,Aleneforsørger med små barn,53
4020,Midt-Telemark,01.01.2019,Aleneforsørger med store barn,153
4020,Midt-Telemark,01.01.2019,Andre husholdninger,0
4020,Midt-Telemark,01.01.2019,Flerfamiliehusholdninger,310
4020,Midt-Telemark,01.01.2019,Par eller aleneforsørger med voksne barn,381
4020,Midt-Telemark,01.01.2019,Par med små barn,434
4020,Midt-Telemark,01.01.2019,Par med store barn,479
4020,Midt-Telemark,01.01.2019,Par uten hjemmeboende barn,1376
4020,Midt-Telemark,01.01.2020,Aleneboende,2226
4020,Midt-Telemark,01.01.2020,Aleneforsørger med små barn,30
4020,Midt-Telemark,01.01.2020,Aleneforsørger med store barn,147
4020,Midt-Telemark,01.01.2020,Andre husholdninger,0
4020,Midt-Telemark,01.01.2020,Flerfamiliehusholdninger,297
4020,Midt-Telemark,01.01.2020,Par eller aleneforsørger med voksne barn,362
4020,Midt-Telemark,01.01.2020,Par med små barn,421
4020,Midt-Telemark,01.01.2020,Par med store barn,484
4020,Midt-Telemark,01.01.2020,Par uten hjemmeboende barn,1264
4020,Midt-Telemark,01.01.2021,Aleneboende,2331
4020,Midt-Telemark,01.01.2021,Aleneforsørger med små barn,31
4020,Midt-Telemark,01.01.2021,Aleneforsørger med store barn,147
4020,Midt-Telemark,01.01.2021,Andre husholdninger,0
4020,Midt-Telemark,01.01.2021,Flerfamiliehusholdninger,289
4020,Midt-Telemark,01.01.2021,Par eller aleneforsørger med voksne barn,349
4020,Midt-Telemark,01.01.2021,Par med små barn,407
4020,Midt-Telemark,01.01.2021,Par med store barn,488
4020,Midt-Telemark,01.01.2021,Par uten hjemmeboende barn,1286
4020,Midt-Telemark,01.01.2022,Aleneboende,2359
4020,Midt-Telemark,01.01.2022,Aleneforsørger med små barn,32
4020,Midt-Telemark,01.01.2022,Aleneforsørger med store barn,133
4020,Midt-Telemark,01.01.2022,Andre husholdninger,0
4020,Midt-Telemark,01.01.2022,Flerfamiliehusholdninger,286
4020,Midt-Telemark,01.01.2022,Par eller aleneforsørger med voksne barn,352
4020,Midt-Telemark,01.01.2022,Par med små barn,408
4020,Midt-Telemark,01.01.2022,Par med store barn,477
4020,Midt-Telemark,01.01.2022,Par uten hjemmeboende barn,1345
4020,Midt-Telemark,01.01.2023,Aleneboende,2386
4020,Midt-Telemark,01.01.2023,Aleneforsørger med små barn,33
4020,Midt-Telemark,01.01.2023,Aleneforsørger med store barn,150
4020,Midt-Telemark,01.01.2023,Andre husholdninger,0
4020,Midt-Telemark,01.01.2023,Flerfamiliehusholdninger,285
4020,Midt-Telemark,01.01.2023,Par eller aleneforsørger med voksne barn,350
4020,Midt-Telemark,01.01.2023,Par med små barn,390
4020,Midt-Telemark,01.01.2023,Par med store barn,506
4020,Midt-Telemark,01.01.2023,Par uten hjemmeboende barn,1365
4020,Midt-Telemark,01.01.2024,Aleneboende,2410
4020,Midt-Telemark,01.01.2024,Aleneforsørger med små barn,30
4020,Midt-Telemark,01.01.2024,Aleneforsørger med store barn,166
4020,Midt-Telemark,01.01.2024,Andre husholdninger,0
4020,Midt-Telemark,01.01.2024,Flerfamiliehusholdninger,301
4020,Midt-Telemark,01.01.2024,Par eller aleneforsørger med voksne barn,345
4020,Midt-Telemark,01.01.2024,Par med små barn,405
4020,Midt-Telemark,01.01.2024,Par med store barn,499
4020,Midt-Telemark,01.01.2024,Par uten hjemmeboende barn,1371
4020,Midt-Telemark,01.01.2025,Aleneboende,2479
4020,Midt-Telemark,01.01.2025,Aleneforsørger med små barn,32
4020,Midt-Telemark,01.01.2025,Aleneforsørger med store barn,161
4020,Midt-Telemark,01.01.2025,Andre husholdninger,0
4020,Midt-Telemark,01.01.2025,Flerfamiliehusholdninger,287
4020,Midt-Telemark,01.01.2025,Par eller aleneforsørger med voksne barn,342
4020,Midt-Telemark,01.01.2025,Par med små barn,394
4020,Midt-Telemark,01.01.2025,Par med store barn,522
4020,Midt-Telemark,01.01.2025,Par uten hjemmeboende barn,1374
4030,Nissedal,01.01.2014,Aleneboende,225
4030,Nissedal,01.01.2014,Aleneforsørger med små barn,8
4030,Nissedal,01.01.2014,Aleneforsørger med store barn,16
4030,Nissedal,01.01.2014,Andre husholdninger,0
4030,Nissedal,01.01.2014,Flerfamiliehusholdninger,26
4030,Nissedal,01.01.2014,Par eller aleneforsørger med voksne barn,80
4030,Nissedal,01.01.2014,Par med små barn,53
4030,Nissedal,01.01.2014,Par med store barn,65
4030,Nissedal,01.01.2014,Par uten hjemmeboende barn,142
4030,Nissedal,01.01.2015,Aleneboende,237
4030,Nissedal,01.01.2015,Aleneforsørger med små barn,9
4030,Nissedal,01.01.2015,Aleneforsørger med store barn,9
4030,Nissedal,01.01.2015,Andre husholdninger,0
4030,Nissedal,01.01.2015,Flerfamiliehusholdninger,29
4030,Nissedal,01.01.2015,Par eller aleneforsørger med voksne barn,76
4030,Nissedal,01.01.2015,Par med små barn,53
4030,Nissedal,01.01.2015,Par med store barn,59
4030,Nissedal,01.01.2015,Par uten hjemmeboende barn,144
4030,Nissedal,01.01.2016,Aleneboende,244
4030,Nissedal,01.01.2016,Aleneforsørger med små barn,6
4030,Nissedal,01.01.2016,Aleneforsørger med store barn,11
4030,Nissedal,01.01.2016,Andre husholdninger,0
4030,Nissedal,01.01.2016,Flerfamiliehusholdninger,36
4030,Nissedal,01.01.2016,Par eller aleneforsørger med voksne barn,64
4030,Nissedal,01.01.2016,Par med små barn,57
4030,Nissedal,01.01.2016,Par med store barn,55
4030,Nissedal,01.01.2016,Par uten hjemmeboende barn,156
4030,Nissedal,01.01.2017,Aleneboende,259
4030,Nissedal,01.01.2017,Aleneforsørger med små barn,4
4030,Nissedal,01.01.2017,Aleneforsørger med store barn,15
4030,Nissedal,01.01.2017,Andre husholdninger,0
4030,Nissedal,01.01.2017,Flerfamiliehusholdninger,37
4030,Nissedal,01.01.2017,Par eller aleneforsørger med voksne barn,66
4030,Nissedal,01.01.2017,Par med små barn,59
4030,Nissedal,01.01.2017,Par med store barn,53
4030,Nissedal,01.01.2017,Par uten hjemmeboende barn,156
4030,Nissedal,01.01.2018,Aleneboende,250
4030,Nissedal,01.01.2018,Aleneforsørger med små barn,2
4030,Nissedal,01.01.2018,Aleneforsørger med store barn,10
4030,Nissedal,01.01.2018,Andre husholdninger,0
4030,Nissedal,01.01.2018,Flerfamiliehusholdninger,38
4030,Nissedal,01.01.2018,Par eller aleneforsørger med voksne barn,54
4030,Nissedal,01.01.2018,Par med små barn,59
4030,Nissedal,01.01.2018,Par med store barn,62
4030,Nissedal,01.01.2018,Par uten hjemmeboende barn,180
4030,Nissedal,01.01.2019,Aleneboende,249
4030,Nissedal,01.01.2019,Aleneforsørger med små barn,5
4030,Nissedal,01.01.2019,Aleneforsørger med store barn,14
4030,Nissedal,01.01.2019,Andre husholdninger,0
4030,Nissedal,01.01.2019,Flerfamiliehusholdninger,34
4030,Nissedal,01.01.2019,Par eller aleneforsørger med voksne barn,49
4030,Nissedal,01.01.2019,Par med små barn,63
4030,Nissedal,01.01.2019,Par med store barn,60
4030,Nissedal,01.01.2019,Par uten hjemmeboende barn,182
4030,Nissedal,01.01.2020,Aleneboende,247
4030,Nissedal,01.01.2020,Aleneforsørger med små barn,3
4030,Nissedal,01.01.2020,Aleneforsørger med store barn,16
4030,Nissedal,01.01.2020,Andre husholdninger,0
4030,Nissedal,01.01.2020,Flerfamiliehusholdninger,35
4030,Nissedal,01.01.2020,Par eller aleneforsørger med voksne barn,50
4030,Nissedal,01.01.2020,Par med små barn,53
4030,Nissedal,01.01.2020,Par med store barn,68
4030,Nissedal,01.01.2020,Par uten hjemmeboende barn,176
4030,Nissedal,01.01.2021,Aleneboende,257
4030,Nissedal,01.01.2021,Aleneforsørger med små barn,4
4030,Nissedal,01.01.2021,Aleneforsørger med store barn,15
4030,Nissedal,01.01.2021,Andre husholdninger,0
4030,Nissedal,01.01.2021,Flerfamiliehusholdninger,23
4030,Nissedal,01.01.2021,Par eller aleneforsørger med voksne barn,54
4030,Nissedal,01.01.2021,Par med små barn,49
4030,Nissedal,01.01.2021,Par med store barn,71
4030,Nissedal,01.01.2021,Par uten hjemmeboende barn,184
4030,Nissedal,01.01.2022,Aleneboende,263
4030,Nissedal,01.01.2022,Aleneforsørger med små barn,2
4030,Nissedal,01.01.2022,Aleneforsørger med store barn,15
4030,Nissedal,01.01.2022,Andre husholdninger,0
4030,Nissedal,01.01.2022,Flerfamiliehusholdninger,19
4030,Nissedal,01.01.2022,Par eller aleneforsørger med voksne barn,46
4030,Nissedal,01.01.2022,Par med små barn,50
4030,Nissedal,01.01.2022,Par med store barn,72
4030,Nissedal,01.01.2022,Par uten hjemmeboende barn,193
4030,Nissedal,01.01.2023,Aleneboende,268
4030,Nissedal,01.01.2023,Aleneforsørger med små barn,1
4030,Nissedal,01.01.2023,Aleneforsørger med store barn,16
4030,Nissedal,01.01.2023,Andre husholdninger,0
4030,Nissedal,01.01.2023,Flerfamiliehusholdninger,21
4030,Nissedal,01.01.2023,Par eller aleneforsørger med voksne barn,40
4030,Nissedal,01.01.2023,Par med små barn,47
4030,Nissedal,01.01.2023,Par med store barn,76
4030,Nissedal,01.01.2023,Par uten hjemmeboende barn,202
4030,Nissedal,01.01.2024,Aleneboende,270
4030,Nissedal,01.01.2024,Aleneforsørger med små barn,3
4030,Nissedal,01.01.2024,Aleneforsørger med store barn,17
4030,Nissedal,01.01.2024,Andre husholdninger,0
4030,Nissedal,01.01.2024,Flerfamiliehusholdninger,24
4030,Nissedal,01.01.2024,Par eller aleneforsørger med voksne barn,45
4030,Nissedal,01.01.2024,Par med små barn,50
4030,Nissedal,01.01.2024,Par med store barn,73
4030,Nissedal,01.01.2024,Par uten hjemmeboende barn,198
4030,Nissedal,01.01.2025,Aleneboende,254
4030,Nissedal,01.01.2025,Aleneforsørger med små barn,5
4030,Nissedal,01.01.2025,Aleneforsørger med store barn,17
4030,Nissedal,01.01.2025,Andre husholdninger,0
4030,Nissedal,01.01.2025,Flerfamiliehusholdninger,24
4030,Nissedal,01.01.2025,Par eller aleneforsørger med voksne barn,52
4030,Nissedal,01.01.2025,Par med små barn,49
4030,Nissedal,01.01.2025,Par med store barn,73
4030,Nissedal,01.01.2025,Par uten hjemmeboende barn,204
4018,Nome,01.01.2014,Aleneboende,1146
4018,Nome,01.01.2014,Aleneforsørger med små barn,30
4018,Nome,01.01.2014,Aleneforsørger med store barn,123
4018,Nome,01.01.2014,Andre husholdninger,0
4018,Nome,01.01.2014,Flerfamiliehusholdninger,128
4018,Nome,01.01.2014,Par eller aleneforsørger med voksne barn,230
4018,Nome,01.01.2014,Par med små barn,247
4018,Nome,01.01.2014,Par med store barn,332
4018,Nome,01.01.2014,Par uten hjemmeboende barn,772
4018,Nome,01.01.2015,Aleneboende,1172
4018,Nome,01.01.2015,Aleneforsørger med små barn,37
4018,Nome,01.01.2015,Aleneforsørger med store barn,113
4018,Nome,01.01.2015,Andre husholdninger,0
4018,Nome,01.01.2015,Flerfamiliehusholdninger,121
4018,Nome,01.01.2015,Par eller aleneforsørger med voksne barn,244
4018,Nome,01.01.2015,Par med små barn,250
4018,Nome,01.01.2015,Par med store barn,325
4018,Nome,01.01.2015,Par uten hjemmeboende barn,750
4018,Nome,01.01.2016,Aleneboende,1177
4018,Nome,01.01.2016,Aleneforsørger med små barn,35
4018,Nome,01.01.2016,Aleneforsørger med store barn,112
4018,Nome,01.01.2016,Andre husholdninger,0
4018,Nome,01.01.2016,Flerfamiliehusholdninger,114
4018,Nome,01.01.2016,Par eller aleneforsørger med voksne barn,242
4018,Nome,01.01.2016,Par med små barn,229
4018,Nome,01.01.2016,Par med store barn,330
4018,Nome,01.01.2016,Par uten hjemmeboende barn,768
4018,Nome,01.01.2017,Aleneboende,1174
4018,Nome,01.01.2017,Aleneforsørger med små barn,35
4018,Nome,01.01.2017,Aleneforsørger med store barn,116
4018,Nome,01.01.2017,Andre husholdninger,0
4018,Nome,01.01.2017,Flerfamiliehusholdninger,112
4018,Nome,01.01.2017,Par eller aleneforsørger med voksne barn,246
4018,Nome,01.01.2017,Par med små barn,237
4018,Nome,01.01.2017,Par med store barn,320
4018,Nome,01.01.2017,Par uten hjemmeboende barn,781
4018,Nome,01.01.2018,Aleneboende,1179
4018,Nome,01.01.2018,Aleneforsørger med små barn,40
4018,Nome,01.01.2018,Aleneforsørger med store barn,112
4018,Nome,01.01.2018,Andre husholdninger,0
4018,Nome,01.01.2018,Flerfamiliehusholdninger,110
4018,Nome,01.01.2018,Par eller aleneforsørger med voksne barn,263
4018,Nome,01.01.2018,Par med små barn,243
4018,Nome,01.01.2018,Par med store barn,315
4018,Nome,01.01.2018,Par uten hjemmeboende barn,784
4018,Nome,01.01.2019,Aleneboende,1166
4018,Nome,01.01.2019,Aleneforsørger med små barn,46
4018,Nome,01.01.2019,Aleneforsørger med store barn,104
4018,Nome,01.01.2019,Andre husholdninger,0
4018,Nome,01.01.2019,Flerfamiliehusholdninger,98
4018,Nome,01.01.2019,Par eller aleneforsørger med voksne barn,261
4018,Nome,01.01.2019,Par med små barn,225
4018,Nome,01.01.2019,Par med store barn,325
4018,Nome,01.01.2019,Par uten hjemmeboende barn,791
4018,Nome,01.01.2020,Aleneboende,1197
4018,Nome,01.01.2020,Aleneforsørger med små barn,41
4018,Nome,01.01.2020,Aleneforsørger med store barn,99
4018,Nome,01.01.2020,Andre husholdninger,0
4018,Nome,01.01.2020,Flerfamiliehusholdninger,89
4018,Nome,01.01.2020,Par eller aleneforsørger med voksne barn,254
4018,Nome,01.01.2020,Par med små barn,219
4018,Nome,01.01.2020,Par med store barn,325
4018,Nome,01.01.2020,Par uten hjemmeboende barn,804
4018,Nome,01.01.2021,Aleneboende,1243
4018,Nome,01.01.2021,Aleneforsørger med små barn,32
4018,Nome,01.01.2021,Aleneforsørger med store barn,101
4018,Nome,01.01.2021,Andre husholdninger,0
