Kommunenummer,Kommune,År,Husholdningstype,Antall
4012,Bamble,01.01.2024,Par med store barn,649
4012,Bamble,01.01.2024,Par uten hjemmeboende barn,1961
4012,Bamble,01.01.2025,Aleneboende,2365
4012,Bamble,01.01.2025,Aleneforsørger med små barn,68
4012,Bamble,01.01.2025,Aleneforsørger med store barn,224
4012,Bamble,01.01.2025,Andre husholdninger,0
4012,Bamble,01.01.2025,Flerfamiliehusholdninger,270
4012,Bamble,01.01.2025,Par eller aleneforsørger med voksne barn,576
4012,Bamble,01.01.2025,Par med små barn,467
4012,Bamble,01.01.2025,Par med store barn,638
4012,Bamble,01.01.2025,Par uten hjemmeboende barn,1948
4016,Drangedal,01.01.2014,Aleneboende,681
4016,Drangedal,01.01.2014,Aleneforsørger med små barn,31
4016,Drangedal,01.01.2014,Aleneforsørger med store barn,50
4016,Drangedal,01.01.2014,Andre husholdninger,0
4016,Drangedal,01.01.2014,Flerfamiliehusholdninger,74
4016,Drangedal,01.01.2014,Par eller aleneforsørger med voksne barn,175
4016,Drangedal,01.01.2014,Par med små barn,129
4016,Drangedal,01.01.2014,Par med store barn,232
4016,Drangedal,01.01.2014,Par uten hjemmeboende barn,439
4016,Drangedal,01.01.2015,Aleneboende,682
4016,Drangedal,01.01.2015,Aleneforsørger med små barn,36
4016,Drangedal,01.01.2015,Aleneforsørger med store barn,49
4016,Drangedal,01.01.2015,Andre husholdninger,0
4016,Drangedal,01.01.2015,Flerfamiliehusholdninger,77
4016,Drangedal,01.01.2015,Par eller aleneforsørger med voksne barn,171
4016,Drangedal,01.01.2015,Par med små barn,134
4016,Drangedal,01.01.2015,Par med store barn,223
4016,Drangedal,01.01.2015,Par uten hjemmeboende barn,443
4016,Drangedal,01.01.2016,Aleneboende,697
4016,Drangedal,01.01.2016,Aleneforsørger med små barn,28
4016,Drangedal,01.01.2016,Aleneforsørger med store barn,55
4016,Drangedal,01.01.2016,Andre husholdninger,0
4016,Drangedal,01.01.2016,Flerfamiliehusholdninger,78
4016,Drangedal,01.01.2016,Par eller aleneforsørger med voksne barn,173
4016,Drangedal,01.01.2016,Par med små barn,135
4016,Drangedal,01.01.2016,Par med store barn,216
4016,Drangedal,01.01.2016,Par uten hjemmeboende barn,446
4016,Drangedal,01.01.2017,Aleneboende,707
4016,Drangedal,01.01.2017,Aleneforsørger med små barn,29
4016,Drangedal,01.01.2017,Aleneforsørger med store barn,61
4016,Drangedal,01.01.2017,Andre husholdninger,0
4016,Drangedal,01.01.2017,Flerfamiliehusholdninger,67
4016,Drangedal,01.01.2017,Par eller aleneforsørger med voksne barn,175
4016,Drangedal,01.01.2017,Par med små barn,140
4016,Drangedal,01.01.2017,Par med store barn,210
4016,Drangedal,01.01.2017,Par uten hjemmeboende barn,458
4016,Drangedal,01.01.2018,Aleneboende,719
4016,Drangedal,01.01.2018,Aleneforsørger med små barn,24
4016,Drangedal,01.01.2018,Aleneforsørger med store barn,66
4016,Drangedal,01.01.2018,Andre husholdninger,0
4016,Drangedal,01.01.2018,Flerfamiliehusholdninger,65
4016,Drangedal,01.01.2018,Par eller aleneforsørger med voksne barn,157
4016,Drangedal,01.01.2018,Par med små barn,133
4016,Drangedal,01.01.2018,Par med store barn,213
4016,Drangedal,01.01.2018,Par uten hjemmeboende barn,478
4016,Drangedal,01.01.2019,Aleneboende,732
4016,Drangedal,01.01.2019,Aleneforsørger med små barn,16
