region,alder,statistikkvariabel,år,bygningstype,value
Porsgrunn,67-79 år,Antall personer,2024,Boliger i alt,4972.0
Porsgrunn,67-79 år,Antall personer,2024,Enebolig,2637.0
Porsgrunn,67-79 år,Antall personer,2024,Tomannsbolig,327.0
Porsgrunn,67-79 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",752.0
Porsgrunn,67-79 år,Antall personer,2024,Boligblokk,1093.0
Porsgrunn,67-79 år,Antall personer,2024,Annen boligbygning,163.0
Porsgrunn,67-79 år,Personer (prosent),2024,Boliger i alt,100.0
Porsgrunn,67-79 år,Personer (prosent),2024,Enebolig,53.0
Porsgrunn,67-79 år,Personer (prosent),2024,Tomannsbolig,6.6
Porsgrunn,67-79 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",15.1
Porsgrunn,67-79 år,Personer (prosent),2024,Boligblokk,22.0
Porsgrunn,67-79 år,Personer (prosent),2024,Annen boligbygning,3.3
Porsgrunn,80 år eller eldre,Antall personer,2024,Boliger i alt,1886.0
Porsgrunn,80 år eller eldre,Antall personer,2024,Enebolig,784.0
Porsgrunn,80 år eller eldre,Antall personer,2024,Tomannsbolig,74.0
Porsgrunn,80 år eller eldre,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",261.0
Porsgrunn,80 år eller eldre,Antall personer,2024,Boligblokk,632.0
Porsgrunn,80 år eller eldre,Antall personer,2024,Annen boligbygning,135.0
Porsgrunn,80 år eller eldre,Personer (prosent),2024,Boliger i alt,100.0
Porsgrunn,80 år eller eldre,Personer (prosent),2024,Enebolig,41.6
Porsgrunn,80 år eller eldre,Personer (prosent),2024,Tomannsbolig,3.9
Porsgrunn,80 år eller eldre,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",13.8
Porsgrunn,80 år eller eldre,Personer (prosent),2024,Boligblokk,33.5
Porsgrunn,80 år eller eldre,Personer (prosent),2024,Annen boligbygning,7.2
Skien,Alder i alt,Antall personer,2024,Boliger i alt,55370.0
Skien,Alder i alt,Antall personer,2024,Enebolig,33769.0
Skien,Alder i alt,Antall personer,2024,Tomannsbolig,5747.0
Skien,Alder i alt,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",5965.0
Skien,Alder i alt,Antall personer,2024,Boligblokk,8571.0
Skien,Alder i alt,Antall personer,2024,Annen boligbygning,1318.0
Skien,Alder i alt,Personer (prosent),2024,Boliger i alt,100.0
Skien,Alder i alt,Personer (prosent),2024,Enebolig,61.0
Skien,Alder i alt,Personer (prosent),2024,Tomannsbolig,10.4
Skien,Alder i alt,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",10.8
Skien,Alder i alt,Personer (prosent),2024,Boligblokk,15.5
Skien,Alder i alt,Personer (prosent),2024,Annen boligbygning,2.4
Skien,0-19 år,Antall personer,2024,Boliger i alt,12383.0
Skien,0-19 år,Antall personer,2024,Enebolig,8521.0
Skien,0-19 år,Antall personer,2024,Tomannsbolig,1408.0
Skien,0-19 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",1185.0
Skien,0-19 år,Antall personer,2024,Boligblokk,1078.0
Skien,0-19 år,Antall personer,2024,Annen boligbygning,191.0
Skien,0-19 år,Personer (prosent),2024,Boliger i alt,100.0
Skien,0-19 år,Personer (prosent),2024,Enebolig,68.8
Skien,0-19 år,Personer (prosent),2024,Tomannsbolig,11.4
Skien,0-19 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",9.6
Skien,0-19 år,Personer (prosent),2024,Boligblokk,8.7
Skien,0-19 år,Personer (prosent),2024,Annen boligbygning,1.5
Skien,20-29 år,Antall personer,2024,Boliger i alt,5462.0
Skien,20-29 år,Antall personer,2024,Enebolig,2733.0
Skien,20-29 år,Antall personer,2024,Tomannsbolig,702.0
Skien,20-29 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",706.0
Skien,20-29 år,Antall personer,2024,Boligblokk,1094.0
Skien,20-29 år,Antall personer,2024,Annen boligbygning,227.0
Skien,20-29 år,Personer (prosent),2024,Boliger i alt,100.0
Skien,20-29 år,Personer (prosent),2024,Enebolig,50.0
Skien,20-29 år,Personer (prosent),2024,Tomannsbolig,12.9
Skien,20-29 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",12.9
Skien,20-29 år,Personer (prosent),2024,Boligblokk,20.0
Skien,20-29 år,Personer (prosent),2024,Annen boligbygning,4.2
Skien,30-39 år,Antall personer,2024,Boliger i alt,7382.0
Skien,30-39 år,Antall personer,2024,Enebolig,4316.0
Skien,30-39 år,Antall personer,2024,Tomannsbolig,895.0
Skien,30-39 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",823.0
Skien,30-39 år,Antall personer,2024,Boligblokk,1111.0
Skien,30-39 år,Antall personer,2024,Annen boligbygning,237.0
Skien,30-39 år,Personer (prosent),2024,Boliger i alt,100.0
Skien,30-39 år,Personer (prosent),2024,Enebolig,58.5
Skien,30-39 år,Personer (prosent),2024,Tomannsbolig,12.1
Skien,30-39 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",11.1
Skien,30-39 år,Personer (prosent),2024,Boligblokk,15.1
Skien,30-39 år,Personer (prosent),2024,Annen boligbygning,3.2
Skien,40-49 år,Antall personer,2024,Boliger i alt,7003.0
Skien,40-49 år,Antall personer,2024,Enebolig,4584.0
Skien,40-49 år,Antall personer,2024,Tomannsbolig,749.0
Skien,40-49 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",690.0
Skien,40-49 år,Antall personer,2024,Boligblokk,815.0
Skien,40-49 år,Antall personer,2024,Annen boligbygning,165.0
Skien,40-49 år,Personer (prosent),2024,Boliger i alt,100.0
Skien,40-49 år,Personer (prosent),2024,Enebolig,65.5
Skien,40-49 år,Personer (prosent),2024,Tomannsbolig,10.7
Skien,40-49 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",9.9
Skien,40-49 år,Personer (prosent),2024,Boligblokk,11.6
Skien,40-49 år,Personer (prosent),2024,Annen boligbygning,2.4
Skien,50-66 år,Antall personer,2024,Boliger i alt,12792.0
Skien,50-66 år,Antall personer,2024,Enebolig,8070.0
Skien,50-66 år,Antall personer,2024,Tomannsbolig,1243.0
Skien,50-66 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",1364.0
Skien,50-66 år,Antall personer,2024,Boligblokk,1867.0
Skien,50-66 år,Antall personer,2024,Annen boligbygning,248.0
Skien,50-66 år,Personer (prosent),2024,Boliger i alt,100.0
Skien,50-66 år,Personer (prosent),2024,Enebolig,63.1
Skien,50-66 år,Personer (prosent),2024,Tomannsbolig,9.7
Skien,50-66 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",10.7
Skien,50-66 år,Personer (prosent),2024,Boligblokk,14.6
Skien,50-66 år,Personer (prosent),2024,Annen boligbygning,1.9
Skien,67-79 år,Antall personer,2024,Boliger i alt,7605.0
Skien,67-79 år,Antall personer,2024,Enebolig,4317.0
Skien,67-79 år,Antall personer,2024,Tomannsbolig,565.0
Skien,67-79 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",897.0
Skien,67-79 år,Antall personer,2024,Boligblokk,1683.0
Skien,67-79 år,Antall personer,2024,Annen boligbygning,143.0
Skien,67-79 år,Personer (prosent),2024,Boliger i alt,100.0
Skien,67-79 år,Personer (prosent),2024,Enebolig,56.8
Skien,67-79 år,Personer (prosent),2024,Tomannsbolig,7.4
Skien,67-79 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",11.8
Skien,67-79 år,Personer (prosent),2024,Boligblokk,22.1
Skien,67-79 år,Personer (prosent),2024,Annen boligbygning,1.9
Skien,80 år eller eldre,Antall personer,2024,Boliger i alt,2743.0
Skien,80 år eller eldre,Antall personer,2024,Enebolig,1228.0
Skien,80 år eller eldre,Antall personer,2024,Tomannsbolig,185.0
Skien,80 år eller eldre,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",300.0
Skien,80 år eller eldre,Antall personer,2024,Boligblokk,923.0
Skien,80 år eller eldre,Antall personer,2024,Annen boligbygning,107.0
Skien,80 år eller eldre,Personer (prosent),2024,Boliger i alt,100.0
Skien,80 år eller eldre,Personer (prosent),2024,Enebolig,44.8
Skien,80 år eller eldre,Personer (prosent),2024,Tomannsbolig,6.7
Skien,80 år eller eldre,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",10.9
Skien,80 år eller eldre,Personer (prosent),2024,Boligblokk,33.6
Skien,80 år eller eldre,Personer (prosent),2024,Annen boligbygning,3.9
Notodden,Alder i alt,Antall personer,2024,Boliger i alt,13102.0
Notodden,Alder i alt,Antall personer,2024,Enebolig,9917.0
Notodden,Alder i alt,Antall personer,2024,Tomannsbolig,967.0
Notodden,Alder i alt,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",903.0
Notodden,Alder i alt,Antall personer,2024,Boligblokk,511.0
Notodden,Alder i alt,Antall personer,2024,Annen boligbygning,804.0
Notodden,Alder i alt,Personer (prosent),2024,Boliger i alt,100.0
Notodden,Alder i alt,Personer (prosent),2024,Enebolig,75.7
Notodden,Alder i alt,Personer (prosent),2024,Tomannsbolig,7.4
Notodden,Alder i alt,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",6.9
Notodden,Alder i alt,Personer (prosent),2024,Boligblokk,3.9
Notodden,Alder i alt,Personer (prosent),2024,Annen boligbygning,6.1
Notodden,0-19 år,Antall personer,2024,Boliger i alt,2769.0
Notodden,0-19 år,Antall personer,2024,Enebolig,2273.0
Notodden,0-19 år,Antall personer,2024,Tomannsbolig,207.0
Notodden,0-19 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",156.0
Notodden,0-19 år,Antall personer,2024,Boligblokk,44.0
Notodden,0-19 år,Antall personer,2024,Annen boligbygning,89.0
Notodden,0-19 år,Personer (prosent),2024,Boliger i alt,100.0
Notodden,0-19 år,Personer (prosent),2024,Enebolig,82.1
Notodden,0-19 år,Personer (prosent),2024,Tomannsbolig,7.5
