region,alder,statistikkvariabel,år,bygningstype,value
Bamble,80 år eller eldre,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",97.0
Bamble,80 år eller eldre,Antall personer,2024,Boligblokk,46.0
Bamble,80 år eller eldre,Antall personer,2024,Annen boligbygning,57.0
Bamble,80 år eller eldre,Personer (prosent),2024,Boliger i alt,100.0
Bamble,80 år eller eldre,Personer (prosent),2024,Enebolig,65.5
Bamble,80 år eller eldre,Personer (prosent),2024,Tomannsbolig,6.7
Bamble,80 år eller eldre,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",13.5
Bamble,80 år eller eldre,Personer (prosent),2024,Boligblokk,6.4
Bamble,80 år eller eldre,Personer (prosent),2024,Annen boligbygning,7.9
Kragerø,Alder i alt,Antall personer,2024,Boliger i alt,10228.0
Kragerø,Alder i alt,Antall personer,2024,Enebolig,7392.0
Kragerø,Alder i alt,Antall personer,2024,Tomannsbolig,896.0
Kragerø,Alder i alt,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",1045.0
Kragerø,Alder i alt,Antall personer,2024,Boligblokk,503.0
Kragerø,Alder i alt,Antall personer,2024,Annen boligbygning,392.0
Kragerø,Alder i alt,Personer (prosent),2024,Boliger i alt,100.0
Kragerø,Alder i alt,Personer (prosent),2024,Enebolig,72.3
Kragerø,Alder i alt,Personer (prosent),2024,Tomannsbolig,8.8
Kragerø,Alder i alt,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",10.2
Kragerø,Alder i alt,Personer (prosent),2024,Boligblokk,4.9
Kragerø,Alder i alt,Personer (prosent),2024,Annen boligbygning,3.8
Kragerø,0-19 år,Antall personer,2024,Boliger i alt,2020.0
Kragerø,0-19 år,Antall personer,2024,Enebolig,1600.0
Kragerø,0-19 år,Antall personer,2024,Tomannsbolig,147.0
Kragerø,0-19 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",170.0
Kragerø,0-19 år,Antall personer,2024,Boligblokk,50.0
Kragerø,0-19 år,Antall personer,2024,Annen boligbygning,53.0
Kragerø,0-19 år,Personer (prosent),2024,Boliger i alt,100.0
Kragerø,0-19 år,Personer (prosent),2024,Enebolig,79.2
Kragerø,0-19 år,Personer (prosent),2024,Tomannsbolig,7.3
Kragerø,0-19 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",8.4
Kragerø,0-19 år,Personer (prosent),2024,Boligblokk,2.5
Kragerø,0-19 år,Personer (prosent),2024,Annen boligbygning,2.6
Kragerø,20-29 år,Antall personer,2024,Boliger i alt,801.0
Kragerø,20-29 år,Antall personer,2024,Enebolig,545.0
Kragerø,20-29 år,Antall personer,2024,Tomannsbolig,90.0
Kragerø,20-29 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",98.0
Kragerø,20-29 år,Antall personer,2024,Boligblokk,30.0
Kragerø,20-29 år,Antall personer,2024,Annen boligbygning,38.0
Kragerø,20-29 år,Personer (prosent),2024,Boliger i alt,100.0
Kragerø,20-29 år,Personer (prosent),2024,Enebolig,68.0
Kragerø,20-29 år,Personer (prosent),2024,Tomannsbolig,11.2
Kragerø,20-29 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",12.2
Kragerø,20-29 år,Personer (prosent),2024,Boligblokk,3.7
Kragerø,20-29 år,Personer (prosent),2024,Annen boligbygning,4.7
Kragerø,30-39 år,Antall personer,2024,Boliger i alt,1117.0
Kragerø,30-39 år,Antall personer,2024,Enebolig,775.0
Kragerø,30-39 år,Antall personer,2024,Tomannsbolig,105.0
Kragerø,30-39 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",126.0
Kragerø,30-39 år,Antall personer,2024,Boligblokk,54.0
Kragerø,30-39 år,Antall personer,2024,Annen boligbygning,57.0
Kragerø,30-39 år,Personer (prosent),2024,Boliger i alt,100.0
Kragerø,30-39 år,Personer (prosent),2024,Enebolig,69.4
Kragerø,30-39 år,Personer (prosent),2024,Tomannsbolig,9.4
Kragerø,30-39 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",11.3
Kragerø,30-39 år,Personer (prosent),2024,Boligblokk,4.8
Kragerø,30-39 år,Personer (prosent),2024,Annen boligbygning,5.1
Kragerø,40-49 år,Antall personer,2024,Boliger i alt,1240.0
Kragerø,40-49 år,Antall personer,2024,Enebolig,963.0
Kragerø,40-49 år,Antall personer,2024,Tomannsbolig,87.0
Kragerø,40-49 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",102.0
Kragerø,40-49 år,Antall personer,2024,Boligblokk,48.0
Kragerø,40-49 år,Antall personer,2024,Annen boligbygning,40.0
Kragerø,40-49 år,Personer (prosent),2024,Boliger i alt,100.0
Kragerø,40-49 år,Personer (prosent),2024,Enebolig,77.7
Kragerø,40-49 år,Personer (prosent),2024,Tomannsbolig,7.0
Kragerø,40-49 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",8.2
Kragerø,40-49 år,Personer (prosent),2024,Boligblokk,3.9
Kragerø,40-49 år,Personer (prosent),2024,Annen boligbygning,3.2
Kragerø,50-66 år,Antall personer,2024,Boliger i alt,2585.0
Kragerø,50-66 år,Antall personer,2024,Enebolig,1908.0
Kragerø,50-66 år,Antall personer,2024,Tomannsbolig,241.0
Kragerø,50-66 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",251.0
Kragerø,50-66 år,Antall personer,2024,Boligblokk,108.0
Kragerø,50-66 år,Antall personer,2024,Annen boligbygning,77.0
Kragerø,50-66 år,Personer (prosent),2024,Boliger i alt,100.0
Kragerø,50-66 år,Personer (prosent),2024,Enebolig,73.8
Kragerø,50-66 år,Personer (prosent),2024,Tomannsbolig,9.3
Kragerø,50-66 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",9.7
Kragerø,50-66 år,Personer (prosent),2024,Boligblokk,4.2
Kragerø,50-66 år,Personer (prosent),2024,Annen boligbygning,3.0
Kragerø,67-79 år,Antall personer,2024,Boliger i alt,1831.0
Kragerø,67-79 år,Antall personer,2024,Enebolig,1242.0
Kragerø,67-79 år,Antall personer,2024,Tomannsbolig,161.0
Kragerø,67-79 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",227.0
Kragerø,67-79 år,Antall personer,2024,Boligblokk,132.0
Kragerø,67-79 år,Antall personer,2024,Annen boligbygning,69.0
Kragerø,67-79 år,Personer (prosent),2024,Boliger i alt,100.0
Kragerø,67-79 år,Personer (prosent),2024,Enebolig,67.8
Kragerø,67-79 år,Personer (prosent),2024,Tomannsbolig,8.8
Kragerø,67-79 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",12.4
Kragerø,67-79 år,Personer (prosent),2024,Boligblokk,7.2
Kragerø,67-79 år,Personer (prosent),2024,Annen boligbygning,3.8
Kragerø,80 år eller eldre,Antall personer,2024,Boliger i alt,634.0
Kragerø,80 år eller eldre,Antall personer,2024,Enebolig,359.0
Kragerø,80 år eller eldre,Antall personer,2024,Tomannsbolig,65.0
Kragerø,80 år eller eldre,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",71.0
Kragerø,80 år eller eldre,Antall personer,2024,Boligblokk,81.0
Kragerø,80 år eller eldre,Antall personer,2024,Annen boligbygning,58.0
Kragerø,80 år eller eldre,Personer (prosent),2024,Boliger i alt,100.0
Kragerø,80 år eller eldre,Personer (prosent),2024,Enebolig,56.6
Kragerø,80 år eller eldre,Personer (prosent),2024,Tomannsbolig,10.3
Kragerø,80 år eller eldre,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",11.2
Kragerø,80 år eller eldre,Personer (prosent),2024,Boligblokk,12.8
Kragerø,80 år eller eldre,Personer (prosent),2024,Annen boligbygning,9.1
Midt-Telemark,Alder i alt,Antall personer,2024,Boliger i alt,11227.0
Midt-Telemark,Alder i alt,Antall personer,2024,Enebolig,8662.0
Midt-Telemark,Alder i alt,Antall personer,2024,Tomannsbolig,512.0
Midt-Telemark,Alder i alt,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",685.0
Midt-Telemark,Alder i alt,Antall personer,2024,Boligblokk,650.0
Midt-Telemark,Alder i alt,Antall personer,2024,Annen boligbygning,718.0
Midt-Telemark,Alder i alt,Personer (prosent),2024,Boliger i alt,100.0
Midt-Telemark,Alder i alt,Personer (prosent),2024,Enebolig,77.2
Midt-Telemark,Alder i alt,Personer (prosent),2024,Tomannsbolig,4.6
Midt-Telemark,Alder i alt,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",6.1
Midt-Telemark,Alder i alt,Personer (prosent),2024,Boligblokk,5.8
Midt-Telemark,Alder i alt,Personer (prosent),2024,Annen boligbygning,6.4
Midt-Telemark,0-19 år,Antall personer,2024,Boliger i alt,2448.0
Midt-Telemark,0-19 år,Antall personer,2024,Enebolig,2061.0
Midt-Telemark,0-19 år,Antall personer,2024,Tomannsbolig,113.0
Midt-Telemark,0-19 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",130.0
Midt-Telemark,0-19 år,Antall personer,2024,Boligblokk,57.0
Midt-Telemark,0-19 år,Antall personer,2024,Annen boligbygning,87.0
Midt-Telemark,0-19 år,Personer (prosent),2024,Boliger i alt,100.0
Midt-Telemark,0-19 år,Personer (prosent),2024,Enebolig,84.2
Midt-Telemark,0-19 år,Personer (prosent),2024,Tomannsbolig,4.6
Midt-Telemark,0-19 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",5.3
Midt-Telemark,0-19 år,Personer (prosent),2024,Boligblokk,2.3
Midt-Telemark,0-19 år,Personer (prosent),2024,Annen boligbygning,3.6
Midt-Telemark,20-29 år,Antall personer,2024,Boliger i alt,1821.0
Midt-Telemark,20-29 år,Antall personer,2024,Enebolig,1002.0
Midt-Telemark,20-29 år,Antall personer,2024,Tomannsbolig,73.0
Midt-Telemark,20-29 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",112.0
Midt-Telemark,20-29 år,Antall personer,2024,Boligblokk,317.0
Midt-Telemark,20-29 år,Antall personer,2024,Annen boligbygning,317.0
Midt-Telemark,20-29 år,Personer (prosent),2024,Boliger i alt,100.0
Midt-Telemark,20-29 år,Personer (prosent),2024,Enebolig,55.0
Midt-Telemark,20-29 år,Personer (prosent),2024,Tomannsbolig,4.0
Midt-Telemark,20-29 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",6.2
Midt-Telemark,20-29 år,Personer (prosent),2024,Boligblokk,17.4
Midt-Telemark,20-29 år,Personer (prosent),2024,Annen boligbygning,17.4
Midt-Telemark,30-39 år,Antall personer,2024,Boliger i alt,1373.0
Midt-Telemark,30-39 år,Antall personer,2024,Enebolig,1066.0
Midt-Telemark,30-39 år,Antall personer,2024,Tomannsbolig,90.0
Midt-Telemark,30-39 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",98.0
Midt-Telemark,30-39 år,Antall personer,2024,Boligblokk,49.0
Midt-Telemark,30-39 år,Antall personer,2024,Annen boligbygning,70.0
Midt-Telemark,30-39 år,Personer (prosent),2024,Boliger i alt,100.0
Midt-Telemark,30-39 år,Personer (prosent),2024,Enebolig,77.6
Midt-Telemark,30-39 år,Personer (prosent),2024,Tomannsbolig,6.6
Midt-Telemark,30-39 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.1
Midt-Telemark,30-39 år,Personer (prosent),2024,Boligblokk,3.6
Midt-Telemark,30-39 år,Personer (prosent),2024,Annen boligbygning,5.1
Midt-Telemark,40-49 år,Antall personer,2024,Boliger i alt,1345.0
Midt-Telemark,40-49 år,Antall personer,2024,Enebolig,1134.0
Midt-Telemark,40-49 år,Antall personer,2024,Tomannsbolig,54.0
Midt-Telemark,40-49 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",82.0
Midt-Telemark,40-49 år,Antall personer,2024,Boligblokk,35.0
Midt-Telemark,40-49 år,Antall personer,2024,Annen boligbygning,40.0
Midt-Telemark,40-49 år,Personer (prosent),2024,Boliger i alt,100.0
Midt-Telemark,40-49 år,Personer (prosent),2024,Enebolig,84.3
Midt-Telemark,40-49 år,Personer (prosent),2024,Tomannsbolig,4.0
Midt-Telemark,40-49 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",6.1
Midt-Telemark,40-49 år,Personer (prosent),2024,Boligblokk,2.6
Midt-Telemark,40-49 år,Personer (prosent),2024,Annen boligbygning,3.0
Midt-Telemark,50-66 år,Antall personer,2024,Boliger i alt,2249.0
Midt-Telemark,50-66 år,Antall personer,2024,Enebolig,1887.0
Midt-Telemark,50-66 år,Antall personer,2024,Tomannsbolig,98.0
Midt-Telemark,50-66 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",122.0
Midt-Telemark,50-66 år,Antall personer,2024,Boligblokk,77.0
Midt-Telemark,50-66 år,Antall personer,2024,Annen boligbygning,65.0
Midt-Telemark,50-66 år,Personer (prosent),2024,Boliger i alt,100.0
Midt-Telemark,50-66 år,Personer (prosent),2024,Enebolig,83.9
Midt-Telemark,50-66 år,Personer (prosent),2024,Tomannsbolig,4.4
Midt-Telemark,50-66 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",5.4
Midt-Telemark,50-66 år,Personer (prosent),2024,Boligblokk,3.4
Midt-Telemark,50-66 år,Personer (prosent),2024,Annen boligbygning,2.9
Midt-Telemark,67-79 år,Antall personer,2024,Boliger i alt,1425.0
Midt-Telemark,67-79 år,Antall personer,2024,Enebolig,1139.0
Midt-Telemark,67-79 år,Antall personer,2024,Tomannsbolig,65.0
Midt-Telemark,67-79 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",92.0
Midt-Telemark,67-79 år,Antall personer,2024,Boligblokk,78.0
Midt-Telemark,67-79 år,Antall personer,2024,Annen boligbygning,51.0
Midt-Telemark,67-79 år,Personer (prosent),2024,Boliger i alt,100.0
Midt-Telemark,67-79 år,Personer (prosent),2024,Enebolig,79.9
Midt-Telemark,67-79 år,Personer (prosent),2024,Tomannsbolig,4.6
Midt-Telemark,67-79 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",6.5
Midt-Telemark,67-79 år,Personer (prosent),2024,Boligblokk,5.5
Midt-Telemark,67-79 år,Personer (prosent),2024,Annen boligbygning,3.6
Midt-Telemark,80 år eller eldre,Antall personer,2024,Boliger i alt,566.0
Midt-Telemark,80 år eller eldre,Antall personer,2024,Enebolig,373.0
Midt-Telemark,80 år eller eldre,Antall personer,2024,Tomannsbolig,19.0
Midt-Telemark,80 år eller eldre,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",49.0
Midt-Telemark,80 år eller eldre,Antall personer,2024,Boligblokk,37.0
Midt-Telemark,80 år eller eldre,Antall personer,2024,Annen boligbygning,88.0
Midt-Telemark,80 år eller eldre,Personer (prosent),2024,Boliger i alt,100.0
Midt-Telemark,80 år eller eldre,Personer (prosent),2024,Enebolig,65.9
Midt-Telemark,80 år eller eldre,Personer (prosent),2024,Tomannsbolig,3.4
Midt-Telemark,80 år eller eldre,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",8.7
Midt-Telemark,80 år eller eldre,Personer (prosent),2024,Boligblokk,6.5
Midt-Telemark,80 år eller eldre,Personer (prosent),2024,Annen boligbygning,15.5
