region,statistikkvariabel,år,bygningstype,value
Porsgrunn,Boliger (bebodde og ubebodde),2019,Enebolig,9095
Porsgrunn,Boliger (bebodde og ubebodde),2019,Tomannsbolig,1287
Porsgrunn,Boliger (bebodde og ubebodde),2019,"Rekkehus, kjedehus og andre småhus",2684
Porsgrunn,Boliger (bebodde og ubebodde),2019,Boligblokk,3228
Porsgrunn,Boliger (bebodde og ubebodde),2019,Bygning for bofellesskap,674
Porsgrunn,Boliger (bebodde og ubebodde),2019,Andre bygningstyper,492
Porsgrunn,Boliger (bebodde og ubebodde),2020,Enebolig,9100
Porsgrunn,Boliger (bebodde og ubebodde),2020,Tomannsbolig,1316
Porsgrunn,Boliger (bebodde og ubebodde),2020,"Rekkehus, kjedehus og andre småhus",2711
Porsgrunn,Boliger (bebodde og ubebodde),2020,Boligblokk,3293
Porsgrunn,Boliger (bebodde og ubebodde),2020,Bygning for bofellesskap,670
Porsgrunn,Boliger (bebodde og ubebodde),2020,Andre bygningstyper,512
Porsgrunn,Boliger (bebodde og ubebodde),2021,Enebolig,9116
Porsgrunn,Boliger (bebodde og ubebodde),2021,Tomannsbolig,1332
Porsgrunn,Boliger (bebodde og ubebodde),2021,"Rekkehus, kjedehus og andre småhus",2764
Porsgrunn,Boliger (bebodde og ubebodde),2021,Boligblokk,3360
Porsgrunn,Boliger (bebodde og ubebodde),2021,Bygning for bofellesskap,690
Porsgrunn,Boliger (bebodde og ubebodde),2021,Andre bygningstyper,483
Porsgrunn,Boliger (bebodde og ubebodde),2022,Enebolig,9135
Porsgrunn,Boliger (bebodde og ubebodde),2022,Tomannsbolig,1338
Porsgrunn,Boliger (bebodde og ubebodde),2022,"Rekkehus, kjedehus og andre småhus",2771
Porsgrunn,Boliger (bebodde og ubebodde),2022,Boligblokk,3380
Porsgrunn,Boliger (bebodde og ubebodde),2022,Bygning for bofellesskap,693
Porsgrunn,Boliger (bebodde og ubebodde),2022,Andre bygningstyper,488
Porsgrunn,Boliger (bebodde og ubebodde),2023,Enebolig,9122
Porsgrunn,Boliger (bebodde og ubebodde),2023,Tomannsbolig,1362
Porsgrunn,Boliger (bebodde og ubebodde),2023,"Rekkehus, kjedehus og andre småhus",2832
Porsgrunn,Boliger (bebodde og ubebodde),2023,Boligblokk,3474
Porsgrunn,Boliger (bebodde og ubebodde),2023,Bygning for bofellesskap,693
Porsgrunn,Boliger (bebodde og ubebodde),2023,Andre bygningstyper,477
Porsgrunn,Boliger (bebodde og ubebodde),2024,Enebolig,9136
Porsgrunn,Boliger (bebodde og ubebodde),2024,Tomannsbolig,1386
Porsgrunn,Boliger (bebodde og ubebodde),2024,"Rekkehus, kjedehus og andre småhus",2872
Porsgrunn,Boliger (bebodde og ubebodde),2024,Boligblokk,3545
Porsgrunn,Boliger (bebodde og ubebodde),2024,Bygning for bofellesskap,693
Porsgrunn,Boliger (bebodde og ubebodde),2024,Andre bygningstyper,472
Porsgrunn,Boliger (bebodde og ubebodde),2025,Enebolig,9152
Porsgrunn,Boliger (bebodde og ubebodde),2025,Tomannsbolig,1396
Porsgrunn,Boliger (bebodde og ubebodde),2025,"Rekkehus, kjedehus og andre småhus",2885
Porsgrunn,Boliger (bebodde og ubebodde),2025,Boligblokk,3562
Porsgrunn,Boliger (bebodde og ubebodde),2025,Bygning for bofellesskap,693
Porsgrunn,Boliger (bebodde og ubebodde),2025,Andre bygningstyper,473
Porsgrunn,Boliger (bebodde og ubebodde),2026,Enebolig,9167
Porsgrunn,Boliger (bebodde og ubebodde),2026,Tomannsbolig,1409
Porsgrunn,Boliger (bebodde og ubebodde),2026,"Rekkehus, kjedehus og andre småhus",2908
Porsgrunn,Boliger (bebodde og ubebodde),2026,Boligblokk,3590
Porsgrunn,Boliger (bebodde og ubebodde),2026,Bygning for bofellesskap,925
Porsgrunn,Boliger (bebodde og ubebodde),2026,Andre bygningstyper,472
Skien,Boliger (bebodde og ubebodde),2006,Enebolig,13524
Skien,Boliger (bebodde og ubebodde),2006,Tomannsbolig,1881
Skien,Boliger (bebodde og ubebodde),2006,"Rekkehus, kjedehus og andre småhus",2747
Skien,Boliger (bebodde og ubebodde),2006,Boligblokk,3992
Skien,Boliger (bebodde og ubebodde),2006,Bygning for bofellesskap,110
Skien,Boliger (bebodde og ubebodde),2006,Andre bygningstyper,696
Skien,Boliger (bebodde og ubebodde),2007,Enebolig,13490
Skien,Boliger (bebodde og ubebodde),2007,Tomannsbolig,1968
Skien,Boliger (bebodde og ubebodde),2007,"Rekkehus, kjedehus og andre småhus",2832
Skien,Boliger (bebodde og ubebodde),2007,Boligblokk,4037
Skien,Boliger (bebodde og ubebodde),2007,Bygning for bofellesskap,110
Skien,Boliger (bebodde og ubebodde),2007,Andre bygningstyper,697
Skien,Boliger (bebodde og ubebodde),2008,Enebolig,13555
Skien,Boliger (bebodde og ubebodde),2008,Tomannsbolig,2027
Skien,Boliger (bebodde og ubebodde),2008,"Rekkehus, kjedehus og andre småhus",2875
Skien,Boliger (bebodde og ubebodde),2008,Boligblokk,4180
Skien,Boliger (bebodde og ubebodde),2008,Bygning for bofellesskap,125
Skien,Boliger (bebodde og ubebodde),2008,Andre bygningstyper,797
Skien,Boliger (bebodde og ubebodde),2009,Enebolig,13595
Skien,Boliger (bebodde og ubebodde),2009,Tomannsbolig,2088
Skien,Boliger (bebodde og ubebodde),2009,"Rekkehus, kjedehus og andre småhus",2888
Skien,Boliger (bebodde og ubebodde),2009,Boligblokk,4228
Skien,Boliger (bebodde og ubebodde),2009,Bygning for bofellesskap,120
Skien,Boliger (bebodde og ubebodde),2009,Andre bygningstyper,821
Skien,Boliger (bebodde og ubebodde),2010,Enebolig,13626
Skien,Boliger (bebodde og ubebodde),2010,Tomannsbolig,2132
Skien,Boliger (bebodde og ubebodde),2010,"Rekkehus, kjedehus og andre småhus",2909
Skien,Boliger (bebodde og ubebodde),2010,Boligblokk,4262
