ssbid_250,År,Populasjon
21840006574250,2016-01-01,4
21840006575000,2016-01-01,2
21842506566750,2016-01-01,1
21842506573500,2016-01-01,2
21842506573750,2016-01-01,7
21842506574000,2016-01-01,2
21842506574500,2016-01-01,4
21842506575250,2016-01-01,5
21842506579750,2016-01-01,3
21845006567750,2016-01-01,2
21845006573750,2016-01-01,1
21845006574000,2016-01-01,5
21845006574250,2016-01-01,10
21845006574750,2016-01-01,4
21845006575000,2016-01-01,5
21845006579000,2016-01-01,8
21845006579250,2016-01-01,7
21845006579500,2016-01-01,9
21845006579750,2016-01-01,2
21847506567000,2016-01-01,2
21847506567500,2016-01-01,1
21847506573750,2016-01-01,5
21847506574250,2016-01-01,8
21847506579000,2016-01-01,10
21847506579250,2016-01-01,6
21850006568000,2016-01-01,2
21850006573750,2016-01-01,2
21850006574250,2016-01-01,11
21850006575500,2016-01-01,3
21850006577750,2016-01-01,3
21850006578500,2016-01-01,5
21850006579000,2016-01-01,2
21852506567500,2016-01-01,2
21852506567750,2016-01-01,8
21852506568000,2016-01-01,2
21852506574500,2016-01-01,2
21852506575500,2016-01-01,4
21852506577500,2016-01-01,5
21852506578250,2016-01-01,3
21852506578500,2016-01-01,2
21855006567000,2016-01-01,4
21855006567250,2016-01-01,2
21855006567750,2016-01-01,7
21855006573500,2016-01-01,2
21855006574750,2016-01-01,7
21855006575500,2016-01-01,5
21855006576750,2016-01-01,1
21855006577500,2016-01-01,1
21855006578250,2016-01-01,9
21855006578750,2016-01-01,1
21855006579000,2016-01-01,3
21857506566750,2016-01-01,16
21857506567000,2016-01-01,13
21857506567250,2016-01-01,5
21857506569750,2016-01-01,8
21857506570000,2016-01-01,5
21857506573500,2016-01-01,2
21857506578750,2016-01-01,33
21860006566750,2016-01-01,7
21860006570000,2016-01-01,3
21860006573000,2016-01-01,4
21860006573250,2016-01-01,3
21860006573500,2016-01-01,5
21860006573750,2016-01-01,10
21860006576000,2016-01-01,5
21860006576500,2016-01-01,9
21860006576750,2016-01-01,24
21860006577000,2016-01-01,33
21860006577250,2016-01-01,23
21860006577500,2016-01-01,1
21860006578250,2016-01-01,5
21860006578500,2016-01-01,1
21860006586500,2016-01-01,4
21862506567250,2016-01-01,8
21862506567500,2016-01-01,70
21862506567750,2016-01-01,15
21862506570000,2016-01-01,2
21862506573000,2016-01-01,2
21862506573250,2016-01-01,4
21862506574000,2016-01-01,3
21862506574250,2016-01-01,2
21862506575750,2016-01-01,2
21862506576000,2016-01-01,2
21862506576250,2016-01-01,2
21862506576750,2016-01-01,7
21862506577000,2016-01-01,52
21862506577250,2016-01-01,7
21862506577750,2016-01-01,7
21862506578000,2016-01-01,1
21865006567250,2016-01-01,7
21865006567500,2016-01-01,29
21865006570250,2016-01-01,4
21865006572000,2016-01-01,3
21865006572250,2016-01-01,3
21865006572500,2016-01-01,4
21865006572750,2016-01-01,1
21865006573250,2016-01-01,4
21865006573500,2016-01-01,3
21865006573750,2016-01-01,4
21865006574000,2016-01-01,5
21865006574250,2016-01-01,1
21865006576250,2016-01-01,4
21865006576500,2016-01-01,9
21865006577000,2016-01-01,2
21865006577500,2016-01-01,7
21865006577750,2016-01-01,4
21865006578000,2016-01-01,1
21867506567500,2016-01-01,10
21867506568250,2016-01-01,2
21867506570000,2016-01-01,4
21867506571250,2016-01-01,5
21867506571500,2016-01-01,7
21867506571750,2016-01-01,3
21867506572000,2016-01-01,2
21867506572250,2016-01-01,3
21867506572750,2016-01-01,8
21867506573000,2016-01-01,1
21867506573250,2016-01-01,2
21867506576250,2016-01-01,29
21867506576500,2016-01-01,5
21867506577000,2016-01-01,49
21867506577250,2016-01-01,73
21867506577500,2016-01-01,24
21867506586500,2016-01-01,1
21870006567500,2016-01-01,2
21870006568250,2016-01-01,4
21870006568500,2016-01-01,4
21870006569000,2016-01-01,6
21870006569750,2016-01-01,2
21870006570000,2016-01-01,2
21870006571750,2016-01-01,9
21870006572250,2016-01-01,3
21870006573000,2016-01-01,11
21870006573750,2016-01-01,9
21870006574000,2016-01-01,6
21870006576000,2016-01-01,3
21870006576250,2016-01-01,5
21870006576500,2016-01-01,1
21870006576750,2016-01-01,49
21870006577000,2016-01-01,89
21870006577250,2016-01-01,12
21872506567500,2016-01-01,2
21872506568750,2016-01-01,1
21872506571250,2016-01-01,10
21872506571500,2016-01-01,7
21872506573250,2016-01-01,6
21872506573500,2016-01-01,2
21872506574000,2016-01-01,4
21872506574750,2016-01-01,5
21872506575500,2016-01-01,6
21872506576500,2016-01-01,78
21872506576750,2016-01-01,156
21872506577000,2016-01-01,75
21875006567250,2016-01-01,1
21875006569000,2016-01-01,7
21875006573000,2016-01-01,8
21875006573250,2016-01-01,11
21875006573500,2016-01-01,8
21875006574250,2016-01-01,5
21875006574500,2016-01-01,2
21875006574750,2016-01-01,8
21875006575250,2016-01-01,8
21875006575500,2016-01-01,9
21875006576000,2016-01-01,8
21875006576250,2016-01-01,21
21875006576750,2016-01-01,136
21875006577000,2016-01-01,17
21877506567500,2016-01-01,7
21877506569000,2016-01-01,6
21877506570000,2016-01-01,3
21877506572750,2016-01-01,1
21877506573000,2016-01-01,8
21877506573500,2016-01-01,3
21877506574000,2016-01-01,1
21877506574250,2016-01-01,3
21877506574500,2016-01-01,56
21877506574750,2016-01-01,104
21877506575000,2016-01-01,12
21877506575250,2016-01-01,49
21877506575500,2016-01-01,18
21877506575750,2016-01-01,1
21877506576000,2016-01-01,61
21877506576250,2016-01-01,17
21877506576500,2016-01-01,75
21877506576750,2016-01-01,106
21880006567250,2016-01-01,2
21880006567500,2016-01-01,6
21880006568250,2016-01-01,2
21880006568500,2016-01-01,8
21880006569250,2016-01-01,4
21880006572500,2016-01-01,4
21880006573000,2016-01-01,6
21880006573250,2016-01-01,2
21880006573500,2016-01-01,7
21880006574000,2016-01-01,15
21880006574250,2016-01-01,130
21880006574500,2016-01-01,103
21880006574750,2016-01-01,85
21880006575000,2016-01-01,93
21880006575250,2016-01-01,144
21880006575500,2016-01-01,36
21880006575750,2016-01-01,10
21880006576250,2016-01-01,2
21880006576500,2016-01-01,8
21880006576750,2016-01-01,27
21882506567000,2016-01-01,2
21882506568250,2016-01-01,8
21882506569000,2016-01-01,1
21882506569250,2016-01-01,3
21882506569500,2016-01-01,5
21882506571000,2016-01-01,8
21882506572500,2016-01-01,18
21882506573250,2016-01-01,19
21882506573750,2016-01-01,2
21882506574000,2016-01-01,115
21882506574250,2016-01-01,153
21882506574500,2016-01-01,88
21882506574750,2016-01-01,134
21882506575000,2016-01-01,135
21882506575250,2016-01-01,95
21882506575750,2016-01-01,8
