region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,0 år,321,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,1-5 år,1683,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,6-12 år,2600,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,13-15 år,1267,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,16-19 år,1707,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,20-44 år,11214,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,45-66 år,10963,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,67-79 år,5082,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,80-89 år,1864,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,90 år eller eldre,355,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,0 år,325,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,1-5 år,1685,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,6-12 år,2592,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,13-15 år,1189,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,16-19 år,1761,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,20-44 år,11207,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,45-66 år,10979,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,67-79 år,5092,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,80-89 år,1973,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,90 år eller eldre,368,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,0 år,329,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,1-5 år,1693,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,6-12 år,2571,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,13-15 år,1182,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,16-19 år,1741,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,20-44 år,11213,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,45-66 år,10979,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,67-79 år,5105,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,80-89 år,2085,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,90 år eller eldre,391,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,0 år,332,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,1-5 år,1706,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,6-12 år,2541,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,13-15 år,1176,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,16-19 år,1726,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,20-44 år,11238,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,45-66 år,10969,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,67-79 år,5148,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,80-89 år,2170,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,90 år eller eldre,401,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,0 år,336,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,1-5 år,1722,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,6-12 år,2504,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,13-15 år,1199,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,16-19 år,1686,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,20-44 år,11257,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,45-66 år,10986,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,67-79 år,5175,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,80-89 år,2247,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,90 år eller eldre,413,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,0 år,339,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,1-5 år,1741,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,6-12 år,2510,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,13-15 år,1174,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,16-19 år,1624,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,20-44 år,11317,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,45-66 år,10938,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,67-79 år,5240,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,80-89 år,2320,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,90 år eller eldre,439,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,0 år,342,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,1-5 år,1757,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,6-12 år,2506,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,13-15 år,1153,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,16-19 år,1627,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,20-44 år,11306,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,45-66 år,10896,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,67-79 år,5313,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,80-89 år,2408,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,90 år eller eldre,450,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,0 år,346,2020,12882
