region,statistikkvariabel,år,value,Framskriving,Tabell
Porsgrunn (-2019),Hovedalternativet (MMMM),2018,36091,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2019,36195,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2020,36336,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2021,36494,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2022,36663,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2023,36870,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2024,37050,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2025,37242,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2026,37440,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2027,37638,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2028,37832,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2029,38050,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2030,38248,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2031,38452,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2032,38656,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2033,38845,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2034,39034,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2035,39223,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2036,39398,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2037,39574,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2038,39752,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2039,39925,2018,11668
Porsgrunn (-2019),Hovedalternativet (MMMM),2040,40094,2018,11668
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2018,36091,2018,11668
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2019,36141,2018,11668
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2020,36219,2018,11668
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2021,36309,2018,11668
