region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,0 år,329,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,1-5 år,1891,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,6-12 år,2837,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,13-15 år,1318,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,16-19 år,1874,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,20-44 år,11455,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,45-66 år,10355,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,67-79 år,3735,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,80-89 år,1377,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2014,90 år eller eldre,345,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,0 år,360,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,1-5 år,1847,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,6-12 år,2844,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,13-15 år,1324,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,16-19 år,1821,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,20-44 år,11453,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,45-66 år,10454,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,67-79 år,3925,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,80-89 år,1351,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2015,90 år eller eldre,346,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,0 år,366,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,1-5 år,1848,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,6-12 år,2863,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,13-15 år,1274,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,16-19 år,1837,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,20-44 år,11460,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,45-66 år,10550,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,67-79 år,4049,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,80-89 år,1344,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2016,90 år eller eldre,348,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,0 år,374,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,1-5 år,1824,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,6-12 år,2886,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,13-15 år,1241,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,16-19 år,1797,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,20-44 år,11515,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,45-66 år,10651,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,67-79 år,4193,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,80-89 år,1339,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2017,90 år eller eldre,344,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,0 år,385,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,1-5 år,1852,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,6-12 år,2857,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,13-15 år,1255,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,16-19 år,1765,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,20-44 år,11533,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,45-66 år,10731,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,67-79 år,4307,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,80-89 år,1363,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2018,90 år eller eldre,346,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,0 år,391,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,1-5 år,1899,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,6-12 år,2821,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,13-15 år,1292,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,16-19 år,1747,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,20-44 år,11536,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,45-66 år,10804,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,67-79 år,4420,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,80-89 år,1376,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2019,90 år eller eldre,352,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,0 år,397,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,1-5 år,1963,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,6-12 år,2792,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,13-15 år,1284,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,16-19 år,1718,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,20-44 år,11563,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,45-66 år,10869,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,67-79 år,4534,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,80-89 år,1389,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2020,90 år eller eldre,357,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,0 år,403,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,1-5 år,2006,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,6-12 år,2779,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,13-15 år,1279,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,16-19 år,1699,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,20-44 år,11624,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,45-66 år,10891,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,67-79 år,4649,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,80-89 år,1435,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2021,90 år eller eldre,351,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,0 år,407,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,1-5 år,2045,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,6-12 år,2776,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,13-15 år,1269,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,16-19 år,1714,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,20-44 år,11670,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,45-66 år,10896,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,67-79 år,4770,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,80-89 år,1461,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2022,90 år eller eldre,343,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,0 år,409,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,1-5 år,2079,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,6-12 år,2793,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,13-15 år,1270,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,16-19 år,1728,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,20-44 år,11697,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,45-66 år,10887,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,67-79 år,4846,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,80-89 år,1546,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2023,90 år eller eldre,340,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,0 år,411,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,1-5 år,2105,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,6-12 år,2790,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,13-15 år,1285,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,16-19 år,1737,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,20-44 år,11734,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,45-66 år,10881,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,67-79 år,4923,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,80-89 år,1637,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2024,90 år eller eldre,326,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,0 år,413,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,1-5 år,2125,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,6-12 år,2838,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,13-15 år,1264,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,16-19 år,1730,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,20-44 år,11786,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,45-66 år,10889,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,67-79 år,4965,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,80-89 år,1747,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2025,90 år eller eldre,324,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,0 år,413,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,1-5 år,2143,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,6-12 år,2897,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,13-15 år,1248,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,16-19 år,1713,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,20-44 år,11861,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,45-66 år,10887,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,67-79 år,4980,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,80-89 år,1848,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2026,90 år eller eldre,332,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,0 år,412,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,1-5 år,2156,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,6-12 år,2971,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,13-15 år,1194,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,16-19 år,1742,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,20-44 år,11899,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,45-66 år,10924,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,67-79 år,4978,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,80-89 år,1959,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2027,90 år eller eldre,337,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,0 år,411,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,1-5 år,2164,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,6-12 år,3023,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,13-15 år,1205,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,16-19 år,1721,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,20-44 år,11939,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,45-66 år,10952,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,67-79 år,4965,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,80-89 år,2068,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2028,90 år eller eldre,350,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2029,0 år,410,2014,10213
Porsgrunn (-2019),Middels nasjonal vekst (Alternativ MMMM),2029,1-5 år,2166,2014,10213
