region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (-2019),Folkemengde,2019,13-15 år,1342,2011,08825
Porsgrunn (-2019),Folkemengde,2019,16-19 år,1820,2011,08825
Porsgrunn (-2019),Folkemengde,2019,20-66 år,23248,2011,08825
Porsgrunn (-2019),Folkemengde,2019,67-79 år,4396,2011,08825
Porsgrunn (-2019),Folkemengde,2019,80-89 år,1385,2011,08825
Porsgrunn (-2019),Folkemengde,2019,90 år eller eldre,347,2011,08825
Porsgrunn (-2019),Folkemengde,2020,0 år,441,2011,08825
Porsgrunn (-2019),Folkemengde,2020,1-5 år,2233,2011,08825
Porsgrunn (-2019),Folkemengde,2020,6-12 år,3098,2011,08825
Porsgrunn (-2019),Folkemengde,2020,13-15 år,1359,2011,08825
Porsgrunn (-2019),Folkemengde,2020,16-19 år,1791,2011,08825
Porsgrunn (-2019),Folkemengde,2020,20-66 år,23434,2011,08825
Porsgrunn (-2019),Folkemengde,2020,67-79 år,4517,2011,08825
Porsgrunn (-2019),Folkemengde,2020,80-89 år,1399,2011,08825
Porsgrunn (-2019),Folkemengde,2020,90 år eller eldre,350,2011,08825
Porsgrunn (-2019),Folkemengde,2021,0 år,446,2011,08825
Porsgrunn (-2019),Folkemengde,2021,1-5 år,2270,2011,08825
Porsgrunn (-2019),Folkemengde,2021,6-12 år,3159,2011,08825
Porsgrunn (-2019),Folkemengde,2021,13-15 år,1334,2011,08825
Porsgrunn (-2019),Folkemengde,2021,16-19 år,1786,2011,08825
Porsgrunn (-2019),Folkemengde,2021,20-66 år,23610,2011,08825
Porsgrunn (-2019),Folkemengde,2021,67-79 år,4633,2011,08825
Porsgrunn (-2019),Folkemengde,2021,80-89 år,1440,2011,08825
Porsgrunn (-2019),Folkemengde,2021,90 år eller eldre,341,2011,08825
Porsgrunn (-2019),Folkemengde,2022,0 år,451,2011,08825
Porsgrunn (-2019),Folkemengde,2022,1-5 år,2303,2011,08825
Porsgrunn (-2019),Folkemengde,2022,6-12 år,3206,2011,08825
Porsgrunn (-2019),Folkemengde,2022,13-15 år,1328,2011,08825
Porsgrunn (-2019),Folkemengde,2022,16-19 år,1808,2011,08825
Porsgrunn (-2019),Folkemengde,2022,20-66 år,23768,2011,08825
Porsgrunn (-2019),Folkemengde,2022,67-79 år,4760,2011,08825
Porsgrunn (-2019),Folkemengde,2022,80-89 år,1462,2011,08825
Porsgrunn (-2019),Folkemengde,2022,90 år eller eldre,334,2011,08825
Porsgrunn (-2019),Folkemengde,2023,0 år,454,2011,08825
Porsgrunn (-2019),Folkemengde,2023,1-5 år,2338,2011,08825
Porsgrunn (-2019),Folkemengde,2023,6-12 år,3256,2011,08825
Porsgrunn (-2019),Folkemengde,2023,13-15 år,1341,2011,08825
Porsgrunn (-2019),Folkemengde,2023,16-19 år,1836,2011,08825
Porsgrunn (-2019),Folkemengde,2023,20-66 år,23867,2011,08825
Porsgrunn (-2019),Folkemengde,2023,67-79 år,4853,2011,08825
Porsgrunn (-2019),Folkemengde,2023,80-89 år,1535,2011,08825
Porsgrunn (-2019),Folkemengde,2023,90 år eller eldre,333,2011,08825
Porsgrunn (-2019),Folkemengde,2024,0 år,455,2011,08825
Porsgrunn (-2019),Folkemengde,2024,1-5 år,2361,2011,08825
Porsgrunn (-2019),Folkemengde,2024,6-12 år,3288,2011,08825
Porsgrunn (-2019),Folkemengde,2024,13-15 år,1389,2011,08825
Porsgrunn (-2019),Folkemengde,2024,16-19 år,1837,2011,08825
Porsgrunn (-2019),Folkemengde,2024,20-66 år,23957,2011,08825
Porsgrunn (-2019),Folkemengde,2024,67-79 år,4944,2011,08825
Porsgrunn (-2019),Folkemengde,2024,80-89 år,1619,2011,08825
Porsgrunn (-2019),Folkemengde,2024,90 år eller eldre,323,2011,08825
Porsgrunn (-2019),Folkemengde,2025,0 år,457,2011,08825
Porsgrunn (-2019),Folkemengde,2025,1-5 år,2382,2011,08825
Porsgrunn (-2019),Folkemengde,2025,6-12 år,3337,2011,08825
Porsgrunn (-2019),Folkemengde,2025,13-15 år,1409,2011,08825
Porsgrunn (-2019),Folkemengde,2025,16-19 år,1837,2011,08825
Porsgrunn (-2019),Folkemengde,2025,20-66 år,24073,2011,08825
Porsgrunn (-2019),Folkemengde,2025,67-79 år,5007,2011,08825
Porsgrunn (-2019),Folkemengde,2025,80-89 år,1719,2011,08825
Porsgrunn (-2019),Folkemengde,2025,90 år eller eldre,323,2011,08825
