region,statistikkvariabel,år,value,Framskriving,Tabell
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2005,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2006,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2007,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2008,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2009,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2010,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2011,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2012,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2013,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2014,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2015,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2016,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2017,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2018,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2019,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2020,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2021,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2022,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2023,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2024,0,2005,05904
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2025,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2005,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2006,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2007,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2008,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2009,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2010,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2011,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2012,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2013,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2014,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2015,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2016,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2017,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2018,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2019,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2020,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2021,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2022,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2023,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2024,0,2005,05904
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2025,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2005,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2006,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2007,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2008,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2009,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2010,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2011,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2012,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2013,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2014,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2015,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2016,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2017,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2018,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2019,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2020,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2021,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2022,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2023,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2024,0,2005,05904
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2025,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2005,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2006,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2007,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2008,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2009,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2010,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2011,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2012,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2013,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2014,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2015,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2016,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2017,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2018,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2019,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2020,0,2005,05904
Porsgrunn (2020-2023),Lav mobilitet (Alternativ MMLM),2021,0,2005,05904
