region,statistikkvariabel,år,value,Framskriving,Tabell
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2010,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2011,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2012,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2013,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2014,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2015,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2016,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2017,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2018,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2019,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2020,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2021,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2022,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2023,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2024,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2025,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2026,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2027,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2028,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2029,0,2010,08109
Porsgrunn (2020-2023),Middels nasjonal vekst (Alternativ MMMM),2030,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2010,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2011,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2012,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2013,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2014,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2015,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2016,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2017,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2018,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2019,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2020,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2021,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2022,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2023,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2024,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2025,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2026,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2027,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2028,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2029,0,2010,08109
Porsgrunn (2020-2023),Lav nasjonal vekst (Alternativ LLML),2030,0,2010,08109
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2010,0,2010,08109
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2011,0,2010,08109
Porsgrunn (2020-2023),Høy nasjonal vekst (Alternativ HHMH),2012,0,2010,08109
