region,statistikkvariabel,år,value,Framskriving,Tabell
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,36624,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,36858,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,37023,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,37126,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,37235,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,37351,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2028,37470,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2029,37589,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2030,37704,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2031,37817,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2032,37925,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,38029,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,38131,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,38232,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,38331,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,38430,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,38526,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,38619,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,38709,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,38796,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,38878,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,38955,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,39028,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,39097,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,39162,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,39222,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,39278,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,39329,2022,13600
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2050,39376,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2022,36624,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2023,36730,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2024,36745,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2025,36758,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2026,36771,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2027,36783,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2028,36793,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2029,36794,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2030,36787,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2031,36770,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2032,36743,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2033,36708,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2034,36664,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2035,36613,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2036,36555,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2037,36492,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2038,36424,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2039,36351,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2040,36275,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2041,36195,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2042,36110,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2043,36019,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2044,35925,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2045,35826,2022,13600
Porsgrunn (2020-2023),Lav nasjonal vekst (LLML),2046,35723,2022,13600
