Område,Naturlig tilvekst,Vekst fra nettoinnvandring,Vekst fra nettoinnflytting,Samlet vekst
Grenland,-6.0,6.7,4.5,5.0
Øst- og Midt-Telemark,-9.7,11.5,0.1,1.8
Vest-Telemark,-10.4,13.0,-2.0,0.6
