region,statistikkvariabel,år,alder,value
Porsgrunn,Hovedalternativet (MMMM),2032,6-12 år,2600
Porsgrunn,Hovedalternativet (MMMM),2032,13-15 år,1222
Porsgrunn,Hovedalternativet (MMMM),2032,16-19 år,1711
Porsgrunn,Hovedalternativet (MMMM),2032,20-44 år,11698
Porsgrunn,Hovedalternativet (MMMM),2032,45-66 år,11087
Porsgrunn,Hovedalternativet (MMMM),2032,67-79 år,5342
Porsgrunn,Hovedalternativet (MMMM),2032,80-89 år,2361
Porsgrunn,Hovedalternativet (MMMM),2032,90 år eller eldre,397
Porsgrunn,Hovedalternativet (MMMM),2033,0 år,343
Porsgrunn,Hovedalternativet (MMMM),2033,1-5 år,1803
Porsgrunn,Hovedalternativet (MMMM),2033,6-12 år,2599
Porsgrunn,Hovedalternativet (MMMM),2033,13-15 år,1192
Porsgrunn,Hovedalternativet (MMMM),2033,16-19 år,1709
Porsgrunn,Hovedalternativet (MMMM),2033,20-44 år,11702
Porsgrunn,Hovedalternativet (MMMM),2033,45-66 år,11065
Porsgrunn,Hovedalternativet (MMMM),2033,67-79 år,5439
Porsgrunn,Hovedalternativet (MMMM),2033,80-89 år,2402
Porsgrunn,Hovedalternativet (MMMM),2033,90 år eller eldre,428
Porsgrunn,Hovedalternativet (MMMM),2034,0 år,346
Porsgrunn,Hovedalternativet (MMMM),2034,1-5 år,1811
Porsgrunn,Hovedalternativet (MMMM),2034,6-12 år,2623
Porsgrunn,Hovedalternativet (MMMM),2034,13-15 år,1182
Porsgrunn,Hovedalternativet (MMMM),2034,16-19 år,1679
Porsgrunn,Hovedalternativet (MMMM),2034,20-44 år,11654
Porsgrunn,Hovedalternativet (MMMM),2034,45-66 år,11086
Porsgrunn,Hovedalternativet (MMMM),2034,67-79 år,5497
Porsgrunn,Hovedalternativet (MMMM),2034,80-89 år,2469
Porsgrunn,Hovedalternativet (MMMM),2034,90 år eller eldre,461
Porsgrunn,Hovedalternativet (MMMM),2035,0 år,348
Porsgrunn,Hovedalternativet (MMMM),2035,1-5 år,1821
Porsgrunn,Hovedalternativet (MMMM),2035,6-12 år,2628
Porsgrunn,Hovedalternativet (MMMM),2035,13-15 år,1169
Porsgrunn,Hovedalternativet (MMMM),2035,16-19 år,1664
Porsgrunn,Hovedalternativet (MMMM),2035,20-44 år,11595
Porsgrunn,Hovedalternativet (MMMM),2035,45-66 år,11106
Porsgrunn,Hovedalternativet (MMMM),2035,67-79 år,5583
Porsgrunn,Hovedalternativet (MMMM),2035,80-89 år,2506
Porsgrunn,Hovedalternativet (MMMM),2035,90 år eller eldre,512
Porsgrunn,Hovedalternativet (MMMM),2036,0 år,352
Porsgrunn,Hovedalternativet (MMMM),2036,1-5 år,1834
Porsgrunn,Hovedalternativet (MMMM),2036,6-12 år,2641
Porsgrunn,Hovedalternativet (MMMM),2036,13-15 år,1163
Porsgrunn,Hovedalternativet (MMMM),2036,16-19 år,1646
Porsgrunn,Hovedalternativet (MMMM),2036,20-44 år,11521
Porsgrunn,Hovedalternativet (MMMM),2036,45-66 år,11142
Porsgrunn,Hovedalternativet (MMMM),2036,67-79 år,5662
Porsgrunn,Hovedalternativet (MMMM),2036,80-89 år,2544
Porsgrunn,Hovedalternativet (MMMM),2036,90 år eller eldre,549
Porsgrunn,Hovedalternativet (MMMM),2037,0 år,351
Porsgrunn,Hovedalternativet (MMMM),2037,1-5 år,1843
Porsgrunn,Hovedalternativet (MMMM),2037,6-12 år,2668
Porsgrunn,Hovedalternativet (MMMM),2037,13-15 år,1164
Porsgrunn,Hovedalternativet (MMMM),2037,16-19 år,1600
Porsgrunn,Hovedalternativet (MMMM),2037,20-44 år,11482
Porsgrunn,Hovedalternativet (MMMM),2037,45-66 år,11121
Porsgrunn,Hovedalternativet (MMMM),2037,67-79 år,5757
Porsgrunn,Hovedalternativet (MMMM),2037,80-89 år,2597
Porsgrunn,Hovedalternativet (MMMM),2037,90 år eller eldre,587
Porsgrunn,Hovedalternativet (MMMM),2038,0 år,350
Porsgrunn,Hovedalternativet (MMMM),2038,1-5 år,1854
Porsgrunn,Hovedalternativet (MMMM),2038,6-12 år,2689
Porsgrunn,Hovedalternativet (MMMM),2038,13-15 år,1153
Porsgrunn,Hovedalternativet (MMMM),2038,16-19 år,1603
Porsgrunn,Hovedalternativet (MMMM),2038,20-44 år,11393
Porsgrunn,Hovedalternativet (MMMM),2038,45-66 år,11145
Porsgrunn,Hovedalternativet (MMMM),2038,67-79 år,5832
Porsgrunn,Hovedalternativet (MMMM),2038,80-89 år,2631
Porsgrunn,Hovedalternativet (MMMM),2038,90 år eller eldre,631
Porsgrunn,Hovedalternativet (MMMM),2039,0 år,350
Porsgrunn,Hovedalternativet (MMMM),2039,1-5 år,1863
Porsgrunn,Hovedalternativet (MMMM),2039,6-12 år,2704
Porsgrunn,Hovedalternativet (MMMM),2039,13-15 år,1154
Porsgrunn,Hovedalternativet (MMMM),2039,16-19 år,1588
Porsgrunn,Hovedalternativet (MMMM),2039,20-44 år,11360
Porsgrunn,Hovedalternativet (MMMM),2039,45-66 år,11116
Porsgrunn,Hovedalternativet (MMMM),2039,67-79 år,5928
Porsgrunn,Hovedalternativet (MMMM),2039,80-89 år,2668
Porsgrunn,Hovedalternativet (MMMM),2039,90 år eller eldre,657
Porsgrunn,Hovedalternativet (MMMM),2040,0 år,349
Porsgrunn,Hovedalternativet (MMMM),2040,1-5 år,1866
Porsgrunn,Hovedalternativet (MMMM),2040,6-12 år,2719
Porsgrunn,Hovedalternativet (MMMM),2040,13-15 år,1172
Porsgrunn,Hovedalternativet (MMMM),2040,16-19 år,1569
Porsgrunn,Hovedalternativet (MMMM),2040,20-44 år,11276
Porsgrunn,Hovedalternativet (MMMM),2040,45-66 år,11138
Porsgrunn,Hovedalternativet (MMMM),2040,67-79 år,6015
Porsgrunn,Hovedalternativet (MMMM),2040,80-89 år,2711
Porsgrunn,Hovedalternativet (MMMM),2040,90 år eller eldre,675
Porsgrunn,Hovedalternativet (MMMM),2041,0 år,348
Porsgrunn,Hovedalternativet (MMMM),2041,1-5 år,1868
Porsgrunn,Hovedalternativet (MMMM),2041,6-12 år,2732
Porsgrunn,Hovedalternativet (MMMM),2041,13-15 år,1187
Porsgrunn,Hovedalternativet (MMMM),2041,16-19 år,1575
Porsgrunn,Hovedalternativet (MMMM),2041,20-44 år,11200
Porsgrunn,Hovedalternativet (MMMM),2041,45-66 år,11161
Porsgrunn,Hovedalternativet (MMMM),2041,67-79 år,6060
Porsgrunn,Hovedalternativet (MMMM),2041,80-89 år,2757
Porsgrunn,Hovedalternativet (MMMM),2041,90 år eller eldre,698
Porsgrunn,Hovedalternativet (MMMM),2042,0 år,347
Porsgrunn,Hovedalternativet (MMMM),2042,1-5 år,1863
Porsgrunn,Hovedalternativet (MMMM),2042,6-12 år,2751
Porsgrunn,Hovedalternativet (MMMM),2042,13-15 år,1196
Porsgrunn,Hovedalternativet (MMMM),2042,16-19 år,1567
Porsgrunn,Hovedalternativet (MMMM),2042,20-44 år,11128
Porsgrunn,Hovedalternativet (MMMM),2042,45-66 år,11189
Porsgrunn,Hovedalternativet (MMMM),2042,67-79 år,6133
Porsgrunn,Hovedalternativet (MMMM),2042,80-89 år,2782
Porsgrunn,Hovedalternativet (MMMM),2042,90 år eller eldre,722
Porsgrunn,Hovedalternativet (MMMM),2043,0 år,345
Porsgrunn,Hovedalternativet (MMMM),2043,1-5 år,1859
Porsgrunn,Hovedalternativet (MMMM),2043,6-12 år,2765
Porsgrunn,Hovedalternativet (MMMM),2043,13-15 år,1201
Porsgrunn,Hovedalternativet (MMMM),2043,16-19 år,1573
Porsgrunn,Hovedalternativet (MMMM),2043,20-44 år,11062
Porsgrunn,Hovedalternativet (MMMM),2043,45-66 år,11233
Porsgrunn,Hovedalternativet (MMMM),2043,67-79 år,6184
Porsgrunn,Hovedalternativet (MMMM),2043,80-89 år,2800
Porsgrunn,Hovedalternativet (MMMM),2043,90 år eller eldre,741
Porsgrunn,Hovedalternativet (MMMM),2044,0 år,343
Porsgrunn,Hovedalternativet (MMMM),2044,1-5 år,1853
Porsgrunn,Hovedalternativet (MMMM),2044,6-12 år,2777
Porsgrunn,Hovedalternativet (MMMM),2044,13-15 år,1205
Porsgrunn,Hovedalternativet (MMMM),2044,16-19 år,1592
Porsgrunn,Hovedalternativet (MMMM),2044,20-44 år,10996
Porsgrunn,Hovedalternativet (MMMM),2044,45-66 år,11267
Porsgrunn,Hovedalternativet (MMMM),2044,67-79 år,6188
Porsgrunn,Hovedalternativet (MMMM),2044,80-89 år,2847
Porsgrunn,Hovedalternativet (MMMM),2044,90 år eller eldre,775
Porsgrunn,Hovedalternativet (MMMM),2045,0 år,341
Porsgrunn,Hovedalternativet (MMMM),2045,1-5 år,1847
Porsgrunn,Hovedalternativet (MMMM),2045,6-12 år,2785
Porsgrunn,Hovedalternativet (MMMM),2045,13-15 år,1211
Porsgrunn,Hovedalternativet (MMMM),2045,16-19 år,1606
Porsgrunn,Hovedalternativet (MMMM),2045,20-44 år,10946
Porsgrunn,Hovedalternativet (MMMM),2045,45-66 år,11316
Porsgrunn,Hovedalternativet (MMMM),2045,67-79 år,6143
Porsgrunn,Hovedalternativet (MMMM),2045,80-89 år,2920
Porsgrunn,Hovedalternativet (MMMM),2045,90 år eller eldre,801
Porsgrunn,Hovedalternativet (MMMM),2046,0 år,339
Porsgrunn,Hovedalternativet (MMMM),2046,1-5 år,1839
Porsgrunn,Hovedalternativet (MMMM),2046,6-12 år,2792
Porsgrunn,Hovedalternativet (MMMM),2046,13-15 år,1217
Porsgrunn,Hovedalternativet (MMMM),2046,16-19 år,1616
Porsgrunn,Hovedalternativet (MMMM),2046,20-44 år,10887
Porsgrunn,Hovedalternativet (MMMM),2046,45-66 år,11359
Porsgrunn,Hovedalternativet (MMMM),2046,67-79 år,6121
Porsgrunn,Hovedalternativet (MMMM),2046,80-89 år,2989
Porsgrunn,Hovedalternativet (MMMM),2046,90 år eller eldre,825
Porsgrunn,Hovedalternativet (MMMM),2047,0 år,336
Porsgrunn,Hovedalternativet (MMMM),2047,1-5 år,1828
Porsgrunn,Hovedalternativet (MMMM),2047,6-12 år,2792
Porsgrunn,Hovedalternativet (MMMM),2047,13-15 år,1225
Porsgrunn,Hovedalternativet (MMMM),2047,16-19 år,1625
Porsgrunn,Hovedalternativet (MMMM),2047,20-44 år,10848
Porsgrunn,Hovedalternativet (MMMM),2047,45-66 år,11389
Porsgrunn,Hovedalternativet (MMMM),2047,67-79 år,6094
Porsgrunn,Hovedalternativet (MMMM),2047,80-89 år,3053
Porsgrunn,Hovedalternativet (MMMM),2047,90 år eller eldre,855
Porsgrunn,Hovedalternativet (MMMM),2048,0 år,333
Porsgrunn,Hovedalternativet (MMMM),2048,1-5 år,1817
Porsgrunn,Hovedalternativet (MMMM),2048,6-12 år,2790
Porsgrunn,Hovedalternativet (MMMM),2048,13-15 år,1232
Porsgrunn,Hovedalternativet (MMMM),2048,16-19 år,1634
Porsgrunn,Hovedalternativet (MMMM),2048,20-44 år,10830
Porsgrunn,Hovedalternativet (MMMM),2048,45-66 år,11412
Porsgrunn,Hovedalternativet (MMMM),2048,67-79 år,6044
Porsgrunn,Hovedalternativet (MMMM),2048,80-89 år,3126
Porsgrunn,Hovedalternativet (MMMM),2048,90 år eller eldre,882
Porsgrunn,Hovedalternativet (MMMM),2049,0 år,331
Porsgrunn,Hovedalternativet (MMMM),2049,1-5 år,1806
Porsgrunn,Hovedalternativet (MMMM),2049,6-12 år,2786
Porsgrunn,Hovedalternativet (MMMM),2049,13-15 år,1241
Porsgrunn,Hovedalternativet (MMMM),2049,16-19 år,1641
Porsgrunn,Hovedalternativet (MMMM),2049,20-44 år,10801
Porsgrunn,Hovedalternativet (MMMM),2049,45-66 år,11414
Porsgrunn,Hovedalternativet (MMMM),2049,67-79 år,6026
Porsgrunn,Hovedalternativet (MMMM),2049,80-89 år,3202
Porsgrunn,Hovedalternativet (MMMM),2049,90 år eller eldre,901
Porsgrunn,Hovedalternativet (MMMM),2050,0 år,329
Porsgrunn,Hovedalternativet (MMMM),2050,1-5 år,1791
Porsgrunn,Hovedalternativet (MMMM),2050,6-12 år,2775
Porsgrunn,Hovedalternativet (MMMM),2050,13-15 år,1246
Porsgrunn,Hovedalternativet (MMMM),2050,16-19 år,1649
Porsgrunn,Hovedalternativet (MMMM),2050,20-44 år,10773
Porsgrunn,Hovedalternativet (MMMM),2050,45-66 år,11427
Porsgrunn,Hovedalternativet (MMMM),2050,67-79 år,5986
Porsgrunn,Hovedalternativet (MMMM),2050,80-89 år,3296
Porsgrunn,Hovedalternativet (MMMM),2050,90 år eller eldre,921
Porsgrunn,Lav nasjonal vekst (LLML),2024,0 år,303
Porsgrunn,Lav nasjonal vekst (LLML),2024,1-5 år,1733
Porsgrunn,Lav nasjonal vekst (LLML),2024,6-12 år,2781
Porsgrunn,Lav nasjonal vekst (LLML),2024,13-15 år,1351
Porsgrunn,Lav nasjonal vekst (LLML),2024,16-19 år,1760
Porsgrunn,Lav nasjonal vekst (LLML),2024,20-44 år,11298
Porsgrunn,Lav nasjonal vekst (LLML),2024,45-66 år,11015
Porsgrunn,Lav nasjonal vekst (LLML),2024,67-79 år,5009
Porsgrunn,Lav nasjonal vekst (LLML),2024,80-89 år,1633
Porsgrunn,Lav nasjonal vekst (LLML),2024,90 år eller eldre,310
Porsgrunn,Lav nasjonal vekst (LLML),2025,0 år,301
Porsgrunn,Lav nasjonal vekst (LLML),2025,1-5 år,1697
Porsgrunn,Lav nasjonal vekst (LLML),2025,6-12 år,2769
Porsgrunn,Lav nasjonal vekst (LLML),2025,13-15 år,1326
Porsgrunn,Lav nasjonal vekst (LLML),2025,16-19 år,1754
Porsgrunn,Lav nasjonal vekst (LLML),2025,20-44 år,11338
Porsgrunn,Lav nasjonal vekst (LLML),2025,45-66 år,11012
Porsgrunn,Lav nasjonal vekst (LLML),2025,67-79 år,5046
Porsgrunn,Lav nasjonal vekst (LLML),2025,80-89 år,1758
Porsgrunn,Lav nasjonal vekst (LLML),2025,90 år eller eldre,296
Porsgrunn,Lav nasjonal vekst (LLML),2026,0 år,291
Porsgrunn,Lav nasjonal vekst (LLML),2026,1-5 år,1667
Porsgrunn,Lav nasjonal vekst (LLML),2026,6-12 år,2732
Porsgrunn,Lav nasjonal vekst (LLML),2026,13-15 år,1326
Porsgrunn,Lav nasjonal vekst (LLML),2026,16-19 år,1713
Porsgrunn,Lav nasjonal vekst (LLML),2026,20-44 år,11395
Porsgrunn,Lav nasjonal vekst (LLML),2026,45-66 år,10995
Porsgrunn,Lav nasjonal vekst (LLML),2026,67-79 år,5075
Porsgrunn,Lav nasjonal vekst (LLML),2026,80-89 år,1845
Porsgrunn,Lav nasjonal vekst (LLML),2026,90 år eller eldre,306
Porsgrunn,Lav nasjonal vekst (LLML),2027,0 år,280
Porsgrunn,Lav nasjonal vekst (LLML),2027,1-5 år,1650
Porsgrunn,Lav nasjonal vekst (LLML),2027,6-12 år,2680
Porsgrunn,Lav nasjonal vekst (LLML),2027,13-15 år,1250
Porsgrunn,Lav nasjonal vekst (LLML),2027,16-19 år,1771
Porsgrunn,Lav nasjonal vekst (LLML),2027,20-44 år,11367
Porsgrunn,Lav nasjonal vekst (LLML),2027,45-66 år,11022
Porsgrunn,Lav nasjonal vekst (LLML),2027,67-79 år,5095
Porsgrunn,Lav nasjonal vekst (LLML),2027,80-89 år,1937
Porsgrunn,Lav nasjonal vekst (LLML),2027,90 år eller eldre,320
Porsgrunn,Lav nasjonal vekst (LLML),2028,0 år,266
Porsgrunn,Lav nasjonal vekst (LLML),2028,1-5 år,1600
Porsgrunn,Lav nasjonal vekst (LLML),2028,6-12 år,2645
Porsgrunn,Lav nasjonal vekst (LLML),2028,13-15 år,1253
Porsgrunn,Lav nasjonal vekst (LLML),2028,16-19 år,1762
Porsgrunn,Lav nasjonal vekst (LLML),2028,20-44 år,11351
Porsgrunn,Lav nasjonal vekst (LLML),2028,45-66 år,11030
Porsgrunn,Lav nasjonal vekst (LLML),2028,67-79 år,5106
Porsgrunn,Lav nasjonal vekst (LLML),2028,80-89 år,2039
Porsgrunn,Lav nasjonal vekst (LLML),2028,90 år eller eldre,327
Porsgrunn,Lav nasjonal vekst (LLML),2029,0 år,264
Porsgrunn,Lav nasjonal vekst (LLML),2029,1-5 år,1539
Porsgrunn,Lav nasjonal vekst (LLML),2029,6-12 år,2615
Porsgrunn,Lav nasjonal vekst (LLML),2029,13-15 år,1239
Porsgrunn,Lav nasjonal vekst (LLML),2029,16-19 år,1752
Porsgrunn,Lav nasjonal vekst (LLML),2029,20-44 år,11371
Porsgrunn,Lav nasjonal vekst (LLML),2029,45-66 år,11025
Porsgrunn,Lav nasjonal vekst (LLML),2029,67-79 år,5126
Porsgrunn,Lav nasjonal vekst (LLML),2029,80-89 år,2108
Porsgrunn,Lav nasjonal vekst (LLML),2029,90 år eller eldre,340
Porsgrunn,Lav nasjonal vekst (LLML),2030,0 år,261
Porsgrunn,Lav nasjonal vekst (LLML),2030,1-5 år,1491
Porsgrunn,Lav nasjonal vekst (LLML),2030,6-12 år,2555
Porsgrunn,Lav nasjonal vekst (LLML),2030,13-15 år,1249
Porsgrunn,Lav nasjonal vekst (LLML),2030,16-19 år,1740
Porsgrunn,Lav nasjonal vekst (LLML),2030,20-44 år,11385
Porsgrunn,Lav nasjonal vekst (LLML),2030,45-66 år,11041
Porsgrunn,Lav nasjonal vekst (LLML),2030,67-79 år,5143
Porsgrunn,Lav nasjonal vekst (LLML),2030,80-89 år,2159
Porsgrunn,Lav nasjonal vekst (LLML),2030,90 år eller eldre,347
Porsgrunn,Lav nasjonal vekst (LLML),2031,0 år,257
Porsgrunn,Lav nasjonal vekst (LLML),2031,1-5 år,1448
Porsgrunn,Lav nasjonal vekst (LLML),2031,6-12 år,2536
Porsgrunn,Lav nasjonal vekst (LLML),2031,13-15 år,1205
Porsgrunn,Lav nasjonal vekst (LLML),2031,16-19 år,1689
Porsgrunn,Lav nasjonal vekst (LLML),2031,20-44 år,11428
Porsgrunn,Lav nasjonal vekst (LLML),2031,45-66 år,11005
Porsgrunn,Lav nasjonal vekst (LLML),2031,67-79 år,5203
Porsgrunn,Lav nasjonal vekst (LLML),2031,80-89 år,2218
Porsgrunn,Lav nasjonal vekst (LLML),2031,90 år eller eldre,363
Porsgrunn,Lav nasjonal vekst (LLML),2032,0 år,255
Porsgrunn,Lav nasjonal vekst (LLML),2032,1-5 år,1412
Porsgrunn,Lav nasjonal vekst (LLML),2032,6-12 år,2479
Porsgrunn,Lav nasjonal vekst (LLML),2032,13-15 år,1195
Porsgrunn,Lav nasjonal vekst (LLML),2032,16-19 år,1680
Porsgrunn,Lav nasjonal vekst (LLML),2032,20-44 år,11400
Porsgrunn,Lav nasjonal vekst (LLML),2032,45-66 år,10970
Porsgrunn,Lav nasjonal vekst (LLML),2032,67-79 år,5279
Porsgrunn,Lav nasjonal vekst (LLML),2032,80-89 år,2285
Porsgrunn,Lav nasjonal vekst (LLML),2032,90 år eller eldre,363
Porsgrunn,Lav nasjonal vekst (LLML),2033,0 år,251
Porsgrunn,Lav nasjonal vekst (LLML),2033,1-5 år,1387
Porsgrunn,Lav nasjonal vekst (LLML),2033,6-12 år,2421
Porsgrunn,Lav nasjonal vekst (LLML),2033,13-15 år,1162
Porsgrunn,Lav nasjonal vekst (LLML),2033,16-19 år,1674
Porsgrunn,Lav nasjonal vekst (LLML),2033,20-44 år,11382
Porsgrunn,Lav nasjonal vekst (LLML),2033,45-66 år,10932
Porsgrunn,Lav nasjonal vekst (LLML),2033,67-79 år,5361
Porsgrunn,Lav nasjonal vekst (LLML),2033,80-89 år,2316
Porsgrunn,Lav nasjonal vekst (LLML),2033,90 år eller eldre,388
Porsgrunn,Lav nasjonal vekst (LLML),2034,0 år,249
Porsgrunn,Lav nasjonal vekst (LLML),2034,1-5 år,1369
Porsgrunn,Lav nasjonal vekst (LLML),2034,6-12 år,2373
Porsgrunn,Lav nasjonal vekst (LLML),2034,13-15 år,1150
Porsgrunn,Lav nasjonal vekst (LLML),2034,16-19 år,1639
Porsgrunn,Lav nasjonal vekst (LLML),2034,20-44 år,11302
Porsgrunn,Lav nasjonal vekst (LLML),2034,45-66 år,10942
Porsgrunn,Lav nasjonal vekst (LLML),2034,67-79 år,5412
Porsgrunn,Lav nasjonal vekst (LLML),2034,80-89 år,2372
Porsgrunn,Lav nasjonal vekst (LLML),2034,90 år eller eldre,411
Porsgrunn,Lav nasjonal vekst (LLML),2035,0 år,248
Porsgrunn,Lav nasjonal vekst (LLML),2035,1-5 år,1357
Porsgrunn,Lav nasjonal vekst (LLML),2035,6-12 år,2304
Porsgrunn,Lav nasjonal vekst (LLML),2035,13-15 år,1134
Porsgrunn,Lav nasjonal vekst (LLML),2035,16-19 år,1623
Porsgrunn,Lav nasjonal vekst (LLML),2035,20-44 år,11219
Porsgrunn,Lav nasjonal vekst (LLML),2035,45-66 år,10939
Porsgrunn,Lav nasjonal vekst (LLML),2035,67-79 år,5485
Porsgrunn,Lav nasjonal vekst (LLML),2035,80-89 år,2395
Porsgrunn,Lav nasjonal vekst (LLML),2035,90 år eller eldre,452
Porsgrunn,Lav nasjonal vekst (LLML),2036,0 år,247
Porsgrunn,Lav nasjonal vekst (LLML),2036,1-5 år,1346
Porsgrunn,Lav nasjonal vekst (LLML),2036,6-12 år,2237
Porsgrunn,Lav nasjonal vekst (LLML),2036,13-15 år,1124
Porsgrunn,Lav nasjonal vekst (LLML),2036,16-19 år,1601
Porsgrunn,Lav nasjonal vekst (LLML),2036,20-44 år,11119
Porsgrunn,Lav nasjonal vekst (LLML),2036,45-66 år,10954
Porsgrunn,Lav nasjonal vekst (LLML),2036,67-79 år,5556
Porsgrunn,Lav nasjonal vekst (LLML),2036,80-89 år,2422
Porsgrunn,Lav nasjonal vekst (LLML),2036,90 år eller eldre,478
Porsgrunn,Lav nasjonal vekst (LLML),2037,0 år,245
Porsgrunn,Lav nasjonal vekst (LLML),2037,1-5 år,1335
Porsgrunn,Lav nasjonal vekst (LLML),2037,6-12 år,2185
Porsgrunn,Lav nasjonal vekst (LLML),2037,13-15 år,1121
