region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,0 år,356,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,1-5 år,1904,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,6-12 år,3010,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,13-15 år,1320,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,16-19 år,1815,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,20-66 år,20810,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,67-79 år,3107,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,80-89 år,1635,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2008,90 år eller eldre,229,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,0 år,374,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,1-5 år,1928,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,6-12 år,2995,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,13-15 år,1287,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,16-19 år,1896,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,20-66 år,21054,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,67-79 år,3095,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,80-89 år,1619,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2009,90 år eller eldre,238,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,0 år,371,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,1-5 år,1950,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,6-12 år,2935,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,13-15 år,1373,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,16-19 år,1855,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,20-66 år,21292,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,67-79 år,3140,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,80-89 år,1598,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2010,90 år eller eldre,254,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,0 år,369,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,1-5 år,1947,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,6-12 år,2930,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,13-15 år,1370,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,16-19 år,1832,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,20-66 år,21548,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,67-79 år,3235,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,80-89 år,1546,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2011,90 år eller eldre,293,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,0 år,369,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,1-5 år,1939,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,6-12 år,2962,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,13-15 år,1376,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,16-19 år,1800,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,20-66 år,21754,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,67-79 år,3380,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,80-89 år,1481,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2012,90 år eller eldre,312,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,0 år,370,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,1-5 år,1961,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,6-12 år,2925,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,13-15 år,1347,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,16-19 år,1829,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,20-66 år,21928,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,67-79 år,3522,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,80-89 år,1447,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2013,90 år eller eldre,330,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2014,0 år,374,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2014,1-5 år,1975,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2014,6-12 år,2896,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2014,13-15 år,1352,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2014,16-19 år,1881,2008,06917
Porsgrunn,Middels nasjonal vekst (Alternativ MMMM),2014,20-66 år,22038,2008,06917
