Kommune,Alder,År,Personer,Kilde
Bamble,0 år,2000,155,Historisk
Bamble,0 år,2001,173,Historisk
Bamble,0 år,2002,176,Historisk
Bamble,0 år,2003,147,Historisk
Bamble,0 år,2004,151,Historisk
Bamble,0 år,2005,138,Historisk
Bamble,0 år,2006,144,Historisk
Bamble,0 år,2007,152,Historisk
Bamble,0 år,2008,159,Historisk
Bamble,0 år,2009,133,Historisk
Bamble,0 år,2010,124,Historisk
Bamble,0 år,2011,131,Historisk
Bamble,0 år,2012,165,Historisk
Bamble,0 år,2013,118,Historisk
Bamble,0 år,2014,136,Historisk
Bamble,0 år,2015,120,Historisk
Bamble,0 år,2016,106,Historisk
Bamble,0 år,2017,138,Historisk
Bamble,0 år,2018,141,Historisk
Bamble,0 år,2019,121,Historisk
Bamble,0 år,2020,134,Historisk
Bamble,0 år,2021,116,Historisk
Bamble,0 år,2022,108,Historisk
Bamble,0 år,2023,110,Historisk
Bamble,0 år,2024,113,Historisk
Bamble,0 år,2025,124,Historisk
Bamble,0 år,2026,114,Historisk
Bamble,1-5 år,2000,937,Historisk
Bamble,1-5 år,2001,904,Historisk
Bamble,1-5 år,2002,864,Historisk
Bamble,1-5 år,2003,857,Historisk
Bamble,1-5 år,2004,846,Historisk
Bamble,1-5 år,2005,841,Historisk
Bamble,1-5 år,2006,805,Historisk
Bamble,1-5 år,2007,777,Historisk
Bamble,1-5 år,2008,779,Historisk
Bamble,1-5 år,2009,793,Historisk
Bamble,1-5 år,2010,759,Historisk
Bamble,1-5 år,2011,743,Historisk
Bamble,1-5 år,2012,775,Historisk
Bamble,1-5 år,2013,769,Historisk
Bamble,1-5 år,2014,727,Historisk
Bamble,1-5 år,2015,729,Historisk
Bamble,1-5 år,2016,704,Historisk
Bamble,1-5 år,2017,694,Historisk
Bamble,1-5 år,2018,689,Historisk
Bamble,1-5 år,2019,675,Historisk
Bamble,1-5 år,2020,654,Historisk
Bamble,1-5 år,2021,674,Historisk
Bamble,1-5 år,2022,677,Historisk
Bamble,1-5 år,2023,646,Historisk
Bamble,1-5 år,2024,649,Historisk
Bamble,1-5 år,2025,628,Historisk
Bamble,1-5 år,2026,615,Historisk
Bamble,6-12 år,2000,1517,Historisk
Bamble,6-12 år,2001,1524,Historisk
Bamble,6-12 år,2002,1492,Historisk
Bamble,6-12 år,2003,1487,Historisk
Bamble,6-12 år,2004,1448,Historisk
Bamble,6-12 år,2005,1402,Historisk
Bamble,6-12 år,2006,1334,Historisk
Bamble,6-12 år,2007,1304,Historisk
Bamble,6-12 år,2008,1303,Historisk
Bamble,6-12 år,2009,1241,Historisk
Bamble,6-12 år,2010,1227,Historisk
Bamble,6-12 år,2011,1215,Historisk
Bamble,6-12 år,2012,1170,Historisk
Bamble,6-12 år,2013,1181,Historisk
Bamble,6-12 år,2014,1182,Historisk
Bamble,6-12 år,2015,1154,Historisk
Bamble,6-12 år,2016,1144,Historisk
Bamble,6-12 år,2017,1147,Historisk
Bamble,6-12 år,2018,1183,Historisk
Bamble,6-12 år,2019,1174,Historisk
Bamble,6-12 år,2020,1129,Historisk
Bamble,6-12 år,2021,1079,Historisk
Bamble,6-12 år,2022,1038,Historisk
Bamble,6-12 år,2023,1064,Historisk
Bamble,6-12 år,2024,1069,Historisk
Bamble,6-12 år,2025,1035,Historisk
Bamble,6-12 år,2026,1028,Historisk
Bamble,13-15 år,2000,591,Historisk
Bamble,13-15 år,2001,608,Historisk
Bamble,13-15 år,2002,661,Historisk
Bamble,13-15 år,2003,667,Historisk
Bamble,13-15 år,2004,669,Historisk
Bamble,13-15 år,2005,653,Historisk
Bamble,13-15 år,2006,684,Historisk
Bamble,13-15 år,2007,673,Historisk
Bamble,13-15 år,2008,645,Historisk
Bamble,13-15 år,2009,635,Historisk
Bamble,13-15 år,2010,628,Historisk
Bamble,13-15 år,2011,603,Historisk
Bamble,13-15 år,2012,553,Historisk
Bamble,13-15 år,2013,559,Historisk
Bamble,13-15 år,2014,568,Historisk
Bamble,13-15 år,2015,574,Historisk
Bamble,13-15 år,2016,563,Historisk
Bamble,13-15 år,2017,543,Historisk
Bamble,13-15 år,2018,501,Historisk
Bamble,13-15 år,2019,490,Historisk
Bamble,13-15 år,2020,522,Historisk
Bamble,13-15 år,2021,554,Historisk
Bamble,13-15 år,2022,565,Historisk
Bamble,13-15 år,2023,529,Historisk
Bamble,13-15 år,2024,504,Historisk
Bamble,13-15 år,2025,506,Historisk
Bamble,13-15 år,2026,490,Historisk
Bamble,16-19 år,2000,798,Historisk
Bamble,16-19 år,2001,786,Historisk
Bamble,16-19 år,2002,776,Historisk
Bamble,16-19 år,2003,792,Historisk
Bamble,16-19 år,2004,801,Historisk
Bamble,16-19 år,2005,833,Historisk
Bamble,16-19 år,2006,863,Historisk
Bamble,16-19 år,2007,891,Historisk
Bamble,16-19 år,2008,907,Historisk
Bamble,16-19 år,2009,888,Historisk
Bamble,16-19 år,2010,879,Historisk
Bamble,16-19 år,2011,871,Historisk
Bamble,16-19 år,2012,862,Historisk
Bamble,16-19 år,2013,818,Historisk
Bamble,16-19 år,2014,799,Historisk
Bamble,16-19 år,2015,770,Historisk
Bamble,16-19 år,2016,729,Historisk
Bamble,16-19 år,2017,760,Historisk
Bamble,16-19 år,2018,781,Historisk
Bamble,16-19 år,2019,761,Historisk
Bamble,16-19 år,2020,745,Historisk
Bamble,16-19 år,2021,686,Historisk
Bamble,16-19 år,2022,654,Historisk
Bamble,16-19 år,2023,703,Historisk
Bamble,16-19 år,2024,726,Historisk
Bamble,16-19 år,2025,748,Historisk
Bamble,16-19 år,2026,732,Historisk
Bamble,20-44 år,2000,4851,Historisk
Bamble,20-44 år,2001,4809,Historisk
Bamble,20-44 år,2002,4686,Historisk
Bamble,20-44 år,2003,4632,Historisk
Bamble,20-44 år,2004,4562,Historisk
Bamble,20-44 år,2005,4515,Historisk
Bamble,20-44 år,2006,4426,Historisk
Bamble,20-44 år,2007,4340,Historisk
Bamble,20-44 år,2008,4317,Historisk
Bamble,20-44 år,2009,4310,Historisk
Bamble,20-44 år,2010,4251,Historisk
Bamble,20-44 år,2011,4212,Historisk
Bamble,20-44 år,2012,4233,Historisk
Bamble,20-44 år,2013,4260,Historisk
Bamble,20-44 år,2014,4245,Historisk
Bamble,20-44 år,2015,4146,Historisk
Bamble,20-44 år,2016,4111,Historisk
Bamble,20-44 år,2017,4037,Historisk
Bamble,20-44 år,2018,4005,Historisk
Bamble,20-44 år,2019,3906,Historisk
Bamble,20-44 år,2020,3909,Historisk
Bamble,20-44 år,2021,3911,Historisk
Bamble,20-44 år,2022,3893,Historisk
Bamble,20-44 år,2023,3931,Historisk
Bamble,20-44 år,2024,3970,Historisk
Bamble,20-44 år,2025,3960,Historisk
Bamble,20-44 år,2026,3995,Historisk
Bamble,45-66 år,2000,3757,Historisk
Bamble,45-66 år,2001,3870,Historisk
Bamble,45-66 år,2002,3969,Historisk
Bamble,45-66 år,2003,4042,Historisk
Bamble,45-66 år,2004,4134,Historisk
Bamble,45-66 år,2005,4198,Historisk
Bamble,45-66 år,2006,4267,Historisk
Bamble,45-66 år,2007,4293,Historisk
Bamble,45-66 år,2008,4349,Historisk
Bamble,45-66 år,2009,4412,Historisk
Bamble,45-66 år,2010,4512,Historisk
Bamble,45-66 år,2011,4475,Historisk
Bamble,45-66 år,2012,4423,Historisk
Bamble,45-66 år,2013,4401,Historisk
Bamble,45-66 år,2014,4410,Historisk
Bamble,45-66 år,2015,4405,Historisk
Bamble,45-66 år,2016,4390,Historisk
Bamble,45-66 år,2017,4390,Historisk
Bamble,45-66 år,2018,4381,Historisk
Bamble,45-66 år,2019,4386,Historisk
Bamble,45-66 år,2020,4322,Historisk
Bamble,45-66 år,2021,4293,Historisk
Bamble,45-66 år,2022,4310,Historisk
Bamble,45-66 år,2023,4285,Historisk
Bamble,45-66 år,2024,4241,Historisk
Bamble,45-66 år,2025,4243,Historisk
Bamble,45-66 år,2026,4177,Historisk
Bamble,67-79 år,2000,1118,Historisk
Bamble,67-79 år,2001,1122,Historisk
Bamble,67-79 år,2002,1079,Historisk
Bamble,67-79 år,2003,1092,Historisk
Bamble,67-79 år,2004,1082,Historisk
Bamble,67-79 år,2005,1085,Historisk
Bamble,67-79 år,2006,1082,Historisk
Bamble,67-79 år,2007,1119,Historisk
Bamble,67-79 år,2008,1137,Historisk
Bamble,67-79 år,2009,1162,Historisk
Bamble,67-79 år,2010,1202,Historisk
Bamble,67-79 år,2011,1248,Historisk
Bamble,67-79 år,2012,1404,Historisk
Bamble,67-79 år,2013,1506,Historisk
Bamble,67-79 år,2014,1603,Historisk
Bamble,67-79 år,2015,1720,Historisk
Bamble,67-79 år,2016,1791,Historisk
Bamble,67-79 år,2017,1874,Historisk
Bamble,67-79 år,2018,1936,Historisk
Bamble,67-79 år,2019,1995,Historisk
Bamble,67-79 år,2020,2046,Historisk
Bamble,67-79 år,2021,2070,Historisk
Bamble,67-79 år,2022,2151,Historisk
Bamble,67-79 år,2023,2217,Historisk
Bamble,67-79 år,2024,2254,Historisk
Bamble,67-79 år,2025,2237,Historisk
Bamble,67-79 år,2026,2221,Historisk
Bamble,80-89 år,2000,366,Historisk
Bamble,80-89 år,2001,369,Historisk
Bamble,80-89 år,2002,399,Historisk
Bamble,80-89 år,2003,397,Historisk
Bamble,80-89 år,2004,406,Historisk
Bamble,80-89 år,2005,422,Historisk
Bamble,80-89 år,2006,431,Historisk
Bamble,80-89 år,2007,450,Historisk
Bamble,80-89 år,2008,447,Historisk
Bamble,80-89 år,2009,452,Historisk
Bamble,80-89 år,2010,459,Historisk
Bamble,80-89 år,2011,461,Historisk
Bamble,80-89 år,2012,446,Historisk
Bamble,80-89 år,2013,447,Historisk
Bamble,80-89 år,2014,446,Historisk
Bamble,80-89 år,2015,440,Historisk
Bamble,80-89 år,2016,463,Historisk
Bamble,80-89 år,2017,462,Historisk
Bamble,80-89 år,2018,470,Historisk
Bamble,80-89 år,2019,479,Historisk
Bamble,80-89 år,2020,508,Historisk
Bamble,80-89 år,2021,531,Historisk
Bamble,80-89 år,2022,562,Historisk
Bamble,80-89 år,2023,594,Historisk
Bamble,80-89 år,2024,639,Historisk
Bamble,80-89 år,2025,730,Historisk
Bamble,80-89 år,2026,790,Historisk
Bamble,90 år eller eldre,2000,52,Historisk
Bamble,90 år eller eldre,2001,59,Historisk
Bamble,90 år eller eldre,2002,57,Historisk
