Arrangementstype,;Antall fremmøtte,
Arrangement for skoler og barnehager,;14694
Samtale og debatt-arrangement,;2756
Kultur-arrangement,;15183
Opplæring/ kurs/verksted;7310
Bibliotekinformasjon/ omvisning,;582
