;andel landet;Andel vt
Helse- sosial- og idrettsfag;20,4;30
Samfunnsfag og juridiske fag;14,2;18,8
Naturvitenskaplige fag håndverk og tekniske fag;17,8;16,9
Økonomisk-administrative fag;17,3;12,1
Lærerutdanning og pedagogiske fag;12,9;12
Humanistiske og estetiske fag;16,4;9,8
Primærnæringsfag;1;0,3
