Kommune,Forbrukergruppe,År,Verdi
Porsgrunn,Hytter og fritidshus,2025,5.4
Porsgrunn,I alt,2025,2135.5
Porsgrunn,Primærnæringer,2025,0.4
Porsgrunn,Sekundærnæringer,2025,1736.9
Porsgrunn,Tertiærnæringer,2025,135.1
Seljord,Boliger,2025,23.0
Seljord,Husholdninger,2025,26.9
Seljord,Hytter og fritidshus,2025,3.9
Seljord,I alt,2025,48.1
Seljord,Primærnæringer,2025,0.3
Seljord,Sekundærnæringer,2025,4.9
Seljord,Tertiærnæringer,2025,16.1
Siljan,Boliger,2025,17.0
Siljan,Husholdninger,2025,17.8
Siljan,Hytter og fritidshus,2025,0.8
Siljan,I alt,2025,23.3
Siljan,Primærnæringer,2025,0.6
Siljan,Sekundærnæringer,2025,1.4
Siljan,Tertiærnæringer,2025,3.6
Skien,Boliger,2025,384.1
Skien,Husholdninger,2025,385.8
Skien,Hytter og fritidshus,2025,1.7
Skien,I alt,2025,657.8
Skien,Primærnæringer,2025,2.2
Skien,Sekundærnæringer,2025,64.1
Skien,Tertiærnæringer,2025,205.8
Tinn,Boliger,2025,51.3
Tinn,Husholdninger,2025,77.6
Tinn,Hytter og fritidshus,2025,26.3
Tinn,I alt,2025,317.1
Tinn,Primærnæringer,2025,42.7
Tinn,Sekundærnæringer,2025,115.9
Tinn,Tertiærnæringer,2025,80.8
Tokke,Boliger,2025,20.0
Tokke,Husholdninger,2025,25.4
Tokke,Hytter og fritidshus,2025,5.4
Tokke,I alt,2025,43.2
Tokke,Primærnæringer,2025,0.3
Tokke,Sekundærnæringer,2025,5.8
Tokke,Tertiærnæringer,2025,11.7
Vinje,Boliger,2025,31.8
Vinje,Husholdninger,2025,76.3
Vinje,Hytter og fritidshus,2025,44.5
Vinje,I alt,2025,116.7
Vinje,Primærnæringer,2025,0.6
Vinje,Sekundærnæringer,2025,10.7
Vinje,Tertiærnæringer,2025,29.1
