Kommune,Forbrukergruppe,År,Verdi
Kragerø,Sekundærnæringer,2021,89.6
Kragerø,Tertiærnæringer,2021,42.1
Kviteseid,Boliger,2021,21.2
Kviteseid,Husholdninger,2021,31.4
Kviteseid,Hytter og fritidshus,2021,10.1
Kviteseid,I alt,2021,49.2
Kviteseid,Primærnæringer,2021,0.2
Kviteseid,Sekundærnæringer,2021,3.0
Kviteseid,Tertiærnæringer,2021,14.6
Midt-Telemark,Boliger,2021,83.6
Midt-Telemark,Husholdninger,2021,90.8
Midt-Telemark,Hytter og fritidshus,2021,7.2
Midt-Telemark,I alt,2021,161.5
Midt-Telemark,Primærnæringer,2021,9.5
Midt-Telemark,Sekundærnæringer,2021,12.1
Midt-Telemark,Tertiærnæringer,2021,49.1
Nissedal,Boliger,2021,11.8
Nissedal,Husholdninger,2021,29.5
Nissedal,Hytter og fritidshus,2021,17.7
Nissedal,I alt,2021,39.2
Nissedal,Primærnæringer,2021,0.1
Nissedal,Sekundærnæringer,2021,3.2
Nissedal,Tertiærnæringer,2021,6.5
Nome,Boliger,2021,53.7
Nome,Husholdninger,2021,55.0
Nome,Hytter og fritidshus,2021,1.3
Nome,I alt,2021,107.7
Nome,Primærnæringer,2021,1.3
Nome,Sekundærnæringer,2021,31.5
Nome,Tertiærnæringer,2021,19.9
Notodden,Boliger,2021,103.1
Notodden,Husholdninger,2021,106.8
Notodden,Hytter og fritidshus,2021,3.8
Notodden,I alt,2021,258.3
Notodden,Primærnæringer,2021,0.8
Notodden,Sekundærnæringer,2021,27.5
Notodden,Tertiærnæringer,2021,123.1
Porsgrunn,Boliger,2021,280.9
Porsgrunn,Husholdninger,2021,288.1
Porsgrunn,Hytter og fritidshus,2021,7.2
Porsgrunn,I alt,2021,1946.5
Porsgrunn,Primærnæringer,2021,0.8
Porsgrunn,Sekundærnæringer,2021,1511.8
Porsgrunn,Tertiærnæringer,2021,145.8
Seljord,Boliger,2021,25.1
Seljord,Husholdninger,2021,30.4
Seljord,Hytter og fritidshus,2021,5.3
Seljord,I alt,2021,55.6
Seljord,Primærnæringer,2021,0.4
Seljord,Sekundærnæringer,2021,4.1
Seljord,Tertiærnæringer,2021,20.7
Siljan,Boliger,2021,18.4
Siljan,Husholdninger,2021,19.5
Siljan,Hytter og fritidshus,2021,1.0
Siljan,I alt,2021,26.6
Siljan,Primærnæringer,2021,0.6
Siljan,Sekundærnæringer,2021,1.5
Siljan,Tertiærnæringer,2021,5.1
Skien,Boliger,2021,418.7
Skien,Husholdninger,2021,421.0
Skien,Hytter og fritidshus,2021,2.2
Skien,I alt,2021,734.9
Skien,Primærnæringer,2021,2.9
Skien,Sekundærnæringer,2021,75.8
Skien,Tertiærnæringer,2021,235.2
Tinn,Boliger,2021,57.2
Tinn,Husholdninger,2021,90.2
Tinn,Hytter og fritidshus,2021,33.0
Tinn,I alt,2021,276.6
Tinn,Primærnæringer,2021,0.6
Tinn,Sekundærnæringer,2021,125.5
Tinn,Tertiærnæringer,2021,60.3
Tokke,Boliger,2021,20.1
Tokke,Husholdninger,2021,25.8
Tokke,Hytter og fritidshus,2021,5.7
Tokke,I alt,2021,43.8
Tokke,Primærnæringer,2021,0.2
Tokke,Sekundærnæringer,2021,4.9
Tokke,Tertiærnæringer,2021,12.9
Vinje,Boliger,2021,34.4
Vinje,Husholdninger,2021,91.3
Vinje,Hytter og fritidshus,2021,56.9
Vinje,I alt,2021,137.4
Vinje,Primærnæringer,2021,1.3
Vinje,Sekundærnæringer,2021,11.2
Vinje,Tertiærnæringer,2021,33.6
Bamble,Boliger,2022,95.0
Bamble,Husholdninger,2022,105.3
Bamble,Hytter og fritidshus,2022,10.3
Bamble,I alt,2022,1192.8
Bamble,Primærnæringer,2022,0.3
Bamble,Sekundærnæringer,2022,1029.0
Bamble,Tertiærnæringer,2022,58.2
Drangedal,Boliger,2022,24.4
Drangedal,Husholdninger,2022,32.5
Drangedal,Hytter og fritidshus,2022,8.1
Drangedal,I alt,2022,47.8
Drangedal,Primærnæringer,2022,1.8
Drangedal,Sekundærnæringer,2022,1.4
Drangedal,Tertiærnæringer,2022,12.2
