År,Hele befolkningen,Innvandrere
2006,70.7,59.4
2007,72.39999999999999,58.900000000000006
2008,73.9,59.800000000000004
2009,73.7,51.5
2010,78.3,63.6
2011,79.3,61.800000000000004
2012,80.5,57.4
2013,81.8,61.900000000000006
2014,81.10000000000001,61.4
2015,81.9,65.2
2016,83.0,65.3
2017,83.8,66.0
