Kommune,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKommune
Hele landet,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.9,2
Hele landet,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.7,2
Hele landet,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.7,2
Hele landet,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.6,2
Hele landet,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.6,2
Hele landet,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.3,2
Hele landet,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.5,2
Hele landet,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.6,2
Hele landet,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.8,2
Hele landet,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.7,2
Telemark,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.8,1
Telemark,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.4,1
Telemark,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,1
Telemark,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,1
Telemark,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.3,1
Telemark,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.7,1
Telemark,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.8,1
Telemark,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.4,1
Telemark,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.4,1
Telemark,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.8,1
Porsgrunn,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.8,13
Porsgrunn,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,13
Porsgrunn,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.9,13
Porsgrunn,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.0,13
Porsgrunn,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.7,13
Porsgrunn,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.0,13
Porsgrunn,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.8,13
Porsgrunn,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,13
Porsgrunn,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.2,13
Porsgrunn,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.7,13
Skien,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.4,16
Skien,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.8,16
Skien,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.9,16
Skien,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.9,16
Skien,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.7,16
Skien,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.0,16
Skien,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.2,16
Skien,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.6,16
Skien,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.8,16
Skien,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.0,16
Notodden,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.1,12
Notodden,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.4,12
Notodden,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.7,12
Notodden,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.6,12
Notodden,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.1,12
Notodden,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.0,12
Notodden,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.2,12
Notodden,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.2,12
Notodden,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",18.0,12
Notodden,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",18.3,12
Siljan,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.2,15
Siljan,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",11.7,15
Siljan,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,15
Siljan,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,15
Siljan,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,15
Siljan,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.6,15
Siljan,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,15
Siljan,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,15
Siljan,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.8,15
Siljan,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,15
Bamble,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.8,3
Bamble,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.3,3
Bamble,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.3,3
Bamble,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.4,3
Bamble,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.4,3
Bamble,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.0,3
Bamble,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.5,3
Bamble,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.1,3
Bamble,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.0,3
Bamble,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.2,3
Kragerø,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.4,7
Kragerø,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.5,7
Kragerø,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.8,7
Kragerø,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.3,7
Kragerø,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.1,7
Kragerø,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.1,7
Kragerø,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.6,7
Kragerø,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.9,7
Kragerø,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.6,7
Kragerø,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.6,7
Drangedal,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.0,4
Drangedal,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.8,4
Drangedal,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.2,4
Drangedal,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.2,4
Drangedal,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.3,4
Drangedal,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.1,4
Drangedal,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.4,4
Drangedal,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,4
Drangedal,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,4
Drangedal,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.2,4
Nome,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.3,11
Nome,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.9,11
Nome,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.6,11
Nome,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.3,11
Nome,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,11
Nome,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.5,11
Nome,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.4,11
Nome,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.1,11
Nome,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.7,11
Nome,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.2,11
Midt-Telemark,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.0,9
Midt-Telemark,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.2,9
Midt-Telemark,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.1,9
Midt-Telemark,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.7,9
Midt-Telemark,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.7,9
