Gruppe,Andel (2022)
"Gruppe 1-land (EU, Storbritannia, USA osv.)","17,4"
"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)","36,8"
Befolkningen unntatt innvandrere,"8,0"
