Geografi,År,Alder,Innvandringskategori,Lavinntektsgrense,Andel
Hele landet,2004-2006,25 år +,Innvandrere,EU 60,21.3217349172738
Hele landet,2004-2006,25 år +,Øvrig befolkning,EU 60,6.85600774445016
Hele landet,2005-2007,25 år +,Innvandrere,EU 60,21.4241405614747
Hele landet,2005-2007,25 år +,Øvrig befolkning,EU 60,6.8911759276678
Hele landet,2006-2008,25 år +,Innvandrere,EU 60,21.27379130139
Hele landet,2006-2008,25 år +,Øvrig befolkning,EU 60,6.80782877981319
Hele landet,2007-2009,25 år +,Innvandrere,EU 60,21.1332859396945
Hele landet,2007-2009,25 år +,Øvrig befolkning,EU 60,6.51079873703898
Hele landet,2008-2010,25 år +,Innvandrere,EU 60,20.4794270308406
Hele landet,2008-2010,25 år +,Øvrig befolkning,EU 60,6.09674203798536
Hele landet,2009-2011,25 år +,Innvandrere,EU 60,20.3498263888889
Hele landet,2009-2011,25 år +,Øvrig befolkning,EU 60,5.62934615951849
Hele landet,2010-2012,25 år +,Innvandrere,EU 60,21.1713826829802
Hele landet,2010-2012,25 år +,Øvrig befolkning,EU 60,5.49138878913383
Hele landet,2011-2013,25 år +,Innvandrere,EU 60,22.1169545258195
Hele landet,2011-2013,25 år +,Øvrig befolkning,EU 60,5.74288203653874
Hele landet,2012-2014,25 år +,Innvandrere,EU 60,23.1690384503049
Hele landet,2012-2014,25 år +,Øvrig befolkning,EU 60,5.81394157017763
Hele landet,2013-2015,25 år +,Innvandrere,EU 60,23.980343467646
Hele landet,2013-2015,25 år +,Øvrig befolkning,EU 60,5.83291933923486
Hele landet,2014-2016,25 år +,Innvandrere,EU 60,23.8031237424647
Hele landet,2014-2016,25 år +,Øvrig befolkning,EU 60,5.86382110051682
Hele landet,2015-2017,25 år +,Innvandrere,EU 60,23.7105896635384
Hele landet,2015-2017,25 år +,Øvrig befolkning,EU 60,5.89206301576399
Hele landet,2016-2018,25 år +,Innvandrere,EU 60,23.9166163971377
