Verdi,År
963,2003
990,2004
1128,2005
1006,2006
1094,2007
1089,2008
992,2009
1092,2010
955,2011
913,2012
1109,2013
1009,2014
1037,2015
1196,2016
1357,2017
1511,2018
1539,2019
1429,2020
1443,2021
