År;Nedlastede digitale tekstbøker for barn;Nedlastede digitale tekstbøker for voksne;Nedlastede digitale lydbøker for barn;Nedlastede digitale lydbøker for voksne
2018;4 645;53 870; 391;5 727
2019;3 512;56 926;1 237;16 197
2020;16 147;60 709;6 967;19 866
2021;17 847;73 448;3 788;41 271
2022;28174;62455;18146;40524
