indikator,breakdown,år,verdi_type,telemark_verdi,landet_verdi,andre_fylker_snitt,andre_fylker_median,andre_fylker_min,andre_fylker_max,andre_fylker_antall,z_score,rangering,rangering_av,significant,fylke_verdier
sykehusinnlagte_sykdommer_og_skader,Alder = Alle aldre; Sykdomsgruppe = Hodeskader,2025-01-01,Antall,3.9,2.8,2.835714285714286,2.8,2.2,3.8,14,2.5345978852519053,1,15,True,"{""Agder"": 2.6, ""Akershus"": 2.7, ""Buskerud"": 3.2, ""Finnmark Finnmárku Finmarkku"": 3.0, ""Hele landet"": 2.8, ""Innlandet"": 2.9, ""Møre og Romsdal"": 2.9, ""Nordland Nordlánnda"": 2.9, ""Oslo (fylke)"": 2.7, ""Rogaland"": 2.6, ""Telemark"": 3.9, ""Troms Romsa Tromssa"": 3.3, ""Trøndelag Trööndelage"": 2.2, ""Vestfold"": 3.8, ""Vestland"": 2.7, ""Østfold"": 2.2}"
sykehusinnlagte_sykdommer_og_skader,Alder = 0-74 år; Sykdomsgruppe = Hodeskader,2025-01-01,Antall,2.8,1.9,1.9714285714285715,1.9,1.6,2.6,14,2.482170856563294,1,15,True,"{""Agder"": 2.0, ""Akershus"": 1.6, ""Buskerud"": 1.9, ""Finnmark Finnmárku Finmarkku"": 2.3, ""Hele landet"": 1.9, ""Innlandet"": 1.9, ""Møre og Romsdal"": 2.2, ""Nordland Nordlánnda"": 2.1, ""Oslo (fylke)"": 1.6, ""Rogaland"": 1.9, ""Telemark"": 2.8, ""Troms Romsa Tromssa"": 2.6, ""Trøndelag Trööndelage"": 1.6, ""Vestfold"": 2.5, ""Vestland"": 1.8, ""Østfold"": 1.6}"
hjerte_og_karsykdom_primaerhelsetjenesten_treaarige_tall,Alder = 75-79 år,2024-01-01,Antall,389.7,454.2,458.0642857142857,458.25,416.6,504.0,14,-2.4284960343492,15,15,True,"{""Agder"": 419.0, ""Akershus"": 464.2, ""Buskerud"": 504.0, ""Finnmark Finnmárku Finmarkku"": 460.0, ""Hele landet"": 454.2, ""Innlandet"": 478.8, ""Møre og Romsdal"": 429.1, ""Nordland Nordlánnda"": 446.2, ""Oslo (fylke)"": 416.6, ""Rogaland"": 477.4, ""Telemark"": 389.7, ""Troms Romsa Tromssa"": 456.5, ""Trøndelag Trööndelage"": 430.1, ""Vestfold"": 480.8, ""Vestland"": 450.2, ""Østfold"": 500.0}"
vedvarende_lavinntekt_etter_innvandringskategori_kommunegrense,Alder = 0-17 år; Innvandringsbakgrunn = øvrig befolkning,2023-01-01,Andel,0.06,0.05,0.05007142857142856,0.05,0.0409999999999999,0.0559999999999999,14,2.4193974531595996,1,15,True,"{""Agder"": 0.051, ""Akershus"": 0.052, ""Buskerud"": 0.053, ""Finnmark Finnmárku Finmarkku"": 0.055, ""Hele landet"": 0.05, ""Innlandet"": 0.049, ""Møre og Romsdal"": 0.046, ""Nordland Nordlánnda"": 0.046, ""Oslo (fylke)"": 0.055, ""Rogaland"": 0.05, ""Telemark"": 0.06, ""Troms Romsa Tromssa"": 0.049, ""Trøndelag Trööndelage"": 0.0409999999999999, ""Vestfold"": 0.0559999999999999, ""Vestland"": 0.05, ""Østfold"": 0.048}"
vedvarende_lavinntekt_etter_innvandringskategori_kommunegrense,Alder = Alle aldre; Innvandringsbakgrunn = norskfødt med innvandrerforeldre,2023-01-01,Andel,0.299,0.252,0.2365,0.23699999999999993,0.205,0.3,14,2.3525389561236936,2,15,True,"{""Agder"": 0.242, ""Akershus"": 0.208, ""Buskerud"": 0.212, ""Finnmark Finnmárku Finmarkku"": 0.21, ""Hele landet"": 0.252, ""Innlandet"": 0.258, ""Møre og Romsdal"": 0.205, ""Nordland Nordlánnda"": 0.2319999999999999, ""Oslo (fylke)"": 0.3, ""Rogaland"": 0.247, ""Telemark"": 0.299, ""Troms Romsa Tromssa"": 0.218, ""Trøndelag Trööndelage"": 0.223, ""Vestfold"": 0.244, ""Vestland"": 0.262, ""Østfold"": 0.25}"
doedsaarsaker_tiaarig,Dødsårsak = Diabetes,2024-01-01,Antall,16.6,13.0,12.778571428571428,12.4,9.5,16.4,14,2.262594076646651,1,15,True,"{""Agder"": 12.5, ""Akershus"": 12.2, ""Buskerud"": 13.7, ""Finnmark Finnmárku Finmarkku"": 11.3, ""Hele landet"": 13.0, ""Innlandet"": 16.4, ""Møre og Romsdal"": 12.3, ""Nordland Nordlánnda"": 14.4, ""Oslo (fylke)"": 12.3, ""Rogaland"": 9.5, ""Telemark"": 16.6, ""Troms Romsa Tromssa"": 10.9, ""Trøndelag Trööndelage"": 13.5, ""Vestfold"": 13.8, ""Vestland"": 12.2, ""Østfold"": 13.9}"
sykehusinnlagte_sykdommer_og_skader,Alder = 15-24 år; Sykdomsgruppe = Forgiftninger,2025-01-01,Antall,2.9,1.6,1.7214285714285715,1.75,1.0,2.6,14,2.2573920384662935,1,15,True,"{""Agder"": 1.8, ""Akershus"": 1.2, ""Buskerud"": 1.1, ""Finnmark Finnmárku Finmarkku"": 2.4, ""Hele landet"": 1.6, ""Innlandet"": 1.9, ""Møre og Romsdal"": 1.5, ""Nordland Nordlánnda"": 2.5, ""Oslo (fylke)"": 1.1, ""Rogaland"": 1.9, ""Telemark"": 2.9, ""Troms Romsa Tromssa"": 2.6, ""Trøndelag Trööndelage"": 1.0, ""Vestfold"": 1.6, ""Vestland"": 1.8, ""Østfold"": 1.7}"
sykehusinnlagte_sykdommer_og_skader,Alder = 65-74 år; Sykdomsgruppe = Hoftebrudd,2025-01-01,Antall,3.4,2.5,2.522222222222222,2.6,2.0,3.3,9,2.2518640573274675,1,10,True,"{""Agder"": 2.0, ""Akershus"": 2.1, ""Buskerud"": null, ""Finnmark Finnmárku Finmarkku"": null, ""Hele landet"": 2.5, ""Innlandet"": 3.3, ""Møre og Romsdal"": 2.6, ""Nordland Nordlánnda"": null, ""Oslo (fylke)"": 2.2, ""Rogaland"": 2.6, ""Telemark"": 3.4, ""Troms Romsa Tromssa"": null, ""Trøndelag Trööndelage"": 2.6, ""Vestfold"": null, ""Vestland"": 2.7, ""Østfold"": 2.6}"
sykehusinnlagte_sykdommer_og_skader,Alder = 0-44 år; Sykdomsgruppe = Hodeskader,2025-01-01,Antall,2.9,1.8,1.9785714285714286,1.9,1.4,2.9,14,2.21800949214497,2,15,True,"{""Agder"": 2.1, ""Akershus"": 1.4, ""Buskerud"": 1.9, ""Finnmark Finnmárku Finmarkku"": 2.2, ""Hele landet"": 1.8, ""Innlandet"": 1.9, ""Møre og Romsdal"": 2.5, ""Nordland Nordlánnda"": 2.1, ""Oslo (fylke)"": 1.4, ""Rogaland"": 1.9, ""Telemark"": 2.9, ""Troms Romsa Tromssa"": 2.9, ""Trøndelag Trööndelage"": 1.6, ""Vestfold"": 2.3, ""Vestland"": 1.8, ""Østfold"": 1.7}"
sykehusinnlagte_sykdommer_og_skader,Alder = 45-64 år; Sykdomsgruppe = Hodeskader,2025-01-01,Antall,2.1,1.4,1.5071428571428571,1.45,1.2,2.1,14,2.1939324927776935,2,15,True,"{""Agder"": 1.6, ""Akershus"": 1.2, ""Buskerud"": 1.2, ""Finnmark Finnmárku Finmarkku"": 1.9, ""Hele landet"": 1.4, ""Innlandet"": 1.4, ""Møre og Romsdal"": 1.5, ""Nordland Nordlánnda"": 1.5, ""Oslo (fylke)"": 1.4, ""Rogaland"": 1.6, ""Telemark"": 2.1, ""Troms Romsa Tromssa"": 1.8, ""Trøndelag Trööndelage"": 1.3, ""Vestfold"": 2.1, ""Vestland"": 1.3, ""Østfold"": 1.3}"
