År,Produksjon (GWh)
2006,12859.0
2007,13009.0
2008,15084.0
2009,12232.0
2010,12235.0
2011,12630.0
2012,14256.0
2013,14387.0
2014,14384.0
2015,15546.0
2016,15484.0
2017,13436.0
2018,14789.0
2019,13231.0
2020,14828.0
2021,13742.0
2022,10318.0
2023,14579.0
2024,14833.0
