Kommune,År (intervall),År,Kjønn,Alder,Utdanningsnivå,Måltall,Antall,SortKommune
Telemark,2015-2021,2021-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.4,1
Telemark,2015-2021,2021-01-01,Kjønn samlet,30 år,videregående,leveår,83.2,1
Telemark,2015-2021,2021-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.4,1
Telemark,2016-2022,2022-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.4,1
Telemark,2016-2022,2022-01-01,Kjønn samlet,30 år,videregående,leveår,83.3,1
Telemark,2016-2022,2022-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.4,1
Telemark,2017-2023,2023-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.4,1
Telemark,2017-2023,2023-01-01,Kjønn samlet,30 år,videregående,leveår,83.3,1
Telemark,2017-2023,2023-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.5,1
Telemark,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.5,1
Telemark,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.3,1
Telemark,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.6,1
