"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"03";"";"1";"Oslo";;""
"11";"";"1";"Rogaland";;""
"15";"";"1";"Møre og Romsdal";;""
"18";"";"1";"Nordland";;"Stortingets vedtak fra 27. april 2021 innf�rer tospr�klig navn p� Nordland fylke, norsk og lulesamisk. Endringen trer i kraft straks. "
"31";"";"1";"Østfold";;""
"32";"";"1";"Akershus";;""
"33";"";"1";"Buskerud";;""
"34";"";"1";"Innlandet";;""
"39";"";"1";"Vestfold";;""
"40";"";"1";"Telemark";;""
"42";"";"1";"Agder";;""
"46";"";"1";"Vestland";;""
"50";"";"1";"Trøndelag";;""
"55";"";"1";"Troms";;""
"56";"";"1";"Finnmark";;""
"99";"";"1";"Uoppgitt";;""
