Østfold;Østfold
Vestfold;Vestfold
Telemark;Telemark
Buskerud;Buskerud
Finnmark - Finnmárku - Finmarkku;Finnmark
Innlandet;Innlandet
Agder;Agder
Akershus;Akershus
Oslo - Oslove;Oslo
Trøndelag - Trööndelage;Trøndelag
Nordland - Nordlánnda;Nordland
Vestland;Vestland
Møre og Romsdal;Møre og Romsdal
Troms - Romsa - Tromssa;Troms
Rogaland;Rogaland
