Kommunenummer,Kommune,År,Husholdningsstørrelse,Etterspørsel
4001,Porsgrunn,2035-01-01,6+,203
4001,Porsgrunn,2036-01-01,1,7770
4001,Porsgrunn,2036-01-01,2,6467
4001,Porsgrunn,2036-01-01,3,2190
4001,Porsgrunn,2036-01-01,4,2041
4001,Porsgrunn,2036-01-01,5,722
4001,Porsgrunn,2036-01-01,6+,203
4001,Porsgrunn,2037-01-01,1,7822
4001,Porsgrunn,2037-01-01,2,6507
4001,Porsgrunn,2037-01-01,3,2193
4001,Porsgrunn,2037-01-01,4,2044
4001,Porsgrunn,2037-01-01,5,724
4001,Porsgrunn,2037-01-01,6+,204
4001,Porsgrunn,2038-01-01,1,7862
4001,Porsgrunn,2038-01-01,2,6540
4001,Porsgrunn,2038-01-01,3,2198
4001,Porsgrunn,2038-01-01,4,2048
4001,Porsgrunn,2038-01-01,5,726
4001,Porsgrunn,2038-01-01,6+,205
4001,Porsgrunn,2039-01-01,1,7903
4001,Porsgrunn,2039-01-01,2,6579
4001,Porsgrunn,2039-01-01,3,2203
4001,Porsgrunn,2039-01-01,4,2049
4001,Porsgrunn,2039-01-01,5,726
4001,Porsgrunn,2039-01-01,6+,205
4001,Porsgrunn,2040-01-01,1,7942
4001,Porsgrunn,2040-01-01,2,6618
4001,Porsgrunn,2040-01-01,3,2207
4001,Porsgrunn,2040-01-01,4,2049
4001,Porsgrunn,2040-01-01,5,725
4001,Porsgrunn,2040-01-01,6+,205
4001,Porsgrunn,2041-01-01,1,7974
4001,Porsgrunn,2041-01-01,2,6650
4001,Porsgrunn,2041-01-01,3,2213
4001,Porsgrunn,2041-01-01,4,2050
4001,Porsgrunn,2041-01-01,5,725
4001,Porsgrunn,2041-01-01,6+,205
4001,Porsgrunn,2042-01-01,1,8010
4001,Porsgrunn,2042-01-01,2,6688
4001,Porsgrunn,2042-01-01,3,2215
4001,Porsgrunn,2042-01-01,4,2047
4001,Porsgrunn,2042-01-01,5,724
4001,Porsgrunn,2042-01-01,6+,205
4001,Porsgrunn,2043-01-01,1,8041
4001,Porsgrunn,2043-01-01,2,6724
4001,Porsgrunn,2043-01-01,3,2218
4001,Porsgrunn,2043-01-01,4,2043
4001,Porsgrunn,2043-01-01,5,722
4001,Porsgrunn,2043-01-01,6+,205
4001,Porsgrunn,2044-01-01,1,8074
4001,Porsgrunn,2044-01-01,2,6750
4001,Porsgrunn,2044-01-01,3,2221
4001,Porsgrunn,2044-01-01,4,2042
4001,Porsgrunn,2044-01-01,5,721
4001,Porsgrunn,2044-01-01,6+,205
4001,Porsgrunn,2045-01-01,1,8113
4001,Porsgrunn,2045-01-01,2,6775
4001,Porsgrunn,2045-01-01,3,2223
4001,Porsgrunn,2045-01-01,4,2039
4001,Porsgrunn,2045-01-01,5,720
4001,Porsgrunn,2045-01-01,6+,204
4001,Porsgrunn,2046-01-01,1,8150
4001,Porsgrunn,2046-01-01,2,6798
4001,Porsgrunn,2046-01-01,3,2225
4001,Porsgrunn,2046-01-01,4,2036
4001,Porsgrunn,2046-01-01,5,718
4001,Porsgrunn,2046-01-01,6+,204
4001,Porsgrunn,2047-01-01,1,8189
