municipality_code,municipality_name,year,household_size,housing_demand
4001,Porsgrunn,2045,SIZE_1,8113
4001,Porsgrunn,2045,SIZE_2,6775
4001,Porsgrunn,2045,SIZE_3,2223
4001,Porsgrunn,2045,SIZE_4,2039
4001,Porsgrunn,2045,SIZE_5,720
4001,Porsgrunn,2045,SIZE_6_INF,204
4001,Porsgrunn,2046,SIZE_1,8150
4001,Porsgrunn,2046,SIZE_2,6798
4001,Porsgrunn,2046,SIZE_3,2225
4001,Porsgrunn,2046,SIZE_4,2036
4001,Porsgrunn,2046,SIZE_5,718
4001,Porsgrunn,2046,SIZE_6_INF,204
4001,Porsgrunn,2047,SIZE_1,8189
4001,Porsgrunn,2047,SIZE_2,6826
4001,Porsgrunn,2047,SIZE_3,2227
4001,Porsgrunn,2047,SIZE_4,2032
4001,Porsgrunn,2047,SIZE_5,717
4001,Porsgrunn,2047,SIZE_6_INF,204
4001,Porsgrunn,2048,SIZE_1,8228
4001,Porsgrunn,2048,SIZE_2,6847
4001,Porsgrunn,2048,SIZE_3,2228
4001,Porsgrunn,2048,SIZE_4,2027
4001,Porsgrunn,2048,SIZE_5,715
4001,Porsgrunn,2048,SIZE_6_INF,203
4001,Porsgrunn,2049,SIZE_1,8266
4001,Porsgrunn,2049,SIZE_2,6872
4001,Porsgrunn,2049,SIZE_3,2225
4001,Porsgrunn,2049,SIZE_4,2021
4001,Porsgrunn,2049,SIZE_5,713
4001,Porsgrunn,2049,SIZE_6_INF,203
4001,Porsgrunn,2050,SIZE_1,8311
4001,Porsgrunn,2050,SIZE_2,6897
4001,Porsgrunn,2050,SIZE_3,2222
4001,Porsgrunn,2050,SIZE_4,2014
4001,Porsgrunn,2050,SIZE_5,711
4001,Porsgrunn,2050,SIZE_6_INF,203
4003,Skien,2026,SIZE_1,10607
4003,Skien,2026,SIZE_2,8930
4003,Skien,2026,SIZE_3,3263
4003,Skien,2026,SIZE_4,3055
4003,Skien,2026,SIZE_5,1063
4003,Skien,2026,SIZE_6_INF,296
4003,Skien,2027,SIZE_1,10742
4003,Skien,2027,SIZE_2,9017
4003,Skien,2027,SIZE_3,3274
4003,Skien,2027,SIZE_4,3069
4003,Skien,2027,SIZE_5,1069
4003,Skien,2027,SIZE_6_INF,298
4003,Skien,2028,SIZE_1,10845
4003,Skien,2028,SIZE_2,9097
4003,Skien,2028,SIZE_3,3280
4003,Skien,2028,SIZE_4,3083
4003,Skien,2028,SIZE_5,1077
4003,Skien,2028,SIZE_6_INF,300
4003,Skien,2029,SIZE_1,10948
4003,Skien,2029,SIZE_2,9180
4003,Skien,2029,SIZE_3,3286
4003,Skien,2029,SIZE_4,3094
4003,Skien,2029,SIZE_5,1085
4003,Skien,2029,SIZE_6_INF,303
4003,Skien,2030,SIZE_1,11044
4003,Skien,2030,SIZE_2,9257
4003,Skien,2030,SIZE_3,3290
4003,Skien,2030,SIZE_4,3103
4003,Skien,2030,SIZE_5,1091
4003,Skien,2030,SIZE_6_INF,305
4003,Skien,2031,SIZE_1,11131
4003,Skien,2031,SIZE_2,9332
4003,Skien,2031,SIZE_3,3294
4003,Skien,2031,SIZE_4,3109
4003,Skien,2031,SIZE_5,1095
4003,Skien,2031,SIZE_6_INF,306
4003,Skien,2032,SIZE_1,11216
4003,Skien,2032,SIZE_2,9410
4003,Skien,2032,SIZE_3,3300
4003,Skien,2032,SIZE_4,3111
4003,Skien,2032,SIZE_5,1098
4003,Skien,2032,SIZE_6_INF,308
4003,Skien,2033,SIZE_1,11306
4003,Skien,2033,SIZE_2,9486
4003,Skien,2033,SIZE_3,3300
4003,Skien,2033,SIZE_4,3107
4003,Skien,2033,SIZE_5,1099
4003,Skien,2033,SIZE_6_INF,308
4003,Skien,2034,SIZE_1,11383
4003,Skien,2034,SIZE_2,9559
4003,Skien,2034,SIZE_3,3303
4003,Skien,2034,SIZE_4,3110
4003,Skien,2034,SIZE_5,1102
4003,Skien,2034,SIZE_6_INF,310
4003,Skien,2035,SIZE_1,11454
4003,Skien,2035,SIZE_2,9630
4003,Skien,2035,SIZE_3,3307
4003,Skien,2035,SIZE_4,3111
4003,Skien,2035,SIZE_5,1103
4003,Skien,2035,SIZE_6_INF,310
4003,Skien,2036,SIZE_1,11533
4003,Skien,2036,SIZE_2,9691
4003,Skien,2036,SIZE_3,3314
4003,Skien,2036,SIZE_4,3112
4003,Skien,2036,SIZE_5,1104
4003,Skien,2036,SIZE_6_INF,311
4003,Skien,2037,SIZE_1,11608
4003,Skien,2037,SIZE_2,9750
4003,Skien,2037,SIZE_3,3319
4003,Skien,2037,SIZE_4,3115
4003,Skien,2037,SIZE_5,1106
4003,Skien,2037,SIZE_6_INF,312
4003,Skien,2038,SIZE_1,11671
4003,Skien,2038,SIZE_2,9806
4003,Skien,2038,SIZE_3,3328
4003,Skien,2038,SIZE_4,3115
4003,Skien,2038,SIZE_5,1105
4003,Skien,2038,SIZE_6_INF,312
4003,Skien,2039,SIZE_1,11743
4003,Skien,2039,SIZE_2,9863
4003,Skien,2039,SIZE_3,3337
4003,Skien,2039,SIZE_4,3112
4003,Skien,2039,SIZE_5,1102
4003,Skien,2039,SIZE_6_INF,311
4003,Skien,2040,SIZE_1,11793
4003,Skien,2040,SIZE_2,9915
4003,Skien,2040,SIZE_3,3346
4003,Skien,2040,SIZE_4,3112
4003,Skien,2040,SIZE_5,1101
4003,Skien,2040,SIZE_6_INF,311
4003,Skien,2041,SIZE_1,11838
4003,Skien,2041,SIZE_2,9970
4003,Skien,2041,SIZE_3,3352
4003,Skien,2041,SIZE_4,3109
4003,Skien,2041,SIZE_5,1100
4003,Skien,2041,SIZE_6_INF,311
4003,Skien,2042,SIZE_1,11892
4003,Skien,2042,SIZE_2,10026
4003,Skien,2042,SIZE_3,3358
4003,Skien,2042,SIZE_4,3103
4003,Skien,2042,SIZE_5,1096
