Kommunenummer,Kommune,Andel oppfyller pedagognormen,Andel oppfyller ikke pedagognormen,Andel oppfyller med dispensasjon,Antall barn
00,Nasjonalt,65.3,8.4,26.3,264210
40,Telemark,84.8,6.5,8.7,7645
4001,Porsgrunn,96.2,3.8,0.0,1648
4003,Skien,93.0,7.0,0.0,2552
4005,Notodden,83.3,0.0,16.7,552
4010,Siljan,100.0,0.0,0.0,119
4012,Bamble,72.7,9.1,18.2,597
4014,Kragerø,100.0,0.0,0.0,386
4016,Drangedal,66.7,33.3,0.0,184
4018,Nome,83.3,16.7,0.0,282
4020,Midt-Telemark,62.5,0.0,37.5,484
4022,Seljord,100.0,0.0,0.0,113
4024,Hjartdal,100.0,0.0,0.0,83
4026,Tinn,66.7,16.7,16.7,154
4028,Kviteseid,0.0,0.0,100.0,105
4030,Nissedal,75.0,0.0,25.0,68
4032,Fyresdal,0.0,0.0,100.0,42
4034,Tokke,25.0,25.0,50.0,104
4036,Vinje,50.0,25.0,25.0,172
