Kommunenummer,Geografi,År,Alder,Innvandringsbakgrunn,Andel
4005,Notodden,2021-01-01,alle aldre,innvandrere,23.155737704918
4005,Notodden,2021-01-01,alle aldre,totalt,7.76390289304274
4005,Notodden,2022-01-01,alle aldre,innvandrere,22.936400541272
4005,Notodden,2022-01-01,alle aldre,totalt,7.59444872783346
4005,Notodden,2023-01-01,alle aldre,innvandrere,22.6040978189028
4005,Notodden,2023-01-01,alle aldre,totalt,7.75301764159703
4005,Notodden,2024-01-01,alle aldre,innvandrere,23.8575667655786
4005,Notodden,2024-01-01,alle aldre,totalt,7.7621737139368
4010,Siljan,2015-01-01,alle aldre,innvandrere,24.3055555555556
4010,Siljan,2015-01-01,alle aldre,totalt,4.54148471615721
4010,Siljan,2016-01-01,alle aldre,innvandrere,22.5806451612903
4010,Siljan,2016-01-01,alle aldre,totalt,4.45130013221684
4010,Siljan,2017-01-01,alle aldre,innvandrere,16.7664670658683
4010,Siljan,2017-01-01,alle aldre,totalt,4.12684622067767
4010,Siljan,2018-01-01,alle aldre,innvandrere,23.463687150838
4010,Siljan,2018-01-01,alle aldre,totalt,4.81561822125814
4010,Siljan,2019-01-01,alle aldre,innvandrere,22.7777777777778
4010,Siljan,2019-01-01,alle aldre,totalt,4.27760803142732
4010,Siljan,2020-01-01,alle aldre,innvandrere,20.0
4010,Siljan,2020-01-01,alle aldre,totalt,4.57715780296426
4010,Siljan,2021-01-01,alle aldre,innvandrere,9.63855421686747
4010,Siljan,2021-01-01,alle aldre,totalt,3.85448245993937
4010,Siljan,2022-01-01,alle aldre,innvandrere,8.69565217391304
4010,Siljan,2022-01-01,alle aldre,totalt,4.06222990492653
4010,Siljan,2023-01-01,alle aldre,innvandrere,7.92682926829268
4010,Siljan,2023-01-01,alle aldre,totalt,3.27659574468085
4010,Siljan,2024-01-01,alle aldre,innvandrere,8.19672131147541
4010,Siljan,2024-01-01,alle aldre,totalt,3.44387755102041
4012,Bamble,2015-01-01,alle aldre,innvandrere,20.8456243854474
4012,Bamble,2015-01-01,alle aldre,totalt,6.41482019614966
4012,Bamble,2016-01-01,alle aldre,innvandrere,21.5648854961832
4012,Bamble,2016-01-01,alle aldre,totalt,6.55904595695172
4012,Bamble,2017-01-01,alle aldre,innvandrere,22.9779411764706
4012,Bamble,2017-01-01,alle aldre,totalt,7.18835963515274
4012,Bamble,2018-01-01,alle aldre,innvandrere,22.4062772449869
4012,Bamble,2018-01-01,alle aldre,totalt,7.0784327873584
4012,Bamble,2019-01-01,alle aldre,innvandrere,20.8904109589041
4012,Bamble,2019-01-01,alle aldre,totalt,6.94605568445476
4012,Bamble,2020-01-01,alle aldre,innvandrere,19.9137931034483
4012,Bamble,2020-01-01,alle aldre,totalt,7.10659898477157
4012,Bamble,2021-01-01,alle aldre,innvandrere,17.7074422583405
4012,Bamble,2021-01-01,alle aldre,totalt,6.49454545454545
4012,Bamble,2022-01-01,alle aldre,innvandrere,17.5206611570248
4012,Bamble,2022-01-01,alle aldre,totalt,5.97652854245146
