Kommune;Prosentandel barn og unge 
Horten;5.1
Holmestrand;10.2
Tønsberg;7.8
Sandefjord;5.4
Larvik;20.6
Porsgrunn;14.2
Skien;11.2
Notodden;10.2
Færder;8.9
Siljan;9.8
Bamble;13.3
Kragerø;13.9
Drangedal;16.7
Nome;23.1
Midt-Telemark;25.9
Tinn;18.8
Hjartdal;39.3
Seljord;26.2
Kviteseid;27.3
Nissedal;26.2
Fyresdal;35.4
Tokke;52.8
Vinje;32.2
