Periode,Område,Andel
2025_2,Bamble,54.0
2025_2,Distr. i,88.0
2025_2,Kragerø,66.0
2025_2,Midt-Telemark,69.0
2025_2,Notodden,83.0
2025_2,Porsgrunn,65.0
2025_2,Skien,65.0
2026_1,Bamble,56.0
2026_1,Distr. i,90.0
2026_1,Kragerø,71.0
2026_1,Midt-Telemark,70.0
2026_1,Notodden,77.0
2026_1,Porsgrunn,63.0
2026_1,Skien,64.0
2026_2,Bamble,57.0
2026_2,Distr. i,82.0
2026_2,Kragerø,61.0
2026_2,Midt-Telemark,79.0
2026_2,Notodden,75.0
2026_2,Porsgrunn,60.0
2026_2,Skien,63.0
