Område;Andel
Oslo;2,9
Asker/Bærum;3,2
Follo;7,0
Stavanger m/omegn;15,9
Tromsø;17,6
Romerike;21,4
Bergen;21,7
Norge;30,1
Drammen m/omegn;30,4
Tønsberg m/Færder;32,0
Bodø m/Fauske;34,9
Trondheim;35,7
Kristiansand;44,1
Fredrikstad/Sarpsborg;45,0
Ålesund m/Sula;47,4
Hamar m/Stange;47,6
Porsgrunn/Skien;63,4
