stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:35321,Hokkedalen,59.557576,8.583122,,,NSR:StopPlace:20217,,700,
NSR:Quay:35322,Hokkedalen,59.557526,8.582903,,,NSR:StopPlace:20217,,700,
NSR:Quay:35323,Lønnebakkveien,59.094109,9.806347,,,NSR:StopPlace:20218,,700,
NSR:Quay:35324,Lønnebakkveien,59.094063,9.806236,,,NSR:StopPlace:20218,,700,
NSR:Quay:35325,Fritheim,59.229670,9.171353,,,NSR:StopPlace:20219,,700,
NSR:Quay:35326,Fritheim,59.229725,9.171546,,,NSR:StopPlace:20219,,700,
NSR:Quay:35327,Lønnegraf,59.313663,8.509960,,,NSR:StopPlace:20220,,700,
NSR:Quay:35328,Lønnegraf,59.313393,8.510150,,,NSR:StopPlace:20220,,700,
NSR:Quay:35329,Holm,59.604343,8.637682,,,NSR:StopPlace:20221,,700,
NSR:Quay:35330,Holm,59.604467,8.637502,,,NSR:StopPlace:20221,,700,
NSR:Quay:35331,Frivoll,59.415205,9.055612,,,NSR:StopPlace:20222,,700,
NSR:Quay:35332,Frivoll,59.415116,9.056299,,,NSR:StopPlace:20222,,700,
NSR:Quay:35333,Løveid sluse,59.211573,9.522338,,,NSR:StopPlace:20223,,1000,
NSR:Quay:35334,Holtan,59.417391,8.475373,,,NSR:StopPlace:20224,,700,
NSR:Quay:35335,Holtan,59.417256,8.475330,,,NSR:StopPlace:20224,,700,
NSR:Quay:35336,Løvland,58.939004,9.138208,,,NSR:StopPlace:20225,,700,
NSR:Quay:35337,Løvland,58.939145,9.138203,,,NSR:StopPlace:20225,,700,
NSR:Quay:35339,Frognerhagen kryss,59.211020,9.623149,,,NSR:StopPlace:20226,,700,
NSR:Quay:35340,Holtan,59.392608,9.227089,,,NSR:StopPlace:20227,,700,
NSR:Quay:35341,Holtan,59.392642,9.227606,,,NSR:StopPlace:20227,,700,
NSR:Quay:35342,Løvsjø,59.086896,9.685669,,,NSR:StopPlace:20230,,700,
NSR:Quay:35343,Frognerkrysset,59.212235,9.616856,,,NSR:StopPlace:20229,,700,
NSR:Quay:35344,Frognerkrysset,59.212169,9.615238,,,NSR:StopPlace:20229,,700,
NSR:Quay:35345,Løvsjø,59.087424,9.687281,,,NSR:StopPlace:20230,,700,
NSR:Quay:35346,Holtane,58.920383,9.318936,,,NSR:StopPlace:20231,,700,
NSR:Quay:35349,Holtane,58.920611,9.318233,,,NSR:StopPlace:20231,,700,
NSR:Quay:35350,Løyne,59.276030,8.523947,,,NSR:StopPlace:20235,,700,
NSR:Quay:35351,Løyne,59.276094,8.523776,,,NSR:StopPlace:20235,,700,
NSR:Quay:35352,Froste,58.945732,9.499250,,,NSR:StopPlace:20236,,700,
NSR:Quay:35353,Solum kirke,59.170123,9.566004,,,NSR:StopPlace:20237,,700,
NSR:Quay:35354,Solum kirke,59.170381,9.566196,,,NSR:StopPlace:20237,,700,
NSR:Quay:35355,Froste,58.945737,9.498998,,,NSR:StopPlace:20236,,700,
NSR:Quay:35356,Holtanvegen kryss,59.169537,9.521662,,,NSR:StopPlace:20239,,700,
NSR:Quay:35358,Maigullvegen,59.178949,9.610679,,,NSR:StopPlace:20240,,700,
NSR:Quay:35359,Maigullvegen,59.178713,9.610628,,,NSR:StopPlace:20240,,700,
NSR:Quay:35360,Frosteveien kryss,58.955529,9.540505,,,NSR:StopPlace:20241,,700,
NSR:Quay:35361,Holtas plass,59.560406,9.260316,,,NSR:StopPlace:20242,,700,
NSR:Quay:35362,Holtas plass,59.560220,9.259854,,,NSR:StopPlace:20242,,700,
NSR:Quay:35363,Maistanga,58.872612,9.407845,,,NSR:StopPlace:20243,,700,
NSR:Quay:35364,Frosteveien kryss,58.955463,9.540580,,,NSR:StopPlace:20241,,700,
NSR:Quay:35365,Mannås,59.553876,7.973035,,,NSR:StopPlace:20245,,700,
NSR:Quay:35366,Mannås,59.553837,7.972805,,,NSR:StopPlace:20245,,700,
NSR:Quay:35367,Holte,59.090675,9.015532,,,NSR:StopPlace:20246,,700,
NSR:Quay:35368,Holte,59.090523,9.015165,,,NSR:StopPlace:20246,,700,
NSR:Quay:35369,Frosteveien kryss,58.955500,9.540303,,,NSR:StopPlace:20241,,700,
NSR:Quay:35370,Marumveien kryss,59.200527,9.403991,,,NSR:StopPlace:20248,,700,
NSR:Quay:35371,Marumveien kryss,59.200527,9.403868,,,NSR:StopPlace:20248,,700,
NSR:Quay:35372,Holte,59.337243,9.212141,,,NSR:StopPlace:20249,,700,
NSR:Quay:35373,Holte,59.338304,9.212776,,,NSR:StopPlace:20249,,700,
NSR:Quay:35374,Frydensborg,58.872900,9.399957,,,NSR:StopPlace:20250,,700,
NSR:Quay:35375,Meaksmoen,59.570793,9.256909,,,NSR:StopPlace:20251,,700,
NSR:Quay:35376,Meaksmoen,59.570774,9.257015,,,NSR:StopPlace:20251,,700,
NSR:Quay:35377,Holtebru,59.429328,8.003116,,,NSR:StopPlace:20252,,700,
NSR:Quay:35378,Holtebru,59.429361,8.002939,,,NSR:StopPlace:20252,,700,
NSR:Quay:35379,Frydensborgveien kryss,58.870476,9.390028,,,NSR:StopPlace:20256,,700,
NSR:Quay:35380,Meen,59.173020,9.658184,,,NSR:StopPlace:20254,,700,
NSR:Quay:35381,Meen,59.172970,9.657951,,,NSR:StopPlace:20254,,700,
NSR:Quay:35382,Holteheia kryss,59.310649,9.168845,,,NSR:StopPlace:20255,,700,
NSR:Quay:35383,Frydensborgveien kryss,58.870445,9.388449,,,NSR:StopPlace:20256,,700,
NSR:Quay:35384,Holteheia kryss,59.310685,9.168950,,,NSR:StopPlace:20255,,700,
NSR:Quay:35385,Meieritorvet,59.138826,9.648432,,,NSR:StopPlace:20257,,700,
NSR:Quay:35386,Frydensborgveien kryss,58.870465,9.389040,,,NSR:StopPlace:20256,,700,
NSR:Quay:35387,Holtesletta,59.274713,9.701985,,,NSR:StopPlace:20259,,700,
