Fylke,År (intervall),År,Alder,Innvandringsbakgrunn,Lavinntektsgrense,Måltall,Andel,SortAlder,SortFylke
Innlandet,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.049,2,7
Vestfold,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.08800000000000001,1,14
Vestfold,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.22399999999999998,1,14
Vestfold,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.244,1,14
Vestfold,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.061,1,14
Vestfold,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.102,2,14
Vestfold,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.415,2,14
Vestfold,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.258,2,14
Vestfold,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.055999999999999994,2,14
Telemark,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.091,1,1
Telemark,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.278,1,1
Telemark,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.299,1,1
Telemark,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.059000000000000004,1,1
Telemark,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.122,2,1
Telemark,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.542,2,1
Telemark,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.319,2,1
Telemark,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.06,2,1
Agder,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.084,1,3
Agder,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.25,1,3
Agder,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.242,1,3
Agder,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.055,1,3
Agder,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.098,2,3
Agder,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.498,2,3
Agder,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.259,2,3
Agder,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.051,2,3
Rogaland,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.092,1,11
Rogaland,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.226,1,11
Rogaland,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.247,1,11
Rogaland,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.061,1,11
Rogaland,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.096,2,11
Rogaland,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.385,2,11
Rogaland,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.256,2,11
Rogaland,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.05,2,11
Vestland,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.09,1,15
Vestland,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.24100000000000002,1,15
Vestland,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.262,1,15
Vestland,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.064,1,15
Vestland,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.09,2,15
Vestland,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.426,2,15
Vestland,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.267,2,15
Vestland,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.05,2,15
Møre og Romsdal,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.08,1,8
Møre og Romsdal,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.223,1,8
Møre og Romsdal,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.205,1,8
Møre og Romsdal,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.059000000000000004,1,8
Møre og Romsdal,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.08,2,8
Møre og Romsdal,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.433,2,8
Møre og Romsdal,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.21,2,8
Møre og Romsdal,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.046,2,8
Trøndelag Trööndelage,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.08199999999999999,1,13
Trøndelag Trööndelage,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.244,1,13
Trøndelag Trööndelage,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.223,1,13
Trøndelag Trööndelage,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.06,1,13
Trøndelag Trööndelage,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.076,2,13
Trøndelag Trööndelage,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.447,2,13
Trøndelag Trööndelage,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.23,2,13
Trøndelag Trööndelage,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.040999999999999995,2,13
Nordland Nordlánnda,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.073,1,9
Nordland Nordlánnda,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.22699999999999998,1,9
Nordland Nordlánnda,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.23199999999999998,1,9
Nordland Nordlánnda,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.057,1,9
Nordland Nordlánnda,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.077,2,9
Nordland Nordlánnda,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.446,2,9
Nordland Nordlánnda,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.242,2,9
Nordland Nordlánnda,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.046,2,9
Troms Romsa Tromssa,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.08,1,12
Troms Romsa Tromssa,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.22699999999999998,1,12
Troms Romsa Tromssa,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.218,1,12
Troms Romsa Tromssa,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.061,1,12
Troms Romsa Tromssa,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.079,2,12
Troms Romsa Tromssa,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.41700000000000004,2,12
Troms Romsa Tromssa,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.223,2,12
Troms Romsa Tromssa,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.049,2,12
Finnmark Finnmárku Finmarkku,2021-2023,2023-01-01,Alle aldre,total,EU60,andel (prosent),0.084,1,6
Finnmark Finnmárku Finmarkku,2021-2023,2023-01-01,Alle aldre,innvandrere,EU60,andel (prosent),0.213,1,6
Finnmark Finnmárku Finmarkku,2021-2023,2023-01-01,Alle aldre,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.21,1,6
Finnmark Finnmárku Finmarkku,2021-2023,2023-01-01,Alle aldre,øvrig befolkning,EU60,andel (prosent),0.064,1,6
Finnmark Finnmárku Finmarkku,2021-2023,2023-01-01,0-17 år,total,EU60,andel (prosent),0.087,2,6
Finnmark Finnmárku Finmarkku,2021-2023,2023-01-01,0-17 år,innvandrere,EU60,andel (prosent),0.41700000000000004,2,6
Finnmark Finnmárku Finmarkku,2021-2023,2023-01-01,0-17 år,norskfødt med innvandrerforeldre,EU60,andel (prosent),0.217,2,6
Finnmark Finnmárku Finmarkku,2021-2023,2023-01-01,0-17 år,øvrig befolkning,EU60,andel (prosent),0.055,2,6
