Fylke,Skoleår,År,Skoleår_slutt,Kjønn,Spm.id,Klassetrinn,Måltall,Andel,SortFylke
Hele landet,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.8290000000000001,2
Oslo (fylke),2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.868,10
Østfold,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.838,16
Akershus,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.847,4
Buskerud,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.843,5
Innlandet,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.8290000000000001,7
Vestfold,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.8220000000000001,14
Telemark,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.815,1
Agder,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.835,3
Rogaland,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.8270000000000001,11
Vestland,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.8140000000000001,15
Møre og Romsdal,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.82,8
Trøndelag Trööndelage,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.815,13
Nordland Nordlánnda,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.787,9
Troms Romsa Tromssa,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.794,12
Finnmark Finnmárku Finmarkku,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm.id,10. trinn,"andel (prosent, standardisert)",0.759,6
