Fylke,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Nordland Nordlánnda,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",420.1,3,4,9
Troms Romsa Tromssa,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",99.9,1,1,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",25.8,1,2,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",214.1,1,3,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",456.5,1,4,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",107.2,2,1,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",23.7,2,2,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",237.6,2,3,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",482.5,2,4,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",92.3,3,1,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",27.9,3,2,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",190.1,3,3,12
Troms Romsa Tromssa,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",432.6,3,4,12
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",106.0,1,1,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",29.1,1,2,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",225.0,1,3,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",460.0,1,4,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",112.2,2,1,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",27.4,2,2,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",245.5,2,3,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",492.7,2,4,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",99.6,3,1,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",30.9,3,2,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",204.3,3,3,6
Finnmark Finnmárku Finmarkku,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",429.7,3,4,6
