Fylke,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Østfold,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",474.8,3,4,16
Akershus,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",99.5,1,1,4
Akershus,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",24.5,1,2,4
Akershus,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",215.1,1,3,4
Akershus,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",464.2,1,4,4
Akershus,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",107.8,2,1,4
Akershus,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",23.0,2,2,4
Akershus,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",240.3,2,3,4
Akershus,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",497.9,2,4,4
Akershus,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",90.9,3,1,4
Akershus,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",26.0,3,2,4
Akershus,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",189.4,3,3,4
Akershus,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",433.1,3,4,4
Buskerud,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",111.0,1,1,5
Buskerud,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",27.1,1,2,5
Buskerud,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",240.1,1,3,5
Buskerud,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",504.0,1,4,5
Buskerud,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",119.6,2,1,5
Buskerud,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",25.8,2,2,5
