Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2024-01-01,Menn,75-79 år,Psykiske lidelser,"per 1000, standardisert",56.1,2,8,2
Hele landet,2024-01-01,Kvinner,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",224.3,3,1,2
Hele landet,2024-01-01,Kvinner,0-74 år,Psykiske symptomer,"per 1000, standardisert",169.0,3,1,2
Hele landet,2024-01-01,Kvinner,0-74 år,Psykiske lidelser,"per 1000, standardisert",99.8,3,1,2
Hele landet,2024-01-01,Kvinner,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",214.5,3,2,2
Hele landet,2024-01-01,Kvinner,0-44 år,Psykiske symptomer,"per 1000, standardisert",156.3,3,2,2
Hele landet,2024-01-01,Kvinner,0-44 år,Psykiske lidelser,"per 1000, standardisert",105.1,3,2,2
Hele landet,2024-01-01,Kvinner,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",139.9,3,3,2
Hele landet,2024-01-01,Kvinner,0-24 år,Psykiske symptomer,"per 1000, standardisert",98.3,3,3,2
Hele landet,2024-01-01,Kvinner,0-24 år,Psykiske lidelser,"per 1000, standardisert",69.8,3,3,2
Hele landet,2024-01-01,Kvinner,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",69.5,3,4,2
Hele landet,2024-01-01,Kvinner,0-14 år,Psykiske symptomer,"per 1000, standardisert",52.0,3,4,2
Hele landet,2024-01-01,Kvinner,0-14 år,Psykiske lidelser,"per 1000, standardisert",25.8,3,4,2
Hele landet,2024-01-01,Kvinner,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",231.6,3,5,2
Hele landet,2024-01-01,Kvinner,15-24 år,Psykiske symptomer,"per 1000, standardisert",158.6,3,5,2
Hele landet,2024-01-01,Kvinner,15-24 år,Psykiske lidelser,"per 1000, standardisert",127.2,3,5,2
Hele landet,2024-01-01,Kvinner,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",289.8,3,6,2
Hele landet,2024-01-01,Kvinner,25-44 år,Psykiske symptomer,"per 1000, standardisert",214.9,3,6,2
Hele landet,2024-01-01,Kvinner,25-44 år,Psykiske lidelser,"per 1000, standardisert",140.7,3,6,2
Hele landet,2024-01-01,Kvinner,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",239.1,3,7,2
Hele landet,2024-01-01,Kvinner,45-74 år,Psykiske symptomer,"per 1000, standardisert",188.1,3,7,2
Hele landet,2024-01-01,Kvinner,45-74 år,Psykiske lidelser,"per 1000, standardisert",91.9,3,7,2
Hele landet,2024-01-01,Kvinner,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",233.6,3,8,2
Hele landet,2024-01-01,Kvinner,75-79 år,Psykiske symptomer,"per 1000, standardisert",182.6,3,8,2
Hele landet,2024-01-01,Kvinner,75-79 år,Psykiske lidelser,"per 1000, standardisert",88.1,3,8,2
Oslo (fylke),2024-01-01,Kjønn samlet,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",185.8,1,1,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-74 år,Psykiske symptomer,"per 1000, standardisert",139.1,1,1,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-74 år,Psykiske lidelser,"per 1000, standardisert",81.6,1,1,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",173.2,1,2,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-44 år,Psykiske symptomer,"per 1000, standardisert",126.0,1,2,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-44 år,Psykiske lidelser,"per 1000, standardisert",82.1,1,2,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",118.5,1,3,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-24 år,Psykiske symptomer,"per 1000, standardisert",83.1,1,3,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-24 år,Psykiske lidelser,"per 1000, standardisert",55.4,1,3,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",72.6,1,4,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-14 år,Psykiske symptomer,"per 1000, standardisert",52.7,1,4,10
Oslo (fylke),2024-01-01,Kjønn samlet,0-14 år,Psykiske lidelser,"per 1000, standardisert",27.9,1,4,10
Oslo (fylke),2024-01-01,Kjønn samlet,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",178.1,1,5,10
Oslo (fylke),2024-01-01,Kjønn samlet,15-24 år,Psykiske symptomer,"per 1000, standardisert",122.5,1,5,10
Oslo (fylke),2024-01-01,Kjønn samlet,15-24 år,Psykiske lidelser,"per 1000, standardisert",91.0,1,5,10
Oslo (fylke),2024-01-01,Kjønn samlet,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",227.5,1,6,10
Oslo (fylke),2024-01-01,Kjønn samlet,25-44 år,Psykiske symptomer,"per 1000, standardisert",168.9,1,6,10
Oslo (fylke),2024-01-01,Kjønn samlet,25-44 år,Psykiske lidelser,"per 1000, standardisert",108.3,1,6,10
Oslo (fylke),2024-01-01,Kjønn samlet,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",209.3,1,7,10
Oslo (fylke),2024-01-01,Kjønn samlet,45-74 år,Psykiske symptomer,"per 1000, standardisert",161.4,1,7,10
Oslo (fylke),2024-01-01,Kjønn samlet,45-74 år,Psykiske lidelser,"per 1000, standardisert",84.0,1,7,10
Oslo (fylke),2024-01-01,Kjønn samlet,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",210.1,1,8,10
Oslo (fylke),2024-01-01,Kjønn samlet,75-79 år,Psykiske symptomer,"per 1000, standardisert",164.6,1,8,10
Oslo (fylke),2024-01-01,Kjønn samlet,75-79 år,Psykiske lidelser,"per 1000, standardisert",76.0,1,8,10
Oslo (fylke),2024-01-01,Menn,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",154.4,2,1,10
Oslo (fylke),2024-01-01,Menn,0-74 år,Psykiske symptomer,"per 1000, standardisert",112.6,2,1,10
Oslo (fylke),2024-01-01,Menn,0-74 år,Psykiske lidelser,"per 1000, standardisert",69.5,2,1,10
Oslo (fylke),2024-01-01,Menn,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",145.6,2,2,10
Oslo (fylke),2024-01-01,Menn,0-44 år,Psykiske symptomer,"per 1000, standardisert",102.1,2,2,10
