Fylke,År,Kjønn,ALDER,Måltall,Andel,SortFylke
Hele landet,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.032,2
Oslo (fylke),2024-01-01,Kjønn samlet,0_17,andel (prosent),0.024,10
Østfold,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.045,16
Akershus,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.027000000000000003,4
Buskerud,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.035,5
Innlandet,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.042,7
Vestfold,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.033,14
Telemark,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.04,1
Agder,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.03,3
Rogaland,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.028999999999999998,11
Vestland,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.03,15
Møre og Romsdal,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.032,8
Trøndelag Trööndelage,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.037000000000000005,13
Nordland Nordlánnda,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.038,9
Troms Romsa Tromssa,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.033,12
Finnmark Finnmárku Finmarkku,2024-01-01,Kjønn samlet,0_17,andel (prosent),0.039,6
