Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2025-01-01,Kjønn samlet,25-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",3.2,1,7,2
Hele landet,2025-01-01,Kjønn samlet,25-44 år,KOLS (J44),"per 1000, standardisert",0.0,1,7,2
Hele landet,2025-01-01,Kjønn samlet,25-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",9.0,1,7,2
Hele landet,2025-01-01,Kjønn samlet,25-44 år,Personskader (S00-T78),"per 1000, standardisert",7.6,1,7,2
Hele landet,2025-01-01,Kjønn samlet,25-44 år,Hodeskader (S00-S09),"per 1000, standardisert",1.1,1,7,2
Hele landet,2025-01-01,Kjønn samlet,25-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.1,1,7,2
Hele landet,2025-01-01,Kjønn samlet,25-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,1,7,2
Hele landet,2025-01-01,Kjønn samlet,45-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",21.0,1,8,2
Hele landet,2025-01-01,Kjønn samlet,45-74 år,KOLS (J44),"per 1000, standardisert",1.6,1,8,2
Hele landet,2025-01-01,Kjønn samlet,45-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",24.4,1,8,2
Hele landet,2025-01-01,Kjønn samlet,45-74 år,Personskader (S00-T78),"per 1000, standardisert",12.5,1,8,2
Hele landet,2025-01-01,Kjønn samlet,45-74 år,Hodeskader (S00-S09),"per 1000, standardisert",1.9,1,8,2
Hele landet,2025-01-01,Kjønn samlet,45-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.0,1,8,2
Hele landet,2025-01-01,Kjønn samlet,45-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,1,8,2
Hele landet,2025-01-01,Kjønn samlet,45-64 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",14.4,1,9,2
Hele landet,2025-01-01,Kjønn samlet,45-64 år,KOLS (J44),"per 1000, standardisert",0.7,1,9,2
Hele landet,2025-01-01,Kjønn samlet,45-64 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",20.5,1,9,2
Hele landet,2025-01-01,Kjønn samlet,45-64 år,Personskader (S00-T78),"per 1000, standardisert",10.5,1,9,2
Hele landet,2025-01-01,Kjønn samlet,45-64 år,Hodeskader (S00-S09),"per 1000, standardisert",1.4,1,9,2
Hele landet,2025-01-01,Kjønn samlet,45-64 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.5,1,9,2
Hele landet,2025-01-01,Kjønn samlet,45-64 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,1,9,2
Hele landet,2025-01-01,Kjønn samlet,65-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",37.7,1,10,2
