Fylke,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortFylke
Hele landet,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.6,2
Oslo (fylke),2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.1,10
Østfold,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.0,16
Akershus,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",11.9,4
Buskerud,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.8,5
Innlandet,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.4,7
Vestfold,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.3,14
Telemark,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.0,1
Agder,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.8,3
Rogaland,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",11.8,11
Vestland,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.6,15
Møre og Romsdal,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.7,8
Trøndelag Trööndelage,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.1,13
Nordland Nordlánnda,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.9,9
Troms Romsa Tromssa,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.7,12
Finnmark Finnmárku Finmarkku,2023-2025,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.3,6
