Fylke,År (intervall),År,Kjønn,Alder,Dødsårsak,Måltall,Antall,SortFylke
Vestfold,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",181.5,14
Vestfold,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",42.9,14
Vestfold,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",215.4,14
Vestfold,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",88.8,14
Vestfold,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.0,14
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",839.9,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.6,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",222.0,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.2,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",206.1,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",93.6,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.9,1
Agder,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",796.5,3
Agder,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",12.5,3
Agder,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",183.8,3
Agder,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",46.7,3
Agder,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",215.7,3
Agder,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",94.3,3
Agder,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.0,3
Rogaland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",762.6,11
Rogaland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",9.5,11
Rogaland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",179.2,11
Rogaland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",39.1,11
Rogaland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",208.9,11
Rogaland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",81.3,11
Rogaland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",46.4,11
Vestland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",739.0,15
Vestland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",12.2,15
Vestland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",183.2,15
Vestland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",33.2,15
Vestland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",202.2,15
Vestland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",73.1,15
Vestland,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",45.3,15
Møre og Romsdal,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",748.6,8
Møre og Romsdal,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",12.3,8
Møre og Romsdal,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",200.2,8
Møre og Romsdal,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",31.3,8
Møre og Romsdal,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",197.4,8
