Kommunenummer,Kommune,Botid i Norge,År,Verdensregion,Antall
4001,Porsgrunn,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",1159.0
4028,Kviteseid,Alle,2025-01-01,Alle,305.0
4026,Tinn,0-4 år,2025-01-01,Alle,261.0
4024,Hjartdal,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",33.0
4036,Vinje,0-4 år,2025-01-01,Alle,265.0
4034,Tokke,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",26.0
4032,Fyresdal,10+ år,2025-01-01,Alle,64.0
4016,Drangedal,Alle,2025-01-01,Alle,500.0
4034,Tokke,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",147.0
4003,Skien,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",1121.0
4022,Seljord,10+ år,2025-01-01,Alle,145.0
4018,Nome,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",238.0
4005,Notodden,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",291.0
4024,Hjartdal,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",157.0
4010,Siljan,10+ år,2025-01-01,Alle,109.0
4020,Midt-Telemark,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",1006.0
4030,Nissedal,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",89.0
4005,Notodden,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",1194.0
4003,Skien,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",6214.0
4036,Vinje,Alle,2025-01-01,Alle,528.0
4026,Tinn,Alle,2025-01-01,Alle,801.0
4032,Fyresdal,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",6.0
4022,Seljord,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",43.0
4012,Bamble,10+ år,2025-01-01,Alle,784.0
4022,Seljord,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",147.0
4014,Kragerø,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",781.0
4001,Porsgrunn,10+ år,2025-01-01,Alle,3060.0
4020,Midt-Telemark,0-4 år,2025-01-01,Alle,714.0
4020,Midt-Telemark,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",389.0
4030,Nissedal,0-4 år,2025-01-01,Alle,91.0
4030,Nissedal,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",69.0
4030,Nissedal,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",12.0
4016,Drangedal,0-4 år,2025-01-01,Alle,178.0
4020,Midt-Telemark,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",392.0
4032,Fyresdal,Alle,2025-01-01,Alle,163.0
4022,Seljord,Alle,2025-01-01,Alle,383.0
4028,Kviteseid,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",121.0
4030,Nissedal,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",106.0
4020,Midt-Telemark,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",851.0
4001,Porsgrunn,Alle,2025-01-01,Alle,5289.0
4010,Siljan,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",51.0
4020,Midt-Telemark,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",325.0
4030,Nissedal,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",22.0
4003,Skien,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",414.0
4020,Midt-Telemark,10+ år,2025-01-01,Alle,780.0
4030,Nissedal,10+ år,2025-01-01,Alle,82.0
4028,Kviteseid,5-9 år,2025-01-01,Alle,26.0
4001,Porsgrunn,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",917.0
4036,Vinje,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",184.0
4026,Tinn,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",196.0
4016,Drangedal,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",201.0
4034,Tokke,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",19.0
4024,Hjartdal,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",5.0
4010,Siljan,0-4 år,2025-01-01,Alle,49.0
4012,Bamble,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",440.0
4030,Nissedal,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",8.0
4020,Midt-Telemark,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",225.0
4012,Bamble,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",510.0
4014,Kragerø,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",148.0
4018,Nome,5-9 år,2025-01-01,Alle,120.0
4026,Tinn,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",322.0
4036,Vinje,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",213.0
4014,Kragerø,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",94.0
4001,Porsgrunn,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",1750.0
4032,Fyresdal,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",93.0
4010,Siljan,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",22.0
4012,Bamble,Alle,2025-01-01,Alle,1455.0
4018,Nome,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",313.0
4010,Siljan,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",115.0
4010,Siljan,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",7.0
4005,Notodden,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",107.0
4005,Notodden,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",436.0
4034,Tokke,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",71.0
4024,Hjartdal,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",36.0
4003,Skien,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",1916.0
4026,Tinn,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",45.0
4014,Kragerø,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",287.0
4036,Vinje,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",19.0
4003,Skien,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",1090.0
4005,Notodden,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",440.0
4028,Kviteseid,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",16.0
4028,Kviteseid,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",128.0
4014,Kragerø,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",553.0
4024,Hjartdal,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",113.0
4034,Tokke,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",95.0
4003,Skien,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",2829.0
4034,Tokke,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",119.0
4024,Hjartdal,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",57.0
4024,Hjartdal,5-9 år,2025-01-01,Alle,38.0
4034,Tokke,5-9 år,2025-01-01,Alle,45.0
4014,Kragerø,10+ år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",385.0
4005,Notodden,10+ år,2025-01-01,Alle,899.0
4014,Kragerø,5-9 år,2025-01-01,Alle,242.0
4003,Skien,0-4 år,2025-01-01,Alle,1589.0
4014,Kragerø,10+ år,2025-01-01,Alle,731.0
4024,Hjartdal,0-4 år,2025-01-01,Alle,129.0
4034,Tokke,0-4 år,2025-01-01,Alle,124.0
4014,Kragerø,0-4 år,2025-01-01,Alle,361.0
4010,Siljan,0-4 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",42.0
4024,Hjartdal,10+ år,2025-01-01,Alle,47.0
4034,Tokke,10+ år,2025-01-01,Alle,97.0
4016,Drangedal,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",28.0
4018,Nome,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",80.0
4010,Siljan,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",73.0
4003,Skien,5-9 år,2025-01-01,Alle,1535.0
4018,Nome,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",513.0
4028,Kviteseid,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",10.0
4024,Hjartdal,Alle,2025-01-01,Alle,214.0
4005,Notodden,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",463.0
4034,Tokke,Alle,2025-01-01,Alle,266.0
4012,Bamble,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",107.0
4018,Nome,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",63.0
4032,Fyresdal,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",15.0
4022,Seljord,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",59.0
4003,Skien,10+ år,2025-01-01,Alle,5919.0
4001,Porsgrunn,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",3539.0
4022,Seljord,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",30.0
4032,Fyresdal,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",28.0
4022,Seljord,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",236.0
4032,Fyresdal,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",70.0
