Kommunenummer,Kommune,Botid i Norge,År,Verdensregion,Enhet,Antall
3816,Nome,10+ år,2024-01-01,Alle,Personer,499
3821,Kviteseid,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,49
3814,Kragerø,10+ år,2024-01-01,Alle,Personer,682
3819,Hjartdal,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,58
3821,Kviteseid,Alle,2024-01-01,Alle,Personer,290
3807,Skien,5-9 år,2024-01-01,Alle,Personer,1624
3820,Seljord,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,147
3822,Nissedal,0-4 år,2024-01-01,Alle,Personer,73
3819,Hjartdal,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,137
3808,Notodden,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,114
3812,Siljan,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,9
3821,Kviteseid,10+ år,2024-01-01,Alle,Personer,146
3823,Fyresdal,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,16
3825,Vinje,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,71
3812,Siljan,5-9 år,2024-01-01,Alle,Personer,33
3813,Bamble,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,75
3814,Kragerø,Alle,2024-01-01,Alle,Personer,1278
3821,Kviteseid,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,115
3812,Siljan,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,109
3820,Seljord,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,27
3807,Skien,10+ år,2024-01-01,Alle,Personer,5665
3820,Seljord,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,224
3823,Fyresdal,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,5
3806,Porsgrunn,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,258
3808,Notodden,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,1115
3815,Drangedal,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,193
3814,Kragerø,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,88
3815,Drangedal,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,72
3818,Tinn,5-9 år,2024-01-01,Alle,Personer,146
3813,Bamble,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,285
3818,Tinn,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,70
3825,Vinje,10+ år,2024-01-01,Alle,Personer,180
3807,Skien,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,2810
3820,Seljord,10+ år,2024-01-01,Alle,Personer,145
3806,Porsgrunn,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,728
3824,Tokke,Alle,2024-01-01,Alle,Personer,252
3806,Porsgrunn,5-9 år,2024-01-01,Alle,Personer,986
3813,Bamble,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,333
3813,Bamble,Alle,2024-01-01,Alle,Personer,1420
3815,Drangedal,5-9 år,2024-01-01,Alle,Personer,100
3817,Midt-Telemark,0-4 år,2024-01-01,Alle,Personer,662
3807,Skien,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,5967
3814,Kragerø,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,540
3806,Porsgrunn,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,1803
3825,Vinje,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,203
3823,Fyresdal,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,12
3818,Tinn,10+ år,2024-01-01,Alle,Personer,385
3812,Siljan,10+ år,2024-01-01,Alle,Personer,108
3816,Nome,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,64
3815,Drangedal,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,144
3807,Skien,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,500
3815,Drangedal,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,282
3808,Notodden,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,279
3821,Kviteseid,0-4 år,2024-01-01,Alle,Personer,110
3824,Tokke,0-4 år,2024-01-01,Alle,Personer,105
3819,Hjartdal,Alle,2024-01-01,Alle,Personer,195
3812,Siljan,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,74
3808,Notodden,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,424
3816,Nome,Alle,2024-01-01,Alle,Personer,899
3817,Midt-Telemark,10+ år,2024-01-01,Alle,Personer,691
3823,Fyresdal,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,45
3822,Nissedal,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,75
3816,Nome,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,484
3825,Vinje,5-9 år,2024-01-01,Alle,Personer,73
3825,Vinje,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,54
3806,Porsgrunn,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,1095
3814,Kragerø,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,170
3818,Tinn,Alle,2024-01-01,Alle,Personer,754
3819,Hjartdal,5-9 år,2024-01-01,Alle,Personer,49
3819,Hjartdal,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,15
3820,Seljord,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,56
3819,Hjartdal,0-4 år,2024-01-01,Alle,Personer,103
3817,Midt-Telemark,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,315
3824,Tokke,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,128
3818,Tinn,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,431
3808,Notodden,5-9 år,2024-01-01,Alle,Personer,393
3814,Kragerø,5-9 år,2024-01-01,Alle,Personer,259
3806,Porsgrunn,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,1004
3808,Notodden,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,417
3820,Seljord,5-9 år,2024-01-01,Alle,Personer,78
3818,Tinn,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,323
3825,Vinje,Alle,2024-01-01,Alle,Personer,502
3822,Nissedal,10+ år,2024-01-01,Alle,Personer,76
3817,Midt-Telemark,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,922
3824,Tokke,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,30
3825,Vinje,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,299
3823,Fyresdal,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,55
3807,Skien,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,1175
3816,Nome,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,415
3814,Kragerø,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,738
3813,Bamble,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,410
3816,Nome,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,83
3816,Nome,5-9 år,2024-01-01,Alle,Personer,126
3817,Midt-Telemark,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,798
3822,Nissedal,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,104
3821,Kviteseid,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,175
3824,Tokke,10+ år,2024-01-01,Alle,Personer,106
3822,Nissedal,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,19
3821,Kviteseid,5-9 år,2024-01-01,Alle,Personer,34
3813,Bamble,0-4 år,2024-01-01,Alle,Personer,378
3819,Hjartdal,10+ år,2024-01-01,Alle,Personer,43
