År,Kommune,"Anmodning, vedtak og faktisk bosetting",Antall
2020-01-01,Fyresdal,Opprinnelig anmodning,:
2020-01-01,Tokke,Opprinnelig anmodning,:
2020-01-01,Vinje,Opprinnelig anmodning,12
2020-01-01,Porsgrunn,Faktisk bosetting,26
2020-01-01,Skien,Faktisk bosetting,27
2020-01-01,Notodden,Faktisk bosetting,13
2020-01-01,Siljan,Faktisk bosetting,:
2020-01-01,Bamble,Faktisk bosetting,12
2020-01-01,Kragerø,Faktisk bosetting,10
2020-01-01,Drangedal,Faktisk bosetting,7
2020-01-01,Nome,Faktisk bosetting,7
2020-01-01,Midt-Telemark,Faktisk bosetting,14
2020-01-01,Tinn,Faktisk bosetting,8
2020-01-01,Hjartdal,Faktisk bosetting,:
2020-01-01,Seljord,Faktisk bosetting,11
2020-01-01,Kviteseid,Faktisk bosetting,:
2020-01-01,Nissedal,Faktisk bosetting,:
2020-01-01,Fyresdal,Faktisk bosetting,:
2020-01-01,Tokke,Faktisk bosetting,:
2020-01-01,Vinje,Faktisk bosetting,10
2020-01-01,Porsgrunn,Vedtak om bosetting,30
2020-01-01,Skien,Vedtak om bosetting,40
2020-01-01,Notodden,Vedtak om bosetting,16
2020-01-01,Siljan,Vedtak om bosetting,:
2020-01-01,Bamble,Vedtak om bosetting,18
2020-01-01,Kragerø,Vedtak om bosetting,17
2020-01-01,Drangedal,Vedtak om bosetting,10
2020-01-01,Nome,Vedtak om bosetting,10
2020-01-01,Midt-Telemark,Vedtak om bosetting,20
2020-01-01,Tinn,Vedtak om bosetting,:
2020-01-01,Hjartdal,Vedtak om bosetting,:
2020-01-01,Seljord,Vedtak om bosetting,12
2020-01-01,Kviteseid,Vedtak om bosetting,:
2020-01-01,Nissedal,Vedtak om bosetting,:
2020-01-01,Fyresdal,Vedtak om bosetting,:
2020-01-01,Tokke,Vedtak om bosetting,:
2020-01-01,Vinje,Vedtak om bosetting,12
2024-01-01,Porsgrunn,Anmodning om bosetting,110
2024-01-01,Fyresdal,Anmodning om bosetting,30
2024-01-01,Midt-Telemark,Anmodning om bosetting,75
2024-01-01,Bamble,Anmodning om bosetting,100
2024-01-01,Drangedal,Anmodning om bosetting,55
2024-01-01,Tinn,Anmodning om bosetting,35
2024-01-01,Nome,Anmodning om bosetting,60
2022-01-01,Porsgrunn,Anmodning om bosetting,130
2022-01-01,Skien,Anmodning om bosetting,180
2022-01-01,Notodden,Anmodning om bosetting,100
2022-01-01,Siljan,Anmodning om bosetting,15
2022-01-01,Bamble,Anmodning om bosetting,75
2022-01-01,Kragerø,Anmodning om bosetting,85
2022-01-01,Drangedal,Anmodning om bosetting,55
2022-01-01,Nome,Anmodning om bosetting,55
2022-01-01,Midt-Telemark,Anmodning om bosetting,100
2022-01-01,Tinn,Anmodning om bosetting,55
2022-01-01,Hjartdal,Anmodning om bosetting,40
2022-01-01,Seljord,Anmodning om bosetting,70
2022-01-01,Kviteseid,Anmodning om bosetting,25
2022-01-01,Nissedal,Anmodning om bosetting,30
2022-01-01,Fyresdal,Anmodning om bosetting,25
2022-01-01,Tokke,Anmodning om bosetting,55
2022-01-01,Vinje,Anmodning om bosetting,65
2022-01-01,Porsgrunn,Opprinnelig anmodning,24
2022-01-01,Skien,Opprinnelig anmodning,28
2022-01-01,Notodden,Opprinnelig anmodning,18
2022-01-01,Siljan,Opprinnelig anmodning,0
2022-01-01,Bamble,Opprinnelig anmodning,14
2022-01-01,Kragerø,Opprinnelig anmodning,15
2022-01-01,Drangedal,Opprinnelig anmodning,10
2022-01-01,Nome,Opprinnelig anmodning,10
2022-01-01,Midt-Telemark,Opprinnelig anmodning,18
2022-01-01,Tinn,Opprinnelig anmodning,10
2022-01-01,Hjartdal,Opprinnelig anmodning,0
2022-01-01,Seljord,Opprinnelig anmodning,13
2022-01-01,Kviteseid,Opprinnelig anmodning,0
2022-01-01,Nissedal,Opprinnelig anmodning,0
2022-01-01,Fyresdal,Opprinnelig anmodning,0
2022-01-01,Tokke,Opprinnelig anmodning,10
2022-01-01,Vinje,Opprinnelig anmodning,12
2022-01-01,Porsgrunn,Faktisk bosetting,122
2022-01-01,Skien,Faktisk bosetting,181
2022-01-01,Notodden,Faktisk bosetting,100
2022-01-01,Siljan,Faktisk bosetting,15
2022-01-01,Bamble,Faktisk bosetting,77
2022-01-01,Kragerø,Faktisk bosetting,81
2022-01-01,Drangedal,Faktisk bosetting,55
2022-01-01,Nome,Faktisk bosetting,55
2022-01-01,Midt-Telemark,Faktisk bosetting,98
2022-01-01,Tinn,Faktisk bosetting,54
2022-01-01,Hjartdal,Faktisk bosetting,38
2022-01-01,Seljord,Faktisk bosetting,53
2022-01-01,Kviteseid,Faktisk bosetting,23
2022-01-01,Nissedal,Faktisk bosetting,29
2022-01-01,Fyresdal,Faktisk bosetting,26
2022-01-01,Tokke,Faktisk bosetting,52
2022-01-01,Vinje,Faktisk bosetting,62
2022-01-01,Porsgrunn,Vedtak om bosetting,130
2022-01-01,Skien,Vedtak om bosetting,180
2022-01-01,Notodden,Vedtak om bosetting,100
2022-01-01,Siljan,Vedtak om bosetting,15
2022-01-01,Bamble,Vedtak om bosetting,100
2022-01-01,Kragerø,Vedtak om bosetting,85
2022-01-01,Drangedal,Vedtak om bosetting,55
2022-01-01,Nome,Vedtak om bosetting,55
2022-01-01,Midt-Telemark,Vedtak om bosetting,100
2022-01-01,Tinn,Vedtak om bosetting,55
2022-01-01,Hjartdal,Vedtak om bosetting,40
2022-01-01,Seljord,Vedtak om bosetting,70
2022-01-01,Kviteseid,Vedtak om bosetting,25
2022-01-01,Nissedal,Vedtak om bosetting,30
2022-01-01,Fyresdal,Vedtak om bosetting,25
2022-01-01,Tokke,Vedtak om bosetting,55
2022-01-01,Vinje,Vedtak om bosetting,65
2024-01-01,Notodden,Anmodning om bosetting,85
2024-01-01,Kragerø,Anmodning om bosetting,90
2024-01-01,Siljan,Anmodning om bosetting,30
2024-01-01,Seljord,Anmodning om bosetting,45
2024-01-01,Vinje,Anmodning om bosetting,55
2024-01-01,Skien,Anmodning om bosetting,145
2024-01-01,Hjartdal,Anmodning om bosetting,55
2024-01-01,Kviteseid,Anmodning om bosetting,30
2024-01-01,Nissedal,Anmodning om bosetting,30
2024-01-01,Tokke,Anmodning om bosetting,40
2024-01-01,Bamble,Faktisk bosetting,35
2024-01-01,Porsgrunn,Faktisk bosetting,70
2024-01-01,Fyresdal,Faktisk bosetting,8
2024-01-01,Notodden,Faktisk bosetting,55
2024-01-01,Seljord,Faktisk bosetting,22
2024-01-01,Drangedal,Faktisk bosetting,21
2024-01-01,Hjartdal,Faktisk bosetting,15
2024-01-01,Kragerø,Faktisk bosetting,39
