Dekning for fast bredbånd på kommunenivå;;;;;;;;;;;;;;;;;;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobildekning (4G og 5G) er ikke inkludert i disse tabellene;;Teknologidekning;;;;;;;;Hastighet - alle teknologier på fast bredbånd;;;;;Hastighet uten DSL;;;;;Hastighet i kablede nett;;;;;Hastighet for FTB;
Kommune;Fylke;Fiber;Kabel-TV-nett;DSL;FTB;Fiber + kabel-TV-nett;Fiber + kabel-TV-nett + DSL;Fiber + kabel-TV-nett + FTB;Fast bredbånd totalt;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100
TVEDESTRAND;AGDER;90,1 %;18,0 %;91,5 %;74,3 %;93,7 %;98,7 %;99,2 %;99,9 %;98,1 %;93,7 %;93,7 %;90,1 %;;98,0 %;93,7 %;93,7 %;90,1 %;;94 %;93,7 %;93,7 %;90,1 %;;69 %;0,0 %
VALLE;AGDER;74,8 %;0,0 %;81,1 %;99,6 %;74,8 %;97,0 %;99,8 %;100,0 %;98,8 %;74,8 %;74,8 %;74,8 %;;98,2 %;74,8 %;74,8 %;74,8 %;;81 %;74,8 %;74,8 %;74,8 %;;90 %;0,0 %
VEGÅRSHEI;AGDER;91,5 %;0,2 %;74,8 %;89,9 %;91,5 %;95,8 %;99,3 %;99,4 %;96,9 %;91,5 %;91,5 %;91,5 %;;96,9 %;91,5 %;91,5 %;91,5 %;;93 %;91,5 %;91,5 %;91,5 %;;9 %;0,0 %
VENNESLA;AGDER;95,8 %;0,1 %;88,7 %;56,0 %;95,8 %;99,0 %;99,5 %;99,7 %;98,9 %;95,8 %;95,8 %;95,8 %;;98,8 %;95,8 %;95,8 %;95,8 %;;97 %;95,8 %;95,8 %;95,8 %;;50 %;0,0 %
ÅMLI;AGDER;74,8 %;0,0 %;64,1 %;67,5 %;74,8 %;84,7 %;94,8 %;97,3 %;84,0 %;74,8 %;74,8 %;74,8 %;;82,8 %;74,8 %;74,8 %;74,8 %;;76 %;74,8 %;74,8 %;74,8 %;;31 %;0,0 %
ÅSERAL;AGDER;84,1 %;0,0 %;43,4 %;94,6 %;84,1 %;87,1 %;99,5 %;99,7 %;95,1 %;84,1 %;84,1 %;84,1 %;;94,9 %;84,1 %;84,1 %;84,1 %;;85 %;84,1 %;84,1 %;84,1 %;;70 %;0,0 %
ALVDAL;INNLANDET;93,6 %;0,0 %;83,1 %;98,2 %;93,6 %;98,8 %;100,0 %;100,0 %;99,1 %;93,6 %;93,6 %;93,6 %;;99,1 %;93,6 %;93,6 %;93,6 %;;95 %;93,6 %;93,6 %;93,6 %;;86 %;0,0 %
DOVRE;INNLANDET;74,3 %;0,0 %;89,1 %;61,1 %;74,3 %;96,5 %;91,2 %;98,7 %;91,6 %;74,3 %;74,3 %;74,3 %;;90,2 %;74,3 %;74,3 %;74,3 %;;84 %;74,3 %;74,3 %;74,3 %;;57 %;0,0 %
EIDSKOG;INNLANDET;79,7 %;0,0 %;90,7 %;85,3 %;79,7 %;94,4 %;96,8 %;99,0 %;93,9 %;82,0 %;79,7 %;79,7 %;;93,0 %;82,0 %;79,7 %;79,7 %;;81 %;79,7 %;79,7 %;79,7 %;;73 %;15,4 %
ELVERUM;INNLANDET;83,6 %;57,9 %;91,0 %;80,7 %;94,7 %;98,6 %;99,5 %;100,0 %;98,8 %;95,4 %;94,7 %;83,6 %;;98,8 %;95,4 %;94,7 %;83,6 %;;95 %;94,7 %;94,7 %;83,6 %;;77 %;14,2 %
ENGERDAL;INNLANDET;72,6 %;0,0 %;46,7 %;59,2 %;72,6 %;73,9 %;95,8 %;96,5 %;86,5 %;72,6 %;72,6 %;72,6 %;;86,3 %;72,6 %;72,6 %;72,6 %;;73 %;72,6 %;72,6 %;72,6 %;;14 %;0,0 %
ETNEDAL;INNLANDET;84,6 %;0,0 %;52,3 %;97,2 %;84,6 %;88,4 %;98,6 %;98,9 %;96,7 %;84,6 %;84,6 %;84,6 %;;96,7 %;84,6 %;84,6 %;84,6 %;;85 %;84,6 %;84,6 %;84,6 %;;89 %;0,0 %
FOLLDAL;INNLANDET;88,5 %;0,0 %;88,2 %;98,6 %;88,5 %;97,3 %;99,6 %;99,7 %;98,6 %;91,9 %;88,5 %;88,5 %;;98,2 %;91,9 %;88,5 %;88,5 %;;89 %;88,5 %;88,5 %;88,5 %;;91 %;70,6 %
GAUSDAL;INNLANDET;52,7 %;0,5 %;76,9 %;42,6 %;52,8 %;83,8 %;85,2 %;97,6 %;79,1 %;52,8 %;52,7 %;52,7 %;;78,3 %;52,8 %;52,7 %;52,7 %;;55 %;52,8 %;52,7 %;52,7 %;;35 %;0,0 %
GJØVIK;INNLANDET;82,6 %;51,5 %;94,3 %;77,0 %;98,2 %;99,8 %;99,8 %;100,0 %;99,7 %;98,3 %;98,2 %;82,6 %;;99,7 %;98,3 %;98,2 %;82,6 %;;99 %;98,2 %;98,2 %;82,6 %;;75 %;0,0 %
GRAN;INNLANDET;74,3 %;0,0 %;94,2 %;67,7 %;74,3 %;98,3 %;91,9 %;99,7 %;92,4 %;74,3 %;74,3 %;74,3 %;;91,3 %;74,3 %;74,3 %;74,3 %;;79 %;74,3 %;74,3 %;74,3 %;;67 %;0,0 %
GRUE;INNLANDET;82,2 %;22,5 %;90,9 %;53,3 %;85,1 %;95,6 %;98,7 %;99,8 %;96,5 %;86,3 %;82,2 %;82,2 %;;94,2 %;86,3 %;82,2 %;82,2 %;;90 %;85,1 %;82,2 %;82,2 %;;48 %;28,4 %
HAMAR;INNLANDET;71,6 %;70,7 %;94,3 %;87,9 %;94,7 %;99,5 %;99,9 %;100,0 %;98,8 %;96,1 %;94,7 %;71,6 %;;98,8 %;96,1 %;94,7 %;71,6 %;;95 %;94,7 %;94,7 %;71,6 %;;85 %;53,3 %
KONGSVINGER;INNLANDET;50,7 %;58,5 %;91,6 %;72,5 %;82,9 %;95,5 %;96,6 %;99,1 %;94,4 %;85,4 %;82,9 %;50,7 %;;94,0 %;85,4 %;82,9 %;50,7 %;;85 %;82,9 %;82,9 %;50,7 %;;69 %;23,5 %
LESJA;INNLANDET;41,4 %;0,0 %;63,9 %;77,7 %;41,4 %;73,4 %;89,6 %;90,0 %;86,6 %;41,4 %;41,4 %;41,4 %;;86,6 %;41,4 %;41,4 %;41,4 %;;46 %;41,4 %;41,4 %;41,4 %;;73 %;0,0 %
LILLEHAMMER;INNLANDET;75,7 %;63,5 %;90,7 %;89,3 %;91,8 %;99,2 %;99,1 %;99,9 %;98,3 %;94,6 %;91,8 %;75,7 %;;98,1 %;94,6 %;91,8 %;75,7 %;;94 %;91,8 %;91,8 %;75,7 %;;88 %;51,8 %
LOM;INNLANDET;94,4 %;0,0 %;74,2 %;68,6 %;94,4 %;98,6 %;98,4 %;99,8 %;99,3 %;94,5 %;94,4 %;94,4 %;;98,0 %;94,5 %;94,4 %;94,4 %;;96 %;94,4 %;94,4 %;94,4 %;;44 %;0,0 %
LØTEN;INNLANDET;69,5 %;31,0 %;92,5 %;71,4 %;74,0 %;97,4 %;97,5 %;99,8 %;92,1 %;77,3 %;74,0 %;69,5 %;;91,2 %;77,3 %;74,0 %;69,5 %;;76 %;74,0 %;74,0 %;69,5 %;;59 %;17,4 %
