Dekning for fast bredbånd på kommunenivå;;;;;;;;;;;;;;;;;;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobildekning (4G og 5G) er ikke inkludert i disse tabellene;;Teknologidekning;;;;;;;;Hastighet - alle teknologier på fast bredbånd;;;;;Hastighet uten DSL;;;;;Hastighet i kablede nett;;;;;Hastighet for FTB;
Kommune;Fylke;Fiber;Kabel-TV-nett;DSL;FTB;Fiber + kabel-TV-nett;Fiber + kabel-TV-nett + DSL;Fiber + kabel-TV-nett + FTB;Fast bredbånd totalt;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100
KRISTIANSUND;MØRE OG ROMSDAL;88,0 %;14,4 %;96,4 %;99,2 %;91,9 %;99,8 %;100,0 %;100,0 %;99,7 %;91,9 %;88,1 %;88,0 %;;99,7 %;91,9 %;88,1 %;88,0 %;;94 %;91,9 %;88,1 %;88,0 %;;96 %;0,0 %
MOLDE;MØRE OG ROMSDAL;84,0 %;44,6 %;87,0 %;84,3 %;94,2 %;97,9 %;99,7 %;99,9 %;99,3 %;94,2 %;94,2 %;84,0 %;;99,2 %;94,2 %;94,2 %;84,0 %;;95 %;94,2 %;94,2 %;84,0 %;;78 %;0,0 %
RAUMA;MØRE OG ROMSDAL;89,6 %;31,3 %;89,0 %;67,6 %;90,5 %;98,3 %;99,5 %;99,8 %;97,9 %;90,5 %;90,5 %;89,6 %;;97,8 %;90,5 %;90,5 %;89,6 %;;92 %;90,5 %;90,5 %;89,6 %;;60 %;0,0 %
SANDE;MØRE OG ROMSDAL;89,5 %;0,0 %;70,1 %;99,7 %;89,5 %;95,9 %;100,0 %;100,0 %;99,3 %;89,5 %;89,5 %;89,5 %;;99,2 %;89,5 %;89,5 %;89,5 %;;91 %;89,5 %;89,5 %;89,5 %;;93 %;0,0 %
SMØLA;MØRE OG ROMSDAL;93,9 %;0,0 %;72,1 %;97,8 %;93,9 %;97,4 %;99,8 %;99,9 %;97,9 %;93,9 %;93,9 %;93,9 %;;97,8 %;93,9 %;93,9 %;93,9 %;;95 %;93,9 %;93,9 %;93,9 %;;79 %;0,0 %
STRANDA;MØRE OG ROMSDAL;93,6 %;0,0 %;63,9 %;90,0 %;93,6 %;98,6 %;98,5 %;99,8 %;99,3 %;93,6 %;93,6 %;93,6 %;;98,3 %;93,6 %;93,6 %;93,6 %;;98 %;93,6 %;93,6 %;93,6 %;;87 %;0,0 %
SULA;MØRE OG ROMSDAL;99,0 %;0,0 %;91,8 %;100,0 %;99,0 %;99,9 %;100,0 %;100,0 %;100,0 %;99,0 %;99,0 %;99,0 %;;100,0 %;99,0 %;99,0 %;99,0 %;;99 %;99,0 %;99,0 %;99,0 %;;100 %;0,2 %
SUNNDAL;MØRE OG ROMSDAL;90,5 %;33,5 %;87,4 %;99,5 %;96,6 %;98,3 %;99,8 %;100,0 %;99,7 %;96,6 %;91,3 %;90,5 %;;99,7 %;96,6 %;91,3 %;90,5 %;;97 %;96,6 %;91,3 %;90,5 %;;97 %;0,0 %
SURNADAL;MØRE OG ROMSDAL;74,7 %;4,1 %;72,0 %;98,0 %;75,4 %;87,7 %;99,1 %;99,7 %;97,5 %;75,4 %;74,7 %;74,7 %;;97,4 %;75,4 %;74,7 %;74,7 %;;76 %;75,4 %;74,7 %;74,7 %;;87 %;0,0 %
SYKKYLVEN;MØRE OG ROMSDAL;99,5 %;0,0 %;95,0 %;92,7 %;99,5 %;100,0 %;99,9 %;100,0 %;100,0 %;99,5 %;99,5 %;99,5 %;;99,9 %;99,5 %;99,5 %;99,5 %;;100 %;99,5 %;99,5 %;99,5 %;;88 %;0,4 %
TINGVOLL;MØRE OG ROMSDAL;83,3 %;0,0 %;72,7 %;77,8 %;83,3 %;93,5 %;99,0 %;99,7 %;95,2 %;83,3 %;83,3 %;83,3 %;;94,9 %;83,3 %;83,3 %;83,3 %;;84 %;83,3 %;83,3 %;83,3 %;;63 %;0,0 %
ULSTEIN;MØRE OG ROMSDAL;97,7 %;0,0 %;91,8 %;99,7 %;97,7 %;99,5 %;100,0 %;100,0 %;99,9 %;97,7 %;97,7 %;97,7 %;;99,9 %;97,7 %;97,7 %;97,7 %;;98 %;97,7 %;97,7 %;97,7 %;;99 %;0,0 %
VANYLVEN;MØRE OG ROMSDAL;93,2 %;0,0 %;53,3 %;56,2 %;93,2 %;96,6 %;99,9 %;99,9 %;99,4 %;93,2 %;93,2 %;93,2 %;;99,4 %;93,2 %;93,2 %;93,2 %;;95 %;93,2 %;93,2 %;93,2 %;;36 %;0,0 %
VESTNES;MØRE OG ROMSDAL;94,3 %;18,2 %;78,8 %;96,6 %;95,3 %;98,9 %;99,8 %;99,9 %;99,2 %;95,3 %;95,3 %;94,3 %;;99,2 %;95,3 %;95,3 %;94,3 %;;96 %;95,3 %;95,3 %;94,3 %;;93 %;0,0 %
VOLDA;MØRE OG ROMSDAL;87,0 %;18,6 %;87,2 %;66,6 %;87,8 %;94,3 %;98,1 %;99,8 %;95,5 %;87,8 %;87,8 %;87,0 %;;94,7 %;87,8 %;87,8 %;87,0 %;;90 %;87,8 %;87,8 %;87,0 %;;61 %;0,0 %
ÅLESUND;MØRE OG ROMSDAL;96,4 %;25,1 %;90,4 %;91,6 %;97,6 %;99,8 %;100,0 %;100,0 %;99,9 %;98,4 %;97,6 %;96,4 %;;99,9 %;98,4 %;97,6 %;96,4 %;;99 %;97,6 %;97,6 %;96,4 %;;90 %;14,8 %
ØRSTA;MØRE OG ROMSDAL;91,0 %;28,9 %;76,6 %;75,5 %;91,7 %;95,3 %;99,4 %;99,6 %;98,7 %;91,7 %;91,7 %;91,0 %;;98,7 %;91,7 %;91,7 %;91,0 %;;93 %;91,7 %;91,7 %;91,0 %;;73 %;0,0 %
ALSTAHAUG;NORDLAND;85,5 %;50,4 %;95,8 %;96,7 %;87,8 %;98,9 %;99,3 %;99,9 %;97,9 %;87,8 %;85,5 %;85,5 %;;97,3 %;87,8 %;85,5 %;85,5 %;;90 %;87,8 %;85,5 %;85,5 %;;95 %;0,0 %
ANDØY;NORDLAND;66,9 %;1,0 %;84,2 %;96,4 %;66,9 %;85,1 %;96,4 %;98,5 %;96,7 %;67,5 %;66,9 %;66,9 %;;96,6 %;67,5 %;66,9 %;66,9 %;;71 %;66,9 %;66,9 %;66,9 %;;92 %;0,0 %
BEIARN;NORDLAND;85,3 %;0,0 %;88,4 %;34,4 %;85,3 %;95,9 %;93,0 %;97,9 %;90,1 %;85,3 %;85,3 %;85,3 %;;88,8 %;85,3 %;85,3 %;85,3 %;;87 %;85,3 %;85,3 %;85,3 %;;5 %;0,0 %
BINDAL;NORDLAND;56,5 %;0,0 %;94,4 %;91,1 %;56,5 %;95,3 %;95,4 %;99,1 %;87,8 %;56,5 %;56,5 %;56,5 %;;83,7 %;56,5 %;56,5 %;56,5 %;;65 %;56,5 %;56,5 %;56,5 %;;78 %;0,0 %
BODØ;NORDLAND;87,9 %;63,6 %;93,5 %;77,2 %;94,9 %;99,2 %;99,5 %;99,9 %;98,7 %;95,0 %;94,9 %;87,9 %;;98,6 %;95,0 %;94,9 %;87,9 %;;96 %;94,9 %;94,9 %;87,9 %;;75 %;12,4 %
BRØNNØY;NORDLAND;73,4 %;39,6 %;97,0 %;94,7 %;76,9 %;98,2 %;97,7 %;99,9 %;93,5 %;76,9 %;73,4 %;73,4 %;;92,4 %;76,9 %;73,4 %;73,4 %;;81 %;76,9 %;73,4 %;73,4 %;;88 %;0,0 %
BØ;NORDLAND;85,2 %;0,0 %;77,3 %;98,9 %;85,2 %;92,7 %;99,3 %;99,5 %;96,3 %;85,2 %;85,2 %;85,2 %;;96,3 %;85,2 %;85,2 %;85,2 %;;86 %;85,2 %;85,2 %;85,2 %;;91 %;0,0 %
DØNNA;NORDLAND;38,3 %;0,0 %;89,2 %;57,5 %;38,3 %;94,0 %;93,4 %;98,6 %;83,5 %;38,3 %;38,3 %;38,3 %;;81,2 %;38,3 %;38,3 %;38,3 %;;43 %;38,3 %;38,3 %;38,3 %;;45 %;0,0 %
EVENES;NORDLAND;93,9 %;0,0 %;90,0 %;42,4 %;93,9 %;98,5 %;100,0 %;100,0 %;99,7 %;93,9 %;93,9 %;93,9 %;;99,7 %;93,9 %;93,9 %;93,9 %;;96 %;93,9 %;93,9 %;93,9 %;;27 %;0,0 %
FAUSKE;NORDLAND;83,3 %;0,0 %;88,7 %;84,9 %;83,3 %;98,8 %;94,1 %;99,5 %;92,5 %;83,4 %;83,3 %;83,3 %;;91,8 %;83,4 %;83,3 %;83,3 %;;85 %;83,3 %;83,3 %;83,3 %;;81 %;0,0 %
FLAKSTAD;NORDLAND;96,2 %;0,0 %;93,8 %;99,3 %;96,2 %;99,0 %;99,8 %;99,8 %;98,6 %;96,2 %;96,2 %;96,2 %;;98,1 %;96,2 %;96,2 %;96,2 %;;97 %;96,2 %;96,2 %;96,2 %;;89 %;0,0 %
GILDESKÅL;NORDLAND;45,5 %;0,0 %;76,9 %;79,2 %;45,5 %;86,6 %;81,3 %;96,5 %;76,9 %;45,7 %;45,5 %;45,5 %;;74,7 %;45,7 %;45,5 %;45,5 %;;57 %;45,5 %;45,5 %;45,5 %;;63 %;0,0 %
GRANE;NORDLAND;57,2 %;0,1 %;47,9 %;91,4 %;57,4 %;66,4 %;91,4 %;92,6 %;85,1 %;57,4 %;57,4 %;57,2 %;;85,1 %;57,4 %;57,4 %;57,2 %;;59 %;57,4 %;57,4 %;57,2 %;;84 %;0,0 %
HADSEL;NORDLAND;87,9 %;0,0 %;82,4 %;99,3 %;87,9 %;94,2 %;99,6 %;99,8 %;98,4 %;87,9 %;87,9 %;87,9 %;;98,4 %;87,9 %;87,9 %;87,9 %;;88 %;87,9 %;87,9 %;87,9 %;;96 %;0,0 %
HAMARØY;NORDLAND;71,2 %;0,2 %;87,2 %;91,9 %;71,2 %;92,5 %;95,8 %;98,2 %;92,8 %;71,2 %;71,2 %;71,2 %;;91,8 %;71,2 %;71,2 %;71,2 %;;74 %;71,2 %;71,2 %;71,2 %;;79 %;0,0 %
HATTFJELLDAL;NORDLAND;31,1 %;0,0 %;58,4 %;89,5 %;31,1 %;62,9 %;89,7 %;91,8 %;71,5 %;31,1 %;31,1 %;31,1 %;;71,1 %;31,1 %;31,1 %;31,1 %;;36 %;31,1 %;31,1 %;31,1 %;;71 %;0,0 %
HEMNES;NORDLAND;71,2 %;0,0 %;77,4 %;74,4 %;71,2 %;87,9 %;97,8 %;98,3 %;91,6 %;71,2 %;71,2 %;71,2 %;;91,1 %;71,2 %;71,2 %;71,2 %;;74 %;71,2 %;71,2 %;71,2 %;;65 %;0,0 %
HERØY;NORDLAND;78,8 %;0,0 %;94,7 %;79,5 %;78,8 %;97,7 %;97,0 %;99,8 %;92,8 %;78,8 %;78,8 %;78,8 %;;92,7 %;78,8 %;78,8 %;78,8 %;;81 %;78,8 %;78,8 %;78,8 %;;68 %;0,0 %
LEIRFJORD;NORDLAND;44,6 %;0,0 %;89,0 %;68,5 %;44,6 %;93,5 %;93,2 %;99,5 %;87,0 %;44,6 %;44,6 %;44,6 %;;82,4 %;44,6 %;44,6 %;44,6 %;;57 %;44,6 %;44,6 %;44,6 %;;53 %;0,0 %
LURØY;NORDLAND;70,1 %;0,1 %;92,2 %;90,0 %;70,1 %;96,2 %;92,8 %;99,7 %;91,7 %;70,1 %;70,1 %;70,1 %;;86,7 %;70,1 %;70,1 %;70,1 %;;79 %;70,1 %;70,1 %;70,1 %;;78 %;0,0 %
LØDINGEN;NORDLAND;80,2 %;0,0 %;90,5 %;98,0 %;80,2 %;95,5 %;98,4 %;99,6 %;92,9 %;80,2 %;80,2 %;80,2 %;;92,6 %;80,2 %;80,2 %;80,2 %;;83 %;80,2 %;80,2 %;80,2 %;;90 %;0,0 %
MELØY;NORDLAND;90,5 %;0,0 %;94,0 %;86,1 %;90,5 %;98,6 %;97,8 %;99,7 %;95,7 %;90,5 %;90,5 %;90,5 %;;95,6 %;90,5 %;90,5 %;90,5 %;;92 %;90,5 %;90,5 %;90,5 %;;78 %;0,0 %
MOSKENES;NORDLAND;97,0 %;0,0 %;97,0 %;100,0 %;97,0 %;99,6 %;100,0 %;100,0 %;100,0 %;97,0 %;97,0 %;97,0 %;;100,0 %;97,0 %;97,0 %;97,0 %;;98 %;97,0 %;97,0 %;97,0 %;;100 %;0,0 %
NARVIK;NORDLAND;87,2 %;52,9 %;92,9 %;92,2 %;88,4 %;95,1 %;97,9 %;99,6 %;97,6 %;88,4 %;88,4 %;87,2 %;;97,4 %;88,4 %;88,4 %;87,2 %;;89 %;88,4 %;88,4 %;87,2 %;;86 %;0,0 %
NESNA;NORDLAND;97,0 %;0,0 %;99,2 %;100,0 %;97,0 %;99,8 %;100,0 %;100,0 %;100,0 %;97,0 %;97,0 %;97,0 %;;100,0 %;97,0 %;97,0 %;97,0 %;;98 %;97,0 %;97,0 %;97,0 %;;100 %;0,0 %
RANA;NORDLAND;84,3 %;57,4 %;96,7 %;68,9 %;86,1 %;98,2 %;97,3 %;99,5 %;95,1 %;86,1 %;86,1 %;84,3 %;;94,4 %;86,1 %;86,1 %;84,3 %;;89 %;86,1 %;86,1 %;84,3 %;;65 %;0,0 %
RØDØY;NORDLAND;67,8 %;0,0 %;58,7 %;79,8 %;67,8 %;79,4 %;97,1 %;97,6 %;88,4 %;67,8 %;67,8 %;67,8 %;;87,8 %;67,8 %;67,8 %;67,8 %;;72 %;67,8 %;67,8 %;67,8 %;;45 %;0,0 %
RØST;NORDLAND;100,0 %;0,0 %;97,1 %;74,3 %;100,0 %;100,0 %;100,0 %;100,0 %;100,0 %;100,0 %;100,0 %;100,0 %;;100,0 %;100,0 %;100,0 %;100,0 %;;100 %;100,0 %;100,0 %;100,0 %;;65 %;0,0 %
SALTDAL;NORDLAND;88,5 %;0,0 %;91,5 %;97,3 %;88,5 %;97,8 %;97,5 %;99,8 %;95,6 %;88,5 %;88,5 %;88,5 %;;95,3 %;88,5 %;88,5 %;88,5 %;;89 %;88,5 %;88,5 %;88,5 %;;83 %;0,0 %
SORTLAND;NORDLAND;87,4 %;0,0 %;90,4 %;98,5 %;87,4 %;97,9 %;99,1 %;99,6 %;98,4 %;87,4 %;87,4 %;87,4 %;;98,1 %;87,4 %;87,4 %;87,4 %;;92 %;87,4 %;87,4 %;87,4 %;;95 %;0,0 %
STEIGEN;NORDLAND;60,1 %;0,0 %;85,9 %;95,1 %;60,1 %;91,7 %;96,7 %;99,7 %;88,3 %;60,1 %;60,1 %;60,1 %;;86,4 %;60,1 %;60,1 %;60,1 %;;63 %;60,1 %;60,1 %;60,1 %;;56 %;0,0 %
SØMNA;NORDLAND;91,9 %;0,0 %;91,0 %;97,3 %;91,9 %;98,7 %;99,4 %;99,9 %;98,1 %;91,9 %;91,9 %;91,9 %;;98,1 %;91,9 %;91,9 %;91,9 %;;93 %;91,9 %;91,9 %;91,9 %;;86 %;0,0 %
SØRFOLD;NORDLAND;57,1 %;0,0 %;91,3 %;68,2 %;57,1 %;96,0 %;92,6 %;99,3 %;90,1 %;57,1 %;57,1 %;57,1 %;;89,3 %;57,1 %;57,1 %;57,1 %;;64 %;57,1 %;57,1 %;57,1 %;;53 %;0,0 %
TRÆNA;NORDLAND;82,1 %;0,0 %;98,1 %;100,0 %;82,1 %;100,0 %;100,0 %;100,0 %;99,5 %;82,1 %;82,1 %;82,1 %;;99,5 %;82,1 %;82,1 %;82,1 %;;97 %;82,1 %;82,1 %;82,1 %;;100 %;0,0 %
VEFSN;NORDLAND;86,0 %;63,1 %;83,9 %;87,5 %;88,4 %;91,5 %;99,4 %;99,5 %;97,4 %;88,4 %;88,4 %;86,0 %;;97,3 %;88,4 %;88,4 %;86,0 %;;89 %;88,4 %;88,4 %;86,0 %;;83 %;0,0 %
VEGA;NORDLAND;83,6 %;0,0 %;68,9 %;93,8 %;83,6 %;93,4 %;98,8 %;99,3 %;98,0 %;83,6 %;83,6 %;83,6 %;;98,0 %;83,6 %;83,6 %;83,6 %;;84 %;83,6 %;83,6 %;83,6 %;;92 %;0,0 %
VESTVÅGØY;NORDLAND;92,5 %;0,0 %;90,2 %;89,0 %;92,5 %;99,3 %;99,3 %;100,0 %;98,7 %;92,5 %;92,5 %;92,5 %;;98,7 %;92,5 %;92,5 %;92,5 %;;94 %;92,5 %;92,5 %;92,5 %;;84 %;0,0 %
VEVELSTAD;NORDLAND;93,3 %;0,0 %;94,2 %;20,5 %;93,3 %;97,3 %;97,8 %;98,7 %;96,0 %;93,3 %;93,3 %;93,3 %;;96,0 %;93,3 %;93,3 %;93,3 %;;94 %;93,3 %;93,3 %;93,3 %;;8 %;0,0 %
VÅGAN;NORDLAND;90,8 %;0,0 %;92,5 %;99,1 %;90,8 %;98,0 %;99,5 %;100,0 %;99,2 %;90,9 %;90,8 %;90,8 %;;98,9 %;90,9 %;90,8 %;90,8 %;;94 %;90,8 %;90,8 %;90,8 %;;94 %;0,0 %
VÆRØY;NORDLAND;99,7 %;0,0 %;98,5 %;97,2 %;99,7 %;100,0 %;100,0 %;100,0 %;100,0 %;99,7 %;99,7 %;99,7 %;;100,0 %;99,7 %;99,7 %;99,7 %;;100 %;99,7 %;99,7 %;99,7 %;;92 %;0,0 %
ØKSNES;NORDLAND;87,2 %;0,0 %;78,8 %;97,7 %;87,2 %;91,0 %;99,0 %;99,8 %;98,0 %;87,2 %;87,2 %;87,2 %;;98,0 %;87,2 %;87,2 %;87,2 %;;88 %;87,2 %;87,2 %;87,2 %;;92 %;0,0 %
OSLO;OSLO;74,7 %;74,3 %;96,3 %;94,8 %;98,3 %;99,9 %;100,0 %;100,0 %;100,0 %;99,6 %;98,3 %;74,7 %;;100,0 %;99,6 %;98,3 %;74,7 %;;99 %;98,3 %;98,3 %;74,7 %;;95 %;74,4 %
BJERKREIM;ROGALAND;67,5 %;0,0 %;81,6 %;94,8 %;67,5 %;88,6 %;95,1 %;99,3 %;91,2 %;67,5 %;67,5 %;67,5 %;;89,8 %;67,5 %;67,5 %;67,5 %;;71 %;67,5 %;67,5 %;67,5 %;;83 %;0,0 %
BOKN;ROGALAND;91,7 %;0,0 %;91,5 %;100,0 %;91,7 %;98,7 %;100,0 %;100,0 %;99,5 %;91,7 %;91,7 %;91,7 %;;99,5 %;91,7 %;91,7 %;91,7 %;;92 %;91,7 %;91,7 %;91,7 %;;98 %;0,0 %
EIGERSUND;ROGALAND;92,4 %;0,0 %;96,3 %;79,1 %;92,4 %;99,0 %;99,3 %;99,8 %;98,0 %;92,4 %;92,4 %;92,4 %;;97,8 %;92,4 %;92,4 %;92,4 %;;94 %;92,4 %;92,4 %;92,4 %;;75 %;0,0 %
GJESDAL;ROGALAND;91,0 %;0,0 %;90,5 %;98,5 %;91,0 %;98,7 %;99,3 %;99,9 %;98,1 %;91,0 %;91,0 %;91,0 %;;98,0 %;91,0 %;91,0 %;91,0 %;;93 %;91,0 %;91,0 %;91,0 %;;97 %;0,0 %
HAUGESUND;ROGALAND;98,0 %;47,6 %;95,0 %;100,0 %;99,5 %;100,0 %;100,0 %;100,0 %;100,0 %;99,5 %;99,5 %;98,0 %;;100,0 %;99,5 %;99,5 %;98,0 %;;100 %;99,5 %;99,5 %;98,0 %;;100 %;7,9 %
HJELMELAND;ROGALAND;65,0 %;0,0 %;90,4 %;84,0 %;65,0 %;96,9 %;97,0 %;99,8 %;92,1 %;65,0 %;65,0 %;65,0 %;;90,9 %;65,0 %;65,0 %;65,0 %;;74 %;65,0 %;65,0 %;65,0 %;;71 %;0,0 %
HÅ;ROGALAND;88,3 %;26,3 %;92,5 %;93,6 %;89,6 %;99,2 %;99,8 %;100,0 %;98,6 %;89,6 %;88,3 %;88,3 %;;98,5 %;89,6 %;88,3 %;88,3 %;;92 %;89,6 %;88,3 %;88,3 %;;87 %;0,0 %
KARMØY;ROGALAND;97,4 %;16,9 %;95,7 %;100,0 %;97,7 %;99,8 %;100,0 %;100,0 %;99,9 %;97,8 %;97,7 %;97,4 %;;99,9 %;97,8 %;97,7 %;97,4 %;;98 %;97,7 %;97,7 %;97,4 %;;99 %;1,5 %
KLEPP;ROGALAND;91,2 %;43,8 %;96,0 %;97,0 %;95,8 %;99,9 %;99,7 %;100,0 %;99,3 %;95,8 %;91,2 %;91,2 %;;99,2 %;95,8 %;91,2 %;91,2 %;;96 %;95,8 %;91,2 %;91,2 %;;94 %;0,0 %
KVITSØY;ROGALAND;82,4 %;0,0 %;98,2 %;100,0 %;82,4 %;100,0 %;100,0 %;100,0 %;100,0 %;82,4 %;82,4 %;82,4 %;;100,0 %;82,4 %;82,4 %;82,4 %;;95 %;82,4 %;82,4 %;82,4 %;;100 %;0,0 %
LUND;ROGALAND;79,9 %;0,0 %;94,4 %;98,7 %;79,9 %;96,7 %;99,3 %;99,8 %;97,1 %;79,9 %;79,9 %;79,9 %;;96,7 %;79,9 %;79,9 %;79,9 %;;84 %;79,9 %;79,9 %;79,9 %;;93 %;0,0 %
RANDABERG;ROGALAND;94,7 %;32,3 %;96,7 %;100,0 %;98,3 %;99,9 %;100,0 %;100,0 %;100,0 %;98,6 %;98,3 %;94,7 %;;100,0 %;98,6 %;98,3 %;94,7 %;;99 %;98,3 %;98,3 %;94,7 %;;100 %;13,1 %
SANDNES;ROGALAND;92,9 %;19,5 %;96,4 %;97,3 %;94,9 %;99,9 %;99,6 %;100,0 %;99,5 %;96,7 %;94,9 %;92,9 %;;99,5 %;96,7 %;94,9 %;92,9 %;;96 %;94,9 %;94,9 %;92,9 %;;96 %;54,1 %
SAUDA;ROGALAND;92,5 %;0,0 %;93,6 %;40,6 %;92,5 %;98,9 %;96,1 %;99,6 %;96,0 %;92,5 %;92,5 %;92,5 %;;95,7 %;92,5 %;92,5 %;92,5 %;;95 %;92,5 %;92,5 %;92,5 %;;39 %;0,0 %
SOKNDAL;ROGALAND;87,9 %;0,0 %;93,4 %;97,6 %;87,9 %;98,3 %;99,4 %;99,8 %;97,9 %;87,9 %;87,9 %;87,9 %;;97,9 %;87,9 %;87,9 %;87,9 %;;92 %;87,9 %;87,9 %;87,9 %;;92 %;0,0 %
SOLA;ROGALAND;89,6 %;28,2 %;94,5 %;99,8 %;95,2 %;99,8 %;99,9 %;100,0 %;99,9 %;96,9 %;95,2 %;89,6 %;;99,9 %;96,9 %;95,2 %;89,6 %;;96 %;95,2 %;95,2 %;89,6 %;;100 %;41,7 %
STAVANGER;ROGALAND;85,3 %;43,3 %;96,5 %;99,6 %;96,2 %;99,7 %;100,0 %;100,0 %;99,9 %;98,6 %;96,2 %;85,3 %;;99,9 %;98,6 %;96,2 %;85,3 %;;98 %;96,2 %;96,2 %;85,3 %;;99 %;75,0 %
STRAND;ROGALAND;91,7 %;0,0 %;96,4 %;84,9 %;91,7 %;99,5 %;99,1 %;99,9 %;98,7 %;91,7 %;91,7 %;91,7 %;;98,6 %;91,7 %;91,7 %;91,7 %;;94 %;91,7 %;91,7 %;91,7 %;;77 %;0,0 %
SULDAL;ROGALAND;92,6 %;0,0 %;78,8 %;95,3 %;92,6 %;96,9 %;98,9 %;99,3 %;97,8 %;92,6 %;92,6 %;92,6 %;;97,5 %;92,6 %;92,6 %;92,6 %;;94 %;92,6 %;92,6 %;92,6 %;;87 %;0,0 %
TIME;ROGALAND;85,6 %;42,3 %;97,5 %;98,1 %;93,0 %;99,7 %;99,6 %;100,0 %;99,3 %;93,1 %;85,6 %;85,6 %;;99,2 %;93,1 %;85,6 %;85,6 %;;95 %;93,0 %;85,6 %;85,6 %;;95 %;0,0 %
TYSVÆR;ROGALAND;93,4 %;0,0 %;91,9 %;99,2 %;93,4 %;99,2 %;99,9 %;100,0 %;99,4 %;93,4 %;93,4 %;93,4 %;;99,2 %;93,4 %;93,4 %;93,4 %;;94 %;93,4 %;93,4 %;93,4 %;;96 %;0,0 %
UTSIRA;ROGALAND;96,6 %;0,0 %;0,0 %;100,0 %;96,6 %;96,6 %;100,0 %;100,0 %;100,0 %;96,6 %;96,6 %;96,6 %;;100,0 %;96,6 %;96,6 %;96,6 %;;97 %;96,6 %;96,6 %;96,6 %;;98 %;0,0 %
VINDAFJORD;ROGALAND;75,7 %;0,0 %;93,3 %;98,6 %;75,7 %;96,5 %;99,0 %;99,8 %;96,1 %;75,7 %;75,7 %;75,7 %;;95,9 %;75,7 %;75,7 %;75,7 %;;79 %;75,7 %;75,7 %;75,7 %;;92 %;0,0 %
ALTA;TROMS OG FINNMARK;96,5 %;0,1 %;90,3 %;99,6 %;96,5 %;98,7 %;99,7 %;100,0 %;99,7 %;96,5 %;96,5 %;96,5 %;;99,5 %;96,5 %;96,5 %;96,5 %;;98 %;96,5 %;96,5 %;96,5 %;;99 %;0,0 %
BALSFJORD;TROMS OG FINNMARK;90,8 %;0,0 %;48,9 %;51,8 %;90,9 %;93,6 %;99,2 %;99,2 %;97,8 %;90,9 %;90,8 %;90,8 %;;97,8 %;90,9 %;90,8 %;90,8 %;;91 %;90,9 %;90,8 %;90,8 %;;48 %;0,0 %
BARDU;TROMS OG FINNMARK;97,2 %;0,4 %;78,0 %;77,0 %;97,2 %;99,6 %;99,8 %;100,0 %;99,8 %;97,2 %;97,2 %;97,2 %;;99,7 %;97,2 %;97,2 %;97,2 %;;98 %;97,2 %;97,2 %;97,2 %;;64 %;0,0 %
BERLEVÅG;TROMS OG FINNMARK;97,1 %;0,0 %;95,6 %;100,0 %;97,1 %;100,0 %;100,0 %;100,0 %;100,0 %;97,1 %;97,1 %;97,1 %;;100,0 %;97,1 %;97,1 %;97,1 %;;99 %;97,1 %;97,1 %;97,1 %;;100 %;0,0 %
BÅTSFJORD;TROMS OG FINNMARK;93,9 %;0,1 %;98,5 %;78,6 %;93,9 %;99,9 %;98,3 %;99,9 %;98,6 %;93,9 %;93,9 %;93,9 %;;98,3 %;93,9 %;93,9 %;93,9 %;;96 %;93,9 %;93,9 %;93,9 %;;77 %;0,0 %
DYRØY;TROMS OG FINNMARK;85,2 %;0,0 %;56,1 %;96,8 %;85,2 %;93,0 %;99,6 %;99,6 %;97,9 %;85,2 %;85,2 %;85,2 %;;97,9 %;85,2 %;85,2 %;85,2 %;;87 %;85,2 %;85,2 %;85,2 %;;91 %;0,0 %
GAMVIK;TROMS OG FINNMARK;72,5 %;0,0 %;99,6 %;98,3 %;72,5 %;99,6 %;98,3 %;100,0 %;100,0 %;72,5 %;72,5 %;72,5 %;;97,7 %;72,5 %;72,5 %;72,5 %;;98 %;72,5 %;72,5 %;72,5 %;;98 %;0,0 %
GRATANGEN;TROMS OG FINNMARK;75,6 %;0,0 %;61,3 %;97,0 %;75,6 %;91,5 %;99,1 %;99,8 %;95,2 %;75,6 %;75,6 %;75,6 %;;95,2 %;75,6 %;75,6 %;75,6 %;;79 %;75,6 %;75,6 %;75,6 %;;84 %;0,0 %
HAMMERFEST;TROMS OG FINNMARK;88,9 %;26,9 %;90,1 %;99,1 %;91,0 %;97,4 %;99,4 %;99,6 %;99,3 %;91,0 %;88,9 %;88,9 %;;99,3 %;91,0 %;88,9 %;88,9 %;;93 %;91,0 %;88,9 %;88,9 %;;99 %;0,0 %
HARSTAD;TROMS OG FINNMARK;89,9 %;56,0 %;93,2 %;72,2 %;96,3 %;98,9 %;99,9 %;100,0 %;99,6 %;96,3 %;96,3 %;89,9 %;;99,5 %;96,3 %;96,3 %;89,9 %;;97 %;96,3 %;96,3 %;89,9 %;;69 %;0,0 %
