Dekning for 4G og 5G på kommunenivå;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;
;;4G;;5G;;4G + 5G;;Tidligere års metode (- 110 dBm) (utendørsdekning);
Kommune;Fylke;≥ 30;≥ 100;≥ 30;≥ 100;≥ 30;≥ 100;4G;5G
RINGSAKER;INNLANDET;99,0 %;61,6 %;73,2 %;6,8 %;99,0 %;63,8 %;100,0 %;100,0 %
SEL;INNLANDET;98,9 %;59,0 %;0,0 %;0,0 %;98,9 %;59,0 %;100,0 %;0,8 %
SKJÅK;INNLANDET;98,6 %;29,4 %;7,0 %;0,0 %;98,6 %;29,4 %;100,0 %;9,5 %
STANGE;INNLANDET;96,7 %;55,5 %;65,1 %;18,5 %;96,8 %;61,2 %;100,0 %;99,8 %
STOR-ELVDAL;INNLANDET;98,2 %;47,2 %;12,8 %;0,0 %;98,2 %;47,2 %;100,0 %;84,6 %
SØNDRE LAND;INNLANDET;96,9 %;48,0 %;49,8 %;35,4 %;96,9 %;53,5 %;100,0 %;99,4 %
SØR-AURDAL;INNLANDET;96,6 %;48,4 %;13,6 %;0,0 %;96,6 %;48,4 %;100,0 %;73,2 %
SØR-FRON;INNLANDET;99,9 %;69,7 %;11,9 %;8,2 %;99,9 %;70,3 %;100,0 %;98,3 %
SØR-ODAL;INNLANDET;95,3 %;44,7 %;67,0 %;36,5 %;95,3 %;49,5 %;100,0 %;99,9 %
TOLGA;INNLANDET;94,3 %;29,8 %;65,6 %;0,0 %;94,3 %;29,8 %;99,8 %;96,2 %
TRYSIL;INNLANDET;92,4 %;57,1 %;73,0 %;45,8 %;92,4 %;60,5 %;99,8 %;98,8 %
TYNSET;INNLANDET;98,4 %;64,0 %;80,3 %;0,0 %;98,4 %;64,0 %;100,0 %;94,7 %
VANG;INNLANDET;97,4 %;47,4 %;28,4 %;0,0 %;97,4 %;47,4 %;100,0 %;83,1 %
VESTRE SLIDRE;INNLANDET;99,2 %;82,1 %;62,8 %;0,0 %;99,2 %;82,1 %;100,0 %;100,0 %
VESTRE TOTEN;INNLANDET;99,3 %;71,7 %;31,6 %;0,3 %;99,3 %;71,9 %;100,0 %;99,7 %
VÅGÅ;INNLANDET;94,8 %;45,8 %;0,0 %;0,0 %;94,8 %;45,8 %;100,0 %;0,0 %
VÅLER (INNLANDET);INNLANDET;97,5 %;48,9 %;71,0 %;0,9 %;97,6 %;49,1 %;100,0 %;98,4 %
ÅMOT;INNLANDET;94,8 %;36,8 %;47,4 %;2,6 %;94,8 %;37,3 %;100,0 %;99,9 %
ÅSNES;INNLANDET;97,9 %;60,5 %;60,2 %;0,0 %;97,9 %;60,5 %;100,0 %;94,0 %
ØSTRE TOTEN;INNLANDET;99,1 %;51,1 %;52,8 %;23,1 %;99,1 %;53,5 %;100,0 %;100,0 %
ØYER;INNLANDET;100,0 %;83,0 %;76,6 %;32,8 %;100,0 %;84,9 %;100,0 %;99,9 %
ØYSTRE SLIDRE;INNLANDET;99,2 %;74,3 %;52,0 %;15,8 %;99,2 %;74,3 %;100,0 %;99,7 %
AUKRA;MØRE OG ROMSDAL;87,5 %;25,0 %;31,6 %;0,0 %;87,5 %;25,0 %;100,0 %;99,6 %
