Dekning for 4G og 5G på kommunenivå;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;
;;4G;;5G;;4G + 5G;;Tidligere års metode (- 110 dBm) (utendørsdekning);
Kommune;Fylke;≥ 30;≥ 100;≥ 30;≥ 100;≥ 30;≥ 100;4G;5G
INDERØY;TRØNDELAG;94,7 %;50,3 %;19,1 %;0,0 %;94,7 %;50,3 %;100,0 %;57,9 %
INDRE FOSEN;TRØNDELAG;94,5 %;41,6 %;6,4 %;0,0 %;94,5 %;41,6 %;100,0 %;87,4 %
LEKA;TRØNDELAG;97,4 %;38,3 %;0,0 %;0,0 %;97,4 %;38,3 %;100,0 %;0,0 %
LEVANGER;TRØNDELAG;97,7 %;62,0 %;62,5 %;0,0 %;97,8 %;62,0 %;100,0 %;92,8 %
LIERNE;TRØNDELAG;79,0 %;13,6 %;0,0 %;0,0 %;79,0 %;13,6 %;99,7 %;0,0 %
MALVIK;TRØNDELAG;99,1 %;85,3 %;56,3 %;1,4 %;99,1 %;85,4 %;100,0 %;96,1 %
MELHUS;TRØNDELAG;99,1 %;63,5 %;45,7 %;3,0 %;99,1 %;66,3 %;100,0 %;98,9 %
MERÅKER;TRØNDELAG;97,7 %;67,6 %;0,0 %;0,0 %;97,7 %;67,6 %;100,0 %;0,0 %
MIDTRE GAULDAL;TRØNDELAG;95,0 %;64,5 %;18,1 %;0,0 %;95,2 %;64,5 %;100,0 %;66,8 %
NAMSOS;TRØNDELAG;97,8 %;74,0 %;5,3 %;0,0 %;97,8 %;74,0 %;100,0 %;9,3 %
NAMSSKOGAN;TRØNDELAG;94,6 %;50,3 %;0,0 %;0,0 %;94,6 %;50,3 %;98,7 %;0,0 %
NÆRØYSUND;TRØNDELAG;95,3 %;60,9 %;8,0 %;0,0 %;95,3 %;60,9 %;100,0 %;67,4 %
OPPDAL;TRØNDELAG;99,0 %;47,3 %;4,8 %;1,3 %;99,0 %;47,6 %;100,0 %;85,9 %
ORKLAND;TRØNDELAG;98,5 %;65,1 %;19,3 %;0,0 %;98,5 %;65,1 %;100,0 %;79,1 %
OSEN;TRØNDELAG;94,2 %;62,0 %;0,0 %;0,0 %;94,2 %;62,0 %;100,0 %;16,7 %
OVERHALLA;TRØNDELAG;96,6 %;47,0 %;0,0 %;0,0 %;96,6 %;47,0 %;100,0 %;0,0 %
RENNEBU;TRØNDELAG;95,9 %;54,6 %;0,0 %;0,0 %;95,9 %;54,6 %;100,0 %;6,8 %
RINDAL;TRØNDELAG;95,6 %;35,5 %;0,0 %;0,0 %;95,6 %;35,5 %;100,0 %;1,1 %
RØROS;TRØNDELAG;95,9 %;57,6 %;0,0 %;0,0 %;95,9 %;57,6 %;100,0 %;34,4 %
RØYRVIK;TRØNDELAG;76,0 %;52,0 %;0,0 %;0,0 %;76,0 %;52,0 %;100,0 %;0,0 %
SELBU;TRØNDELAG;97,2 %;47,1 %;10,5 %;0,0 %;97,2 %;47,1 %;99,9 %;88,9 %
SKAUN;TRØNDELAG;99,6 %;71,0 %;73,8 %;0,0 %;99,6 %;71,0 %;100,0 %;100,0 %
SNÅSA;TRØNDELAG;96,1 %;43,3 %;0,0 %;0,0 %;96,1 %;43,3 %;99,9 %;0,0 %
STEINKJER;TRØNDELAG;97,0 %;67,4 %;18,7 %;3,7 %;97,0 %;67,4 %;100,0 %;42,8 %
STJØRDAL;TRØNDELAG;99,0 %;77,6 %;42,5 %;9,2 %;99,0 %;77,7 %;100,0 %;93,6 %
TRONDHEIM;TRØNDELAG;99,9 %;93,9 %;97,8 %;93,5 %;99,9 %;97,7 %;100,0 %;99,9 %
TYDAL;TRØNDELAG;96,9 %;58,9 %;0,0 %;0,0 %;96,9 %;58,9 %;99,7 %;5,1 %
VERDAL;TRØNDELAG;98,0 %;54,7 %;5,8 %;0,0 %;98,1 %;54,7 %;100,0 %;13,7 %
ÅFJORD;TRØNDELAG;93,5 %;57,1 %;22,9 %;0,0 %;93,7 %;57,1 %;99,9 %;58,0 %
ØRLAND;TRØNDELAG;98,3 %;64,0 %;32,6 %;0,0 %;98,3 %;64,0 %;100,0 %;89,4 %
BAMBLE;VESTFOLD OG TELEMARK;99,2 %;82,0 %;13,8 %;0,0 %;99,2 %;82,0 %;100,0 %;86,5 %
DRANGEDAL;VESTFOLD OG TELEMARK;93,0 %;52,1 %;4,5 %;0,0 %;93,0 %;52,1 %;100,0 %;6,0 %
FYRESDAL;VESTFOLD OG TELEMARK;93,0 %;45,3 %;0,0 %;0,0 %;93,0 %;45,3 %;99,1 %;0,0 %
FÆRDER;VESTFOLD OG TELEMARK;99,7 %;67,4 %;54,4 %;7,4 %;99,7 %;68,0 %;100,0 %;99,5 %
HJARTDAL;VESTFOLD OG TELEMARK;93,7 %;50,0 %;0,0 %;0,0 %;93,7 %;50,0 %;100,0 %;28,1 %
HOLMESTRAND;VESTFOLD OG TELEMARK;99,3 %;70,2 %;16,5 %;1,5 %;99,4 %;71,0 %;100,0 %;88,3 %
HORTEN;VESTFOLD OG TELEMARK;99,9 %;92,3 %;46,8 %;13,5 %;99,9 %;92,7 %;100,0 %;92,7 %
KRAGERØ;VESTFOLD OG TELEMARK;98,0 %;74,3 %;36,2 %;20,1 %;98,0 %;74,6 %;100,0 %;59,0 %
KVITESEID;VESTFOLD OG TELEMARK;93,8 %;64,5 %;0,0 %;0,0 %;93,8 %;64,5 %;100,0 %;0,0 %
LARVIK;VESTFOLD OG TELEMARK;99,0 %;77,5 %;75,1 %;48,8 %;99,0 %;80,9 %;100,0 %;99,3 %
MIDT-TELEMARK;VESTFOLD OG TELEMARK;99,2 %;60,2 %;40,1 %;0,0 %;99,2 %;60,2 %;100,0 %;43,0 %
NISSEDAL;VESTFOLD OG TELEMARK;97,9 %;65,7 %;0,0 %;0,0 %;97,9 %;65,7 %;100,0 %;0,0 %
NOME;VESTFOLD OG TELEMARK;96,1 %;62,5 %;44,2 %;0,0 %;96,1 %;62,5 %;100,0 %;48,5 %
NOTODDEN;VESTFOLD OG TELEMARK;99,1 %;69,8 %;38,7 %;0,0 %;99,1 %;69,8 %;100,0 %;87,2 %
PORSGRUNN;VESTFOLD OG TELEMARK;99,8 %;93,3 %;36,7 %;24,8 %;99,8 %;94,0 %;100,0 %;68,9 %
SANDEFJORD;VESTFOLD OG TELEMARK;99,5 %;81,8 %;83,4 %;51,1 %;99,6 %;85,9 %;100,0 %;99,9 %
SELJORD;VESTFOLD OG TELEMARK;93,3 %;62,7 %;16,9 %;0,0 %;93,3 %;62,7 %;99,8 %;25,8 %
SILJAN;VESTFOLD OG TELEMARK;99,1 %;51,1 %;9,4 %;0,0 %;99,1 %;51,1 %;100,0 %;63,2 %
SKIEN;VESTFOLD OG TELEMARK;99,6 %;88,7 %;38,8 %;13,4 %;99,6 %;89,6 %;100,0 %;44,1 %
TINN;VESTFOLD OG TELEMARK;95,1 %;54,7 %;0,0 %;0,0 %;95,1 %;54,7 %;100,0 %;0,1 %
TOKKE;VESTFOLD OG TELEMARK;91,5 %;60,2 %;0,5 %;0,0 %;91,5 %;60,2 %;100,0 %;1,3 %
TØNSBERG;VESTFOLD OG TELEMARK;99,4 %;74,8 %;85,3 %;16,4 %;99,4 %;75,9 %;100,0 %;99,0 %
VINJE;VESTFOLD OG TELEMARK;94,8 %;47,5 %;17,2 %;0,0 %;94,8 %;47,5 %;99,9 %;25,6 %
ALVER;VESTLAND;98,9 %;56,4 %;83,6 %;54,9 %;99,0 %;72,8 %;100,0 %;98,8 %
ASKVOLL;VESTLAND;88,7 %;33,4 %;3,3 %;1,3 %;88,9 %;34,0 %;100,0 %;7,4 %
ASKØY;VESTLAND;99,6 %;66,9 %;91,4 %;74,9 %;99,6 %;84,4 %;100,0 %;100,0 %
AURLAND;VESTLAND;97,3 %;58,4 %;0,0 %;0,0 %;97,3 %;58,4 %;100,0 %;0,0 %
AUSTEVOLL;VESTLAND;98,0 %;52,6 %;6,5 %;0,0 %;98,0 %;52,6 %;100,0 %;80,4 %
AUSTRHEIM;VESTLAND;97,4 %;39,0 %;5,9 %;0,5 %;97,4 %;39,5 %;100,0 %;94,0 %
BERGEN;VESTLAND;99,9 %;89,9 %;98,8 %;94,2 %;99,9 %;97,7 %;100,0 %;99,9 %
BJØRNAFJORDEN;VESTLAND;97,4 %;63,5 %;87,0 %;68,3 %;97,5 %;78,7 %;100,0 %;96,2 %
BREMANGER;VESTLAND;90,4 %;47,9 %;3,1 %;0,0 %;90,4 %;47,9 %;100,0 %;4,3 %
BØMLO;VESTLAND;98,3 %;59,1 %;49,9 %;0,0 %;98,3 %;59,1 %;100,0 %;95,6 %
EIDFJORD;VESTLAND;99,3 %;76,4 %;0,0 %;0,0 %;99,3 %;76,4 %;100,0 %;0,0 %
ETNE;VESTLAND;95,1 %;73,5 %;2,8 %;0,0 %;95,8 %;73,5 %;99,9 %;13,4 %
FEDJE;VESTLAND;34,3 %;0,0 %;0,0 %;0,0 %;34,3 %;0,0 %;100,0 %;58,6 %
FITJAR;VESTLAND;88,5 %;46,0 %;4,6 %;0,0 %;88,5 %;46,0 %;100,0 %;58,9 %
FJALER;VESTLAND;91,9 %;47,2 %;9,5 %;0,0 %;91,9 %;47,2 %;99,0 %;19,0 %
GLOPPEN;VESTLAND;98,6 %;63,2 %;0,0 %;0,0 %;98,6 %;63,2 %;100,0 %;2,2 %
GULEN;VESTLAND;91,3 %;37,3 %;0,8 %;0,0 %;91,3 %;37,3 %;99,9 %;11,0 %
HYLLESTAD;VESTLAND;86,5 %;14,0 %;0,0 %;0,0 %;86,5 %;14,0 %;99,0 %;0,2 %
HØYANGER;VESTLAND;95,8 %;70,0 %;1,3 %;0,0 %;95,8 %;70,0 %;100,0 %;1,8 %
KINN;VESTLAND;98,7 %;68,5 %;0,8 %;0,0 %;98,8 %;68,5 %;100,0 %;1,1 %
KVAM;VESTLAND;96,8 %;64,2 %;35,8 %;0,0 %;96,8 %;64,2 %;100,0 %;63,0 %
KVINNHERAD;VESTLAND;95,6 %;41,6 %;7,9 %;0,0 %;95,6 %;41,6 %;100,0 %;39,8 %
LUSTER;VESTLAND;95,8 %;60,8 %;3,9 %;0,0 %;95,8 %;60,8 %;99,8 %;7,7 %
LÆRDAL;VESTLAND;99,9 %;78,3 %;0,0 %;0,0 %;99,9 %;78,3 %;100,0 %;0,0 %
MASFJORDEN;VESTLAND;83,0 %;31,3 %;3,9 %;0,0 %;83,0 %;31,3 %;100,0 %;39,7 %
MODALEN;VESTLAND;90,3 %;46,8 %;23,4 %;0,0 %;90,3 %;46,8 %;100,0 %;42,9 %
OSTERØY;VESTLAND;97,6 %;54,5 %;50,1 %;22,8 %;97,7 %;61,1 %;100,0 %;95,4 %
SAMNANGER;VESTLAND;98,8 %;70,1 %;1,0 %;0,0 %;98,8 %;70,1 %;100,0 %;10,1 %
SOGNDAL;VESTLAND;99,2 %;73,7 %;0,0 %;0,0 %;99,2 %;73,7 %;100,0 %;3,0 %
SOLUND;VESTLAND;90,6 %;73,9 %;0,0 %;0,0 %;90,6 %;73,9 %;100,0 %;0,0 %
STAD;VESTLAND;96,1 %;59,5 %;1,3 %;0,0 %;96,1 %;59,5 %;99,9 %;2,4 %
STORD;VESTLAND;99,6 %;72,3 %;50,8 %;8,4 %;99,6 %;73,5 %;100,0 %;95,1 %
STRYN;VESTLAND;98,4 %;62,2 %;31,0 %;0,0 %;98,4 %;62,2 %;100,0 %;87,2 %
SUNNFJORD;VESTLAND;96,3 %;66,1 %;1,0 %;0,3 %;96,3 %;66,3 %;99,9 %;4,3 %
SVEIO;VESTLAND;95,9 %;33,7 %;11,2 %;0,0 %;95,9 %;33,7 %;100,0 %;87,6 %
TYSNES;VESTLAND;91,9 %;40,9 %;0,1 %;19,3 %;91,9 %;42,4 %;100,0 %;53,2 %
ULLENSVANG;VESTLAND;98,4 %;64,2 %;2,3 %;0,0 %;98,4 %;64,2 %;100,0 %;15,7 %
ULVIK;VESTLAND;98,3 %;85,5 %;0,0 %;0,0 %;98,3 %;85,5 %;100,0 %;0,0 %
VAKSDAL;VESTLAND;96,2 %;64,7 %;4,3 %;0,0 %;96,2 %;64,7 %;100,0 %;24,4 %
VIK;VESTLAND;93,0 %;47,5 %;25,4 %;0,0 %;93,0 %;47,5 %;99,9 %;63,0 %
VOSS;VESTLAND;98,3 %;73,6 %;26,4 %;0,4 %;98,3 %;73,6 %;99,9 %;58,9 %
ÅRDAL;VESTLAND;99,4 %;89,3 %;0,0 %;0,0 %;99,4 %;89,3 %;99,8 %;0,0 %
ØYGARDEN;VESTLAND;96,0 %;49,3 %;79,9 %;45,6 %;96,4 %;68,0 %;100,0 %;99,0 %
AREMARK;VIKEN;83,3 %;15,1 %;15,4 %;6,4 %;83,3 %;19,6 %;100,0 %;99,8 %
ASKER;VIKEN;99,9 %;80,9 %;82,9 %;44,9 %;99,9 %;85,2 %;100,0 %;100,0 %
AURSKOG-HØLAND;VIKEN;97,4 %;53,7 %;64,8 %;24,2 %;97,4 %;56,5 %;100,0 %;100,0 %
BÆRUM;VIKEN;100,0 %;91,8 %;90,7 %;86,0 %;100,0 %;96,8 %;100,0 %;100,0 %
DRAMMEN;VIKEN;99,9 %;89,7 %;94,2 %;86,0 %;99,9 %;94,8 %;100,0 %;99,9 %
EIDSVOLL;VIKEN;99,3 %;53,5 %;62,3 %;0,0 %;99,3 %;53,5 %;100,0 %;100,0 %
ENEBAKK;VIKEN;98,7 %;66,8 %;51,6 %;3,8 %;98,7 %;67,4 %;100,0 %;100,0 %
FLESBERG;VIKEN;92,0 %;47,5 %;16,1 %;0,0 %;92,0 %;47,5 %;100,0 %;76,3 %
FLÅ;VIKEN;97,9 %;67,9 %;15,6 %;0,0 %;97,9 %;67,9 %;100,0 %;45,5 %
FREDRIKSTAD;VIKEN;99,8 %;85,1 %;93,2 %;73,3 %;99,9 %;91,8 %;100,0 %;100,0 %
FROGN;VIKEN;100,0 %;82,3 %;93,0 %;0,5 %;100,0 %;82,3 %;100,0 %;100,0 %
GJERDRUM;VIKEN;99,8 %;70,9 %;67,9 %;0,1 %;99,8 %;70,9 %;100,0 %;100,0 %
GOL;VIKEN;99,7 %;84,1 %;91,3 %;0,3 %;99,7 %;84,1 %;100,0 %;100,0 %
HALDEN;VIKEN;98,9 %;78,4 %;81,0 %;34,6 %;98,9 %;80,0 %;100,0 %;99,9 %
HEMSEDAL;VIKEN;100,0 %;89,6 %;92,5 %;9,5 %;100,0 %;89,6 %;100,0 %;99,5 %
HOL;VIKEN;99,6 %;87,8 %;65,1 %;0,0 %;99,6 %;87,8 %;100,0 %;78,3 %
HOLE;VIKEN;99,1 %;69,0 %;58,3 %;0,0 %;99,1 %;69,0 %;100,0 %;99,8 %
HURDAL;VIKEN;97,0 %;77,9 %;88,1 %;0,0 %;97,0 %;77,9 %;99,9 %;99,3 %
HVALER;VIKEN;98,0 %;53,7 %;63,4 %;34,5 %;98,0 %;63,8 %;100,0 %;100,0 %
INDRE ØSTFOLD;VIKEN;98,9 %;67,9 %;64,9 %;32,1 %;98,9 %;73,6 %;100,0 %;100,0 %
JEVNAKER;VIKEN;99,8 %;71,3 %;78,0 %;0,0 %;99,8 %;71,3 %;100,0 %;100,0 %
KONGSBERG;VIKEN;99,4 %;83,3 %;64,5 %;71,1 %;99,4 %;86,7 %;100,0 %;94,0 %
KRØDSHERAD;VIKEN;97,6 %;71,9 %;40,0 %;25,9 %;97,6 %;73,7 %;100,0 %;99,8 %
LIER;VIKEN;100,0 %;83,5 %;78,2 %;2,6 %;100,0 %;84,5 %;100,0 %;99,8 %
LILLESTRØM;VIKEN;99,8 %;78,2 %;87,2 %;49,6 %;99,8 %;83,6 %;100,0 %;100,0 %
LUNNER;VIKEN;99,7 %;79,6 %;30,4 %;15,9 %;99,7 %;79,9 %;100,0 %;97,8 %
LØRENSKOG;VIKEN;100,0 %;93,6 %;97,2 %;88,6 %;100,0 %;97,9 %;100,0 %;100,0 %
MARKER;VIKEN;92,1 %;55,8 %;78,6 %;46,4 %;92,1 %;58,9 %;100,0 %;99,9 %
MODUM;VIKEN;98,9 %;71,9 %;81,5 %;0,0 %;98,9 %;71,9 %;100,0 %;99,9 %
MOSS;VIKEN;99,9 %;85,3 %;90,6 %;61,7 %;99,9 %;89,4 %;100,0 %;100,0 %
NANNESTAD;VIKEN;99,5 %;72,3 %;74,0 %;8,3 %;99,5 %;72,8 %;100,0 %;99,9 %
NES;VIKEN;98,2 %;50,1 %;47,6 %;3,2 %;98,2 %;51,5 %;100,0 %;99,9 %
NESBYEN;VIKEN;99,0 %;74,4 %;72,8 %;0,0 %;99,0 %;74,4 %;100,0 %;99,1 %
NESODDEN;VIKEN;99,9 %;73,7 %;85,4 %;12,0 %;99,9 %;76,5 %;100,0 %;100,0 %
NITTEDAL;VIKEN;100,0 %;88,5 %;89,8 %;5,4 %;100,0 %;89,3 %;100,0 %;100,0 %
NORDRE FOLLO;VIKEN;99,9 %;89,2 %;94,0 %;52,8 %;99,9 %;91,8 %;100,0 %;100,0 %
NORE OG UVDAL;VIKEN;94,9 %;35,5 %;1,8 %;0,0 %;94,9 %;35,5 %;100,0 %;11,5 %
RAKKESTAD;VIKEN;97,7 %;52,3 %;64,9 %;47,0 %;97,7 %;64,4 %;100,0 %;99,8 %
RINGERIKE;VIKEN;99,2 %;75,7 %;44,7 %;1,5 %;99,2 %;75,7 %;100,0 %;97,9 %
ROLLAG;VIKEN;98,0 %;45,4 %;10,2 %;0,0 %;98,0 %;45,4 %;100,0 %;46,4 %
RÅDE;VIKEN;99,7 %;76,1 %;86,1 %;49,3 %;99,7 %;81,2 %;100,0 %;100,0 %
RÆLINGEN;VIKEN;99,6 %;84,6 %;91,0 %;65,0 %;99,6 %;89,1 %;100,0 %;100,0 %
SARPSBORG;VIKEN;99,7 %;86,5 %;89,7 %;63,6 %;99,7 %;89,7 %;100,0 %;100,0 %
SIGDAL;VIKEN;96,5 %;57,6 %;35,7 %;0,0 %;96,5 %;57,6 %;100,0 %;87,1 %
SKIPTVET;VIKEN;95,0 %;50,8 %;69,9 %;48,4 %;95,0 %;65,5 %;100,0 %;100,0 %
ULLENSAKER;VIKEN;99,9 %;83,2 %;86,9 %;26,8 %;99,9 %;85,0 %;100,0 %;100,0 %
VESTBY;VIKEN;100,0 %;61,9 %;72,8 %;4,7 %;100,0 %;61,9 %;100,0 %;100,0 %
VÅLER (VIKEN);VIKEN;97,7 %;34,9 %;63,1 %;0,8 %;97,7 %;35,4 %;100,0 %;100,0 %
ÅL;VIKEN;98,5 %;81,5 %;54,9 %;0,0 %;98,6 %;81,5 %;100,0 %;70,8 %
ÅS;VIKEN;99,9 %;70,4 %;84,9 %;19,7 %;99,9 %;72,0 %;100,0 %;100,0 %
ØVRE EIKER;VIKEN;99,4 %;74,1 %;56,1 %;25,2 %;99,4 %;75,6 %;100,0 %;95,0 %
