ssbid_250,year,populasjon
21840006574500,2001,6.0
21840006574750,2001,10.0
21842506566750,2001,1.0
21842506574500,2001,8.0
21842506574750,2001,5.0
21842506575000,2001,13.0
21842506580250,2001,2.0
21845006575250,2001,4.0
21847506574500,2001,11.0
21847506574750,2001,5.0
21847506575000,2001,5.0
21850006573750,2001,6.0
21850006574000,2001,16.0
21850006574250,2001,6.0
21850006575000,2001,3.0
21852506566500,2001,4.0
21852506566750,2001,3.0
21852506573500,2001,2.0
21852506573750,2001,9.0
21852506574000,2001,2.0
21852506574500,2001,1.0
21852506575250,2001,7.0
21852506579750,2001,7.0
21855006567750,2001,3.0
21855006573750,2001,1.0
21855006574000,2001,6.0
21855006574250,2001,21.0
21855006574750,2001,1.0
21855006575000,2001,5.0
21855006579000,2001,7.0
21855006579250,2001,10.0
21855006579500,2001,7.0
21855006579750,2001,4.0
21857506567000,2001,2.0
21857506567500,2001,2.0
21857506573750,2001,8.0
21857506574250,2001,11.0
21857506579000,2001,9.0
21857506579250,2001,9.0
21860006568000,2001,6.0
21860006573750,2001,5.0
21860006574250,2001,6.0
21860006575500,2001,4.0
21860006577750,2001,1.0
21860006578500,2001,5.0
21860006579000,2001,4.0
21862506567500,2001,11.0
21862506567750,2001,7.0
21862506568000,2001,2.0
21862506574500,2001,5.0
21862506575500,2001,3.0
21862506577500,2001,2.0
21862506577750,2001,4.0
21862506578250,2001,4.0
21865006567000,2001,5.0
21865006567250,2001,6.0
21865006567750,2001,10.0
21865006573500,2001,5.0
21865006574750,2001,3.0
21865006576750,2001,1.0
21865006577500,2001,1.0
21865006578250,2001,6.0
21865006578750,2001,7.0
21865006579000,2001,2.0
21867506567000,2001,3.0
21867506567250,2001,5.0
21867506569750,2001,4.0
21867506570000,2001,8.0
21867506573500,2001,2.0
21867506578750,2001,31.0
21870006570000,2001,4.0
21870006573000,2001,4.0
21870006573250,2001,6.0
21870006573500,2001,3.0
21870006573750,2001,5.0
21870006576000,2001,3.0
21870006576500,2001,9.0
21870006576750,2001,29.0
21870006577000,2001,31.0
21870006577250,2001,18.0
21870006577500,2001,1.0
21870006578250,2001,5.0
21870006578500,2001,1.0
21870006586500,2001,8.0
21872506567250,2001,8.0
21872506567500,2001,104.0
21872506567750,2001,26.0
21872506570000,2001,2.0
21872506573250,2001,3.0
21872506574000,2001,6.0
21872506574250,2001,2.0
21872506574500,2001,1.0
21872506575750,2001,2.0
21872506576000,2001,4.0
21872506576250,2001,3.0
21872506576750,2001,6.0
21872506577000,2001,61.0
21872506577250,2001,8.0
21872506577750,2001,7.0
21872506578000,2001,3.0
21875006567250,2001,5.0
21875006567500,2001,41.0
21875006570250,2001,5.0
21875006572250,2001,5.0
21875006572500,2001,4.0
21875006572750,2001,3.0
21875006573250,2001,4.0
21875006573500,2001,6.0
21875006573750,2001,4.0
21875006574000,2001,6.0
21875006574250,2001,3.0
21875006576250,2001,4.0
21875006576500,2001,13.0
21875006577000,2001,4.0
21875006577500,2001,6.0
21875006577750,2001,2.0
21875006578000,2001,1.0
21877506567500,2001,14.0
21877506568250,2001,4.0
21877506570000,2001,6.0
21877506571250,2001,8.0
21877506571500,2001,10.0
21877506571750,2001,5.0
21877506572250,2001,3.0
21877506572750,2001,9.0
21877506573250,2001,9.0
21877506576250,2001,28.0
21877506576500,2001,4.0
21877506577000,2001,44.0
21877506577250,2001,74.0
21877506577500,2001,26.0
21880006566500,2001,2.0
21880006567500,2001,3.0
21880006568250,2001,4.0
21880006568500,2001,8.0
21880006569000,2001,6.0
21880006569750,2001,6.0
21880006570000,2001,5.0
21880006571750,2001,6.0
21880006572250,2001,1.0
21880006573000,2001,16.0
21880006573750,2001,6.0
21880006574000,2001,4.0
21880006576000,2001,5.0
21880006576250,2001,8.0
21880006576500,2001,2.0
21880006576750,2001,44.0
21880006577000,2001,94.0
21880006577250,2001,17.0
21882506567500,2001,3.0
21882506568000,2001,1.0
21882506568750,2001,4.0
21882506571250,2001,2.0
21882506571500,2001,13.0
21882506573250,2001,12.0
21882506573500,2001,6.0
21882506574000,2001,2.0
21882506574750,2001,6.0
21882506575500,2001,4.0
21882506576250,2001,1.0
21882506576500,2001,74.0
21882506576750,2001,153.0
21882506577000,2001,76.0
21885006567250,2001,3.0
21885006568750,2001,3.0
21885006569000,2001,6.0
21885006573000,2001,7.0
21885006573250,2001,15.0
21885006573500,2001,12.0
21885006574250,2001,4.0
21885006574500,2001,2.0
21885006574750,2001,9.0
21885006575250,2001,9.0
21885006575500,2001,10.0
21885006576250,2001,11.0
21885006576750,2001,133.0
21885006577000,2001,14.0
21887506567500,2001,7.0
21887506569000,2001,6.0
21887506570000,2001,4.0
21887506572750,2001,2.0
21887506573000,2001,10.0
21887506573500,2001,2.0
21887506574000,2001,3.0
21887506574250,2001,3.0
21887506574500,2001,66.0
21887506574750,2001,117.0
21887506575000,2001,16.0
21887506575250,2001,58.0
21887506575500,2001,22.0
21887506575750,2001,1.0
21887506576000,2001,26.0
21887506576250,2001,2.0
21887506576500,2001,81.0
21887506576750,2001,100.0
21890006567250,2001,5.0
21890006567500,2001,2.0
21890006568250,2001,4.0
21890006568500,2001,9.0
21890006569250,2001,4.0
21890006572500,2001,8.0
21890006572750,2001,2.0
21890006573000,2001,2.0
21890006573250,2001,5.0
21890006573500,2001,6.0
21890006574000,2001,11.0
21890006574250,2001,95.0
21890006574500,2001,104.0
21890006574750,2001,95.0
21890006575000,2001,125.0
21890006575250,2001,149.0
21890006575500,2001,45.0
21890006575750,2001,8.0
21890006576500,2001,7.0
21890006576750,2001,31.0
21892506568250,2001,4.0
21892506569000,2001,4.0
21892506569250,2001,1.0
21892506569500,2001,5.0
21892506571000,2001,5.0
21892506572500,2001,20.0
21892506572750,2001,1.0
21892506573250,2001,17.0
21892506573750,2001,2.0
21892506574000,2001,122.0
21892506574250,2001,143.0
21892506574500,2001,108.0
21892506574750,2001,157.0
21892506575000,2001,86.0
21892506575250,2001,66.0
21892506575750,2001,6.0
21892506576750,2001,5.0
21895006565250,2001,9.0
21895006565500,2001,6.0
21895006569500,2001,5.0
21895006572000,2001,2.0
21895006572250,2001,1.0
21895006573250,2001,2.0
21895006573500,2001,6.0
21895006573750,2001,4.0
21895006574000,2001,78.0
21895006574250,2001,80.0
21895006574500,2001,9.0
21895006574750,2001,88.0
21895006575000,2001,87.0
21895006575250,2001,6.0
21895006575750,2001,45.0
21895006576000,2001,47.0
21895006576750,2001,9.0
21895006577750,2001,24.0
21895006586250,2001,5.0
21895006586500,2001,7.0
21895006586750,2001,15.0
21895006600750,2001,2.0
21897506567000,2001,3.0
21897506569750,2001,3.0
21897506570000,2001,6.0
21897506570250,2001,9.0
21897506570500,2001,1.0
21897506572500,2001,3.0
21897506574750,2001,9.0
21897506575500,2001,35.0
21897506575750,2001,55.0
21897506576000,2001,115.0
21897506576250,2001,77.0
21897506576500,2001,3.0
21897506576750,2001,8.0
21897506577000,2001,2.0
21897506577500,2001,110.0
21897506577750,2001,112.0
21897506584250,2001,9.0
21897506586750,2001,2.0
21897506600750,2001,2.0
21900006568750,2001,7.0
21900006570000,2001,9.0
21900006570500,2001,2.0
21900006571750,2001,5.0
21900006574000,2001,5.0
21900006575250,2001,6.0
21900006575500,2001,65.0
21900006575750,2001,175.0
21900006576000,2001,218.0
21900006576250,2001,140.0
21900006576500,2001,4.0
21900006576750,2001,11.0
21900006577000,2001,133.0
21900006577250,2001,203.0
21900006577500,2001,131.0
21900006577750,2001,106.0
21900006578000,2001,7.0
21900006581750,2001,1.0
21900006583250,2001,1.0
21900006583750,2001,4.0
21900006584000,2001,16.0
21900006584250,2001,6.0
21900006585000,2001,1.0
21900006585250,2001,3.0
21900006599750,2001,2.0
21902506566750,2001,1.0
21902506571000,2001,4.0
21902506573000,2001,5.0
21902506573750,2001,7.0
21902506574000,2001,45.0
21902506575250,2001,2.0
21902506575500,2001,110.0
21902506575750,2001,194.0
21902506576000,2001,108.0
21902506576500,2001,19.0
21902506576750,2001,256.0
21902506577000,2001,317.0
21902506577250,2001,181.0
21902506577500,2001,188.0
21902506577750,2001,55.0
21902506578000,2001,28.0
21902506578500,2001,1.0
21902506579750,2001,3.0
21902506580000,2001,2.0
21902506580750,2001,3.0
21902506581500,2001,12.0
21902506582750,2001,15.0
21902506583250,2001,3.0
21902506583750,2001,6.0
21902506584250,2001,3.0
21902506585000,2001,1.0
21905006573750,2001,4.0
21905006574000,2001,3.0
21905006575000,2001,1.0
21905006575250,2001,3.0
21905006575500,2001,156.0
21905006575750,2001,157.0
21905006576000,2001,105.0
21905006576250,2001,191.0
21905006576500,2001,82.0
21905006576750,2001,167.0
21905006577000,2001,123.0
21905006577250,2001,56.0
21905006577500,2001,211.0
21905006577750,2001,120.0
21905006578000,2001,131.0
21905006578750,2001,2.0
21905006579000,2001,6.0
21905006579250,2001,1.0
21905006579500,2001,6.0
21905006580500,2001,1.0
21905006581000,2001,1.0
21905006581250,2001,13.0
21905006581500,2001,1.0
21905006582250,2001,8.0
21905006582500,2001,4.0
21905006582750,2001,8.0
21905006583000,2001,8.0
21905006583250,2001,3.0
21905006583500,2001,2.0
21905006583750,2001,4.0
21905006584750,2001,1.0
21905006585500,2001,4.0
21905006586000,2001,1.0
21907506568000,2001,1.0
21907506568250,2001,3.0
21907506571750,2001,4.0
21907506574000,2001,16.0
21907506574250,2001,21.0
21907506574500,2001,22.0
21907506574750,2001,27.0
21907506575250,2001,24.0
21907506575500,2001,149.0
21907506575750,2001,71.0
21907506576000,2001,162.0
21907506576250,2001,195.0
21907506576500,2001,15.0
21907506576750,2001,178.0
21907506577000,2001,252.0
21907506577250,2001,368.0
21907506577500,2001,442.0
21907506577750,2001,32.0
21907506578000,2001,1.0
21907506578250,2001,1.0
21907506578500,2001,6.0
21907506578750,2001,10.0
21907506579000,2001,1.0
21907506579250,2001,3.0
21907506579750,2001,2.0
21907506580000,2001,1.0
21907506582000,2001,12.0
21907506582250,2001,3.0
21907506582500,2001,27.0
21907506584250,2001,6.0
21907506597500,2001,7.0
21907506598000,2001,5.0
21907506602000,2001,4.0
21910006566250,2001,13.0
21910006566500,2001,19.0
21910006573250,2001,4.0
21910006574250,2001,96.0
21910006574500,2001,134.0
21910006574750,2001,68.0
21910006575000,2001,6.0
21910006575250,2001,58.0
21910006575500,2001,40.0
21910006575750,2001,27.0
21910006576000,2001,148.0
21910006576250,2001,57.0
21910006576500,2001,7.0
21910006576750,2001,39.0
21910006577000,2001,137.0
21910006577250,2001,40.0
21910006577500,2001,2.0
21910006578000,2001,16.0
21910006579250,2001,5.0
21910006579500,2001,3.0
21910006581000,2001,5.0
21910006581250,2001,14.0
21910006581500,2001,14.0
21910006581750,2001,13.0
21910006582000,2001,9.0
21910006582500,2001,5.0
21910006582750,2001,8.0
21910006583000,2001,2.0
21910006583250,2001,3.0
21910006583500,2001,16.0
21910006586000,2001,8.0
21910006587250,2001,3.0
21910006597000,2001,4.0
21912506566500,2001,13.0
21912506568500,2001,3.0
21912506574000,2001,27.0
21912506574250,2001,173.0
21912506574500,2001,128.0
21912506574750,2001,51.0
21912506575000,2001,27.0
21912506575250,2001,73.0
21912506575500,2001,86.0
21912506575750,2001,86.0
21912506576000,2001,109.0
21912506576250,2001,51.0
21912506576500,2001,25.0
21912506576750,2001,36.0
21912506577000,2001,69.0
21912506577250,2001,5.0
21912506577500,2001,4.0
21912506577750,2001,4.0
21912506578000,2001,10.0
21912506578500,2001,4.0
21912506578750,2001,14.0
21912506579000,2001,2.0
21912506579500,2001,8.0
21912506579750,2001,10.0
21912506580000,2001,6.0
21912506580250,2001,7.0
21912506580500,2001,20.0
21912506580750,2001,8.0
21912506581000,2001,8.0
21912506581250,2001,4.0
21912506581500,2001,6.0
21912506582750,2001,10.0
21912506583000,2001,4.0
21912506583250,2001,4.0
21912506583500,2001,10.0
21912506583750,2001,22.0
21912506585500,2001,1.0
21912506586000,2001,3.0
21912506586250,2001,3.0
21912506587500,2001,3.0
21912506597750,2001,5.0
21912506602250,2001,1.0
21912506602500,2001,7.0
21915006566250,2001,21.0
21915006566500,2001,47.0
21915006567250,2001,2.0
21915006568500,2001,8.0
21915006572750,2001,3.0
21915006573000,2001,11.0
21915006573250,2001,11.0
21915006573500,2001,7.0
21915006573750,2001,58.0
21915006574000,2001,45.0
21915006574250,2001,41.0
21915006574500,2001,82.0
21915006574750,2001,19.0
21915006575000,2001,24.0
21915006575250,2001,80.0
21915006575500,2001,122.0
21915006575750,2001,99.0
21915006576000,2001,157.0
21915006576250,2001,105.0
21915006576500,2001,5.0
21915006577000,2001,1.0
21915006577250,2001,7.0
21915006577750,2001,12.0
21915006578000,2001,33.0
21915006578250,2001,3.0
21915006579000,2001,22.0
21915006579250,2001,35.0
21915006579500,2001,10.0
21915006579750,2001,11.0
21915006580000,2001,6.0
21915006580250,2001,47.0
21915006580500,2001,7.0
21915006580750,2001,1.0
21915006581500,2001,10.0
21915006582250,2001,3.0
21915006582500,2001,22.0
21915006582750,2001,42.0
21915006583000,2001,30.0
21915006583250,2001,1.0
21915006583500,2001,1.0
21915006583750,2001,27.0
21915006584000,2001,5.0
21915006584250,2001,2.0
21915006584750,2001,4.0
