ogc_fid;SSBID0250M;pop_tot
1;19250006618000;5
2;19250006618250;1
3;19252506617000;13
4;19252506617250;10
5;19252506617500;6
6;19252506617750;3
7;19252506618000;1
8;19252506618250;5
9;19252506618500;5
10;19255006616750;9
11;19255006617000;27
12;19255006617250;15
13;19255006617500;20
14;19255006617750;1
15;19255006618000;1
16;19255006618250;9
17;19255006618500;7
18;19257506617000;14
19;19257506617250;14
20;19257506617500;4
21;19260006616750;5
22;19260006617000;15
23;19262506617000;2
24;19262506617250;6
25;19382506806500;2
26;19385006806500;7
27;19387506630750;10
28;19390006630500;13
29;19390006630750;13
30;19392506630250;2
31;19392506630500;7
32;19392506630750;18
33;19392506631000;9
34;19395006630500;1
35;19395006630750;3
36;19395006631000;1
37;19400006601250;1
38;19400006603750;18
39;19400006604000;4
40;19402506601000;2
41;19402506601250;24
42;19402506601500;6
43;19402506602000;2
44;19402506602250;5
45;19402506602500;14
46;19402506602750;13
47;19402506603750;4
48;19402506604000;2
49;19402506604250;3
50;19402506604750;9
51;19402506606500;3
52;19402506782000;4
53;19402506782500;3
54;19405006600500;2
55;19405006600750;16
56;19405006601000;57
57;19405006601250;18
58;19405006601500;3
59;19405006601750;15
60;19405006602000;19
61;19405006602250;3
62;19405006602500;8
63;19405006602750;24
64;19405006603500;1
65;19405006603750;18
66;19405006604000;8
67;19405006604250;2
68;19405006604750;23
69;19405006605000;15
70;19405006606500;12
71;19405006606750;1
72;19405006782000;2
73;19405006782250;8
74;19405006782500;2
75;19407506598250;3
76;19407506598500;2
77;19407506598750;3
78;19407506599750;3
79;19407506600500;37
80;19407506600750;41
81;19407506601000;8
82;19407506601250;8
83;19407506601500;21
84;19407506601750;5
85;19407506602000;8
86;19407506602250;1
87;19407506602750;5
88;19407506603000;8
89;19407506603250;11
90;19407506603500;8
91;19407506603750;8
92;19407506604000;4
93;19407506604250;21
94;19407506604500;12
95;19407506604750;30
96;19407506605000;6
97;19407506605250;7
98;19407506605750;9
99;19407506606000;2
100;19407506606250;12
101;19407506606500;30
102;19407506606750;57
103;19407506607000;7
104;19407506781750;3
105;19407506782000;14
106;19407506782250;8
107;19407506782500;9
108;19407506782750;8
109;19410006598000;5
110;19410006599750;1
111;19410006600000;11
112;19410006600250;8
113;19410006600500;42
114;19410006600750;6
115;19410006602750;6
116;19410006603000;2
117;19410006603250;6
118;19410006603500;4
119;19410006604500;13
120;19410006604750;7
121;19410006605000;13
122;19410006605250;18
123;19410006605500;14
124;19410006605750;32
125;19410006606000;10
126;19410006606250;19
127;19410006606500;30
128;19410006606750;14
129;19410006607000;5
130;19410006610250;1
131;19410006771750;2
132;19410006782000;8
133;19410006782250;8
134;19410006782750;3
135;19412506597750;5
136;19412506598000;4
137;19412506599750;2
138;19412506600000;2
139;19412506600250;1
140;19412506600500;11
141;19412506603000;5
142;19412506603750;15
143;19412506604000;2
144;19412506604750;20
145;19412506605000;18
146;19412506605250;20
147;19412506605500;18
148;19412506605750;11
149;19412506606000;19
150;19412506606250;18
151;19412506606500;16
152;19412506607000;2
153;19412506609500;60
154;19412506609750;86
155;19412506610000;30
156;19412506610250;55
157;19412506610500;38
158;19412506623750;1
159;19412506771750;5
160;19412506782000;44
161;19412506782250;39
162;19412506782500;1
163;19412506782750;8
164;19412506783000;1
165;19415006597750;23
166;19415006598000;14
167;19415006598250;15
168;19415006599750;10
169;19415006600250;13
170;19415006603500;4
171;19415006603750;2
172;19415006604500;3
173;19415006605000;16
174;19415006605250;13
175;19415006605500;14
176;19415006605750;24
177;19415006606000;21
178;19415006606250;27
179;19415006606500;39
180;19415006606750;32
181;19415006607000;42
182;19415006607250;10
183;19415006607500;6
184;19415006607750;15
185;19415006608000;21
186;19415006609250;62
187;19415006609500;133
188;19415006609750;225
189;19415006610000;181
190;19415006610250;138
191;19415006610500;55
192;19415006623250;2
193;19415006623750;4
194;19415006771500;3
195;19415006771750;1
196;19415006781250;2
197;19415006782000;43
198;19415006782250;29
199;19415006782500;2
200;19415006782750;13
201;19417506597500;1
202;19417506597750;12
203;19417506598000;22
204;19417506598250;19
205;19417506599750;3
206;19417506600000;6
207;19417506600250;4
208;19417506605000;5
209;19417506605250;20
210;19417506605500;15
