ogc_fid;pop_tot;ssbid250m
319;13;22992506542500
320;5;22992506542750
321;5;22990006542500
322;4;22997506543250
323;5;22995006543500
324;6;22997506543500
325;2;22985006544750
326;4;22982506544750
327;5;22980006545500
328;4;23415006643500
329;3;23512506650500
330;2;23512506650750
331;4;23510006651000
332;1;23512506651250
333;2;23517506651250
334;1;23415006645000
335;1;23415006645500
336;1;23417506645500
337;6;23415006645750
338;1;23420006646750
339;3;23417506646750
340;2;23440006646250
341;1;23442506646250
342;2;23437506646500
343;1;23430006646500
344;2;23435006646500
345;4;23427506646500
346;7;23427506647250
347;5;23425006647250
348;3;23447506646000
349;2;23447506646250
350;2;23445006646500
351;1;23445006646750
352;2;23445006647000
353;1;23447506647250
354;2;23452506647000
355;7;23457506647000
356;7;23447506647500
357;2;23450006647500
358;4;23445006647500
359;3;23447506648000
360;1;23455006648250
361;2;23465006647750
362;4;23440006646500
363;8;23440006646750
364;4;23442506646750
365;2;23437506647000
366;10;23440006647000
367;2;23437506647250
368;6;23442506647250
369;1;23435006647250
370;3;23432506647500
371;6;23435006647750
372;24;23432506647750
373;46;23432506648000
374;32;23432506648250
375;1;23427506647500
376;4;23437506648250
377;7;23437506648500
378;19;23437506648750
379;13;23440006649000
380;28;23432506648500
381;38;23430006648500
382;9;23435006648500
383;50;23432506648750
384;79;23430006648750
385;37;23435006648750
386;32;23435006649000
387;41;23430006649000
388;49;23427506648750
389;15;23425006649000
390;62;23427506649000
391;2;23427506649500
392;6;23442506649000
393;10;23437506649000
394;33;23437506649250
395;56;23440006649250
396;15;23437506649500
397;7;23440006649500
398;98;23432506649000
399;51;23432506649250
400;11;23430006649250
401;35;23435006649250
402;2;23430006649500
403;27;23435006649500
404;1;23430006649750
405;13;23432506649750
406;11;23435006649750
407;2;23410006647000
408;2;23415006647250
409;2;23417506647000
410;2;23417506647250
411;7;23422506647250
412;3;23407506647750
413;3;23402506648000
414;6;23407506648000
415;9;23405006648000
416;3;23410006647250
417;5;23415006647500
418;8;23415006647750
419;7;23415006648000
420;8;23417506647750
421;4;23417506648000
422;16;23420006648250
423;2;23417506648250
424;2;23422506648500
425;5;23417506648500
426;3;23405006648250
427;3;23407506648250
428;3;23402506648500
429;3;23410006648250
430;5;23412506648250
431;2;23410006648500
432;2;23412506648750
433;9;23415006648750
434;2;23412506649000
435;7;23420006648500
436;9;23420006648750
437;2;23417506648750
438;5;23467506647750
439;3;23455006648500
440;4;23452506648750
441;6;23452506649000
442;2;23455006649000
443;2;23462506648500
444;4;23445006649250
445;1;23465006649750
446;2;23400006649000
447;2;23390006649250
448;1;23392506649250
449;2;23390006649500
450;6;23400006649250
451;2;23400006649500
452;4;23397506650250
453;1;23395006650500
454;3;23400006650500
455;4;23392506650000
456;3;23390006650000
457;2;23392506650500
458;7;23390006650500
459;5;23385006651250
460;3;23385006651500
461;10;23395006650750
462;5;23395006651000
463;6;23400006651250
464;8;23395006651500
465;2;23410006649250
466;1;23410006650000
467;2;23412506650000
468;10;23410006650250
469;3;23412506650250
470;1;23410006650500
471;1;23407506650000
472;4;23407506650250
473;5;23405006650250
474;9;23402506650500
475;3;23407506650500
476;2;23422506650750
477;1;23422506651000
478;2;23410006651000
479;6;23402506650750
480;1;23407506650750
481;13;23405006650750
482;3;23407506651000
483;4;23405006651000
484;1;23402506651000
485;6;23402506651250
486;7;23422506651250
487;3;23420006651250
488;1;23420006651500
489;3;23417506651500
490;3;23417506651750
491;3;23407506651750
492;6;23405006652000
493;14;23402506652000
494;36;23405006652250
495;3;23410006651500
496;7;23410006651750
497;5;23412506651750
498;10;23410006652000
499;2;23415006652000
500;1;23412506652000
501;2;23437506649750
502;13;23437506650000
503;5;23440006650250
504;2;23440006650500
505;9;23442506650500
506;9;23435006650000
507;3;23432506650000
508;4;23430006650000
509;4;23435006650250
510;3;23432506650250
511;4;23427506650000
512;6;23427506650250
513;3;23440006650750
514;2;23442506650750
515;5;23437506651000
516;8;23440006651000
517;5;23442506651000
518;4;23440006651250
519;2;23437506651250
520;1;23442506651250
521;1;23435006651750
522;2;23442506651500
523;4;23437506651750
524;3;23435006653250
525;7;23452506650750
526;6;23457506650750
527;2;23455006650750
528;4;23457506651000
529;2;23452506651000
530;1;23452506651500
531;3;23450006650750
532;4;23447506650750
533;1;23445006650750
534;4;23447506651000
535;10;23450006651000
536;11;23445006651250
537;2;23450006651250
538;3;23462506651250
539;1;23460006651500
540;4;23445006651500
541;2;23450006651500
542;1;23450006651750
543;5;23452506652000
544;2;23455006652000
545;2;23452506652250
546;1;23462506652000
547;5;23445006652250
548;2;23392506650750
549;5;23390006650750
550;1;23387506650750
551;4;23390006651000
552;4;23387506651250
553;2;23400006651500
554;5;23397506651500
555;7;23395006651750
556;6;23397506651750
557;4;23392506651500
558;1;23390006651500
559;2;23387506651750
560;4;23392506651750
561;8;23390006652000
562;5;23387506652000
563;8;23392506652000
564;3;23392506652250
565;4;23382506652000
566;3;23382506652250
567;4;23385006652250
568;9;23385006652500
569;19;23382506652500
570;10;23382506652750
571;22;23385006652750
572;5;23382506653000
573;14;23390006652250
574;18;23387506652500
575;8;23392506652500
576;12;23387506652750
577;31;23392506652750
578;13;23390006652750
579;87;23392506653000
580;7;23390006653000
581;31;23400006652250
582;98;23400006652500
583;37;23397506652500
584;58;23400006652750
585;13;23395006652750
586;55;23397506652750
587;22;23400006653000
588;10;23395006653000
589;100;23397506653000
590;19;23400006653250
591;33;23395006653250
592;63;23397506653250
593;57;23395006653500
594;8;23397506653500
595;3;23397506653750
596;22;23395006653750
