ogc_fid;SSBID0250M;pop_tot
1;19250006618000;5
2;19250006618250;1
3;19252506617000;14
4;19252506617250;11
5;19252506617500;6
6;19252506617750;3
7;19252506618000;2
8;19252506618250;5
9;19252506618500;5
10;19255006616750;9
11;19255006617000;25
12;19255006617250;20
13;19255006617500;16
14;19255006617750;1
15;19255006618000;1
16;19255006618250;9
17;19255006618500;7
18;19257506617000;14
19;19257506617250;11
20;19257506617500;4
21;19260006616750;4
22;19260006617000;15
23;19262506617000;2
24;19262506617250;6
25;19382506806500;2
26;19385006806500;5
27;19387506630750;9
28;19390006630500;16
29;19390006630750;13
30;19392506630250;3
31;19392506630500;7
32;19392506630750;21
33;19392506631000;9
34;19395006630500;1
35;19395006630750;5
36;19395006631000;2
37;19400006601250;1
38;19400006603750;21
39;19400006604000;4
40;19402506601000;2
41;19402506601250;27
42;19402506601500;5
43;19402506602000;2
44;19402506602250;5
45;19402506602500;14
46;19402506602750;14
47;19402506603750;7
48;19402506604000;2
49;19402506604750;7
50;19402506606500;4
51;19402506782000;4
52;19402506782500;3
53;19405006600500;2
54;19405006600750;16
55;19405006601000;60
56;19405006601250;18
57;19405006601500;2
58;19405006601750;15
59;19405006602000;19
60;19405006602250;4
61;19405006602500;7
62;19405006602750;24
63;19405006603500;1
64;19405006603750;17
65;19405006604000;5
66;19405006604250;2
67;19405006604750;25
68;19405006605000;15
69;19405006606500;10
70;19405006606750;1
71;19405006782000;2
72;19405006782250;9
73;19405006782500;2
74;19407506598250;3
75;19407506598500;2
76;19407506598750;3
77;19407506599750;3
78;19407506600500;38
79;19407506600750;39
80;19407506601000;6
81;19407506601250;8
82;19407506601500;21
83;19407506601750;3
84;19407506602000;7
85;19407506602250;1
86;19407506602750;5
87;19407506603000;10
88;19407506603250;12
89;19407506603500;8
90;19407506603750;8
91;19407506604000;4
92;19407506604250;20
93;19407506604500;13
94;19407506604750;31
95;19407506605000;6
96;19407506605250;7
97;19407506605750;10
98;19407506606000;2
99;19407506606250;12
100;19407506606500;30
101;19407506606750;48
102;19407506607000;7
103;19407506781750;3
104;19407506782000;13
105;19407506782250;8
106;19407506782500;10
107;19407506782750;12
108;19410006598000;5
109;19410006599750;1
110;19410006600000;11
111;19410006600250;9
112;19410006600500;43
113;19410006600750;6
114;19410006602750;6
115;19410006603000;2
116;19410006603250;6
117;19410006603500;3
118;19410006604500;6
119;19410006604750;7
120;19410006605000;13
121;19410006605250;15
122;19410006605500;15
123;19410006605750;36
124;19410006606000;10
125;19410006606250;20
126;19410006606500;29
127;19410006606750;12
128;19410006607000;5
129;19410006610250;1
130;19410006771750;2
131;19410006782000;8
132;19410006782250;8
133;19410006782750;2
134;19412506597750;5
135;19412506598000;5
136;19412506599750;2
137;19412506600000;2
138;19412506600250;1
139;19412506600500;11
140;19412506603000;6
141;19412506603750;13
142;19412506604000;2
143;19412506604750;22
144;19412506605000;19
145;19412506605250;20
146;19412506605500;21
147;19412506605750;9
148;19412506606000;21
149;19412506606250;17
150;19412506606500;16
151;19412506607000;2
152;19412506609500;64
153;19412506609750;85
154;19412506610000;22
155;19412506610250;53
156;19412506610500;39
157;19412506623750;1
158;19412506771750;5
159;19412506782000;43
160;19412506782250;37
161;19412506782500;1
162;19412506782750;7
163;19412506783000;1
164;19415006597750;20
165;19415006598000;15
166;19415006598250;15
167;19415006599750;10
168;19415006600250;13
169;19415006603500;4
170;19415006603750;2
171;19415006604500;3
172;19415006605000;18
173;19415006605250;14
174;19415006605500;15
175;19415006605750;26
176;19415006606000;21
177;19415006606250;27
178;19415006606500;32
179;19415006606750;33
180;19415006607000;35
181;19415006607250;11
182;19415006607500;6
183;19415006607750;15
184;19415006608000;25
185;19415006609250;62
186;19415006609500;123
187;19415006609750;218
188;19415006610000;185
189;19415006610250;137
190;19415006610500;55
191;19415006623250;2
192;19415006623750;4
193;19415006771500;3
194;19415006771750;2
195;19415006781250;2
196;19415006782000;42
197;19415006782250;36
198;19415006782500;2
199;19415006782750;15
200;19417506597500;1
201;19417506597750;14
202;19417506598000;21
203;19417506598250;19
204;19417506599750;4
205;19417506600000;7
206;19417506600250;4
207;19417506605000;5
208;19417506605250;19
209;19417506605500;14
210;19417506605750;31
