næring (SN2007),Telemark (2024),Landet (2024)
Helse- og sosialtjenester,25.4,20.9
"Varehandel, reparasjon av motorvogner",13.1,12.5
Industri,10.9,7.6
Bygge- og anleggsvirksomhet,9.1,8.3
Undervisning,8.6,8.2
