Level,Org. nr.,Navn,Parent Employees,Children Count,Children Sum,Difference,Matches,Pct_Difference,Sektorkode,Sektor,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
1 vs 3,991693386,K-konsult bensindrift AS,17.0,1,12.0,5.0,False,29.411764705882355,2100.0,Private aksjeselskaper mv.,Aksjeselskap,47.3,Detaljhandel med drivstoff til motorvogner,,,,
1 vs 3,964715378,Laugstol AS,131.0,1,95.0,36.0,False,27.480916030534353,2100.0,Private aksjeselskaper mv.,Aksjeselskap,43.21,Elektrisk installasjonsarbeid,62.1,Dataprogrammeringstjenester,,
1 vs 3,971220988,Hjartdal og gransherad rekneskapskontor AS,11.0,2,8.0,3.0,False,27.27272727272727,2100.0,Private aksjeselskaper mv.,Aksjeselskap,69.202,Regnskapsføring og bokføring,,,,
1 vs 3,945482184,Trend sko arkaden AS,26.0,2,19.0,7.0,False,26.923076923076923,2100.0,Private aksjeselskaper mv.,Aksjeselskap,47.72,Detaljhandel med skotøy og lærvarer,,,,
1 vs 3,910145487,A amundsen skotøyforretning AS,15.0,3,11.0,4.0,False,26.666666666666668,2100.0,Private aksjeselskaper mv.,Aksjeselskap,47.72,Detaljhandel med skotøy og lærvarer,,,,
1 vs 3,930730556,Brubakken AS,49.0,1,36.0,13.0,False,26.53061224489796,2100.0,Private aksjeselskaper mv.,Aksjeselskap,33.12,Reparasjon og vedlikehold av maskiner,,,,
1 vs 3,925590711,Telemark eiendomsmegling AS,16.0,2,12.0,4.0,False,25.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,
1 vs 3,821551692,Økoråd Bamble AS,8.0,2,6.0,2.0,False,25.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,69.202,Regnskapsføring og bokføring,,,,
1 vs 3,918662049,Rare earths Norway AS,12.0,1,9.0,3.0,False,25.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,8.99,Annen bryting og utvinning ikke nevnt annet sted,,,,
1 vs 3,987259787,Tvb bolig AS,22.0,2,17.0,5.0,False,22.727272727272727,2100.0,Private aksjeselskaper mv.,Aksjeselskap,41.0,Oppføring av bygninger,,,,
1 vs 3,923822410,Vestfold og Telemark revisjon iks,31.0,6,24.0,7.0,False,22.58064516129032,6500.0,Kommuneforvaltningen,Interkommunalt selskap,84.11,Generell offentlig administrasjon,,,,
1 vs 3,990174873,Telerevisjon AS,9.0,1,7.0,2.0,False,22.22222222222222,2100.0,Private aksjeselskaper mv.,Aksjeselskap,69.201,Revisjon,,,,
1 vs 3,823164912,Ts site services AS,18.0,1,14.0,4.0,False,22.22222222222222,2100.0,Private aksjeselskaper mv.,Aksjeselskap,33.12,Reparasjon og vedlikehold av maskiner,,,,
1 vs 3,922926743,Agere trafikkskole AS,14.0,1,11.0,3.0,False,21.428571428571427,2100.0,Private aksjeselskaper mv.,Aksjeselskap,85.531,Undervisning ved godkjente trafikkskoler,,,,
1 vs 3,937773609,Skarpenord AS,43.0,1,34.0,9.0,False,20.930232558139537,2100.0,Private aksjeselskaper mv.,Aksjeselskap,28.12,Produksjon av komponenter til hydraulisk og pneumatisk utstyr,,,,
