Utdanningsnivå,Telemark,Hele landet,Hele landet utenom Oslo
Grunnskole,25.6,23.1,23.8
Videregående skole,40.0,35.6,37.5
Fagskole,3.7,3.3,3.5
Høyere utdanning,30.7,37.9,35.2
